method,rate,csv_files,raw_rows,unique_sub_rows,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em
online_qk,0.0,8,250,248,91,135,0.674074074074074,198,248,0.7983870967741935,0.5793479594793608,0.22983870967741934
online_qk,0.1,8,250,248,103,135,0.762962962962963,210,248,0.8467741935483871,0.5724172329470758,0.23387096774193547
online_qk,0.3,8,250,248,103,135,0.762962962962963,207,248,0.8346774193548387,0.5695176936146689,0.23790322580645162
online_qk,0.5,8,250,248,108,135,0.8,213,248,0.8588709677419355,0.5706184034044355,0.22983870967741934
online_qk,0.8,8,250,248,112,135,0.8296296296296296,222,248,0.8951612903225806,0.5977586128843997,0.25
online_qk,0.9,8,250,248,112,135,0.8296296296296296,223,248,0.8991935483870968,0.5946441516613452,0.25
online_draft,0.0,8,250,248,90,135,0.6666666666666666,197,248,0.7943548387096774,0.5793479594793608,0.22983870967741934
online_draft,0.1,8,250,248,105,135,0.7777777777777778,213,248,0.8588709677419355,0.5962099116702165,0.23790322580645162
online_draft,0.3,8,250,248,109,135,0.8074074074074075,222,248,0.8951612903225806,0.5901493373180189,0.22983870967741934
online_draft,0.5,8,250,248,110,135,0.8148148148148148,222,248,0.8951612903225806,0.601188733564078,0.23387096774193547
online_draft,0.8,8,250,248,112,135,0.8296296296296296,225,248,0.907258064516129,0.6011971905023951,0.22580645161290322
online_draft,0.9,8,250,248,113,135,0.837037037037037,226,248,0.9112903225806451,0.5983803194033331,0.22983870967741934
