example,method,rate,bias,answer,correct,note
38,full_rate1 historical,1.0,none,TML Entertainment,1,full baseline
38,online_draft historical,0.15,none,TML Entertainment,1,draft recompute baseline
38,online_qk historical,0.15,none,Metalworks Institute,0,qk baseline
38,preprocess_rate0 current,0.0,none,Metalworks Institute,0,cache-only baseline
38,position-ridge full K/V,0.0,K+V scale=1.0,repeated gibberish,0,previous simplified method
38,oracle full-preprocess,0.0,exact K+V scale=1.0,TML Entertainment,1,writeback sanity
38,kvcomm-like hybrid a6 top3,0.0,K+V scale=1.0,TML Entertainment,1,anchor top-k offset
38,kvcomm-like hybrid a6 top3,0.0,V-only scale=0.25,Metalworks Institute,0,too weak
38,kvcomm-like hybrid a6 top3,0.0,V-only scale=0.5,Metalworks Institute,0,too weak
38,kvcomm-like hybrid a6 top3,0.0,K+V scale=0.25,Metalworks Institute,0,too weak
