example_id,sub_question_id,selector,rate,ground_truth,predicted,f1,em,selected_tokens
0,0,oracle_full_attention,0.15,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,196
0,0,fusionrag_qk,0.15,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,196
0,0,draft_selected_set,0.15,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,196
1,0,oracle_full_attention,0.15,"Corfe Mullen, Dorset, England","Dorset, England",0.5454545454545454,0.0,194
1,0,fusionrag_qk,0.15,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,194
1,0,draft_selected_set,0.15,"Corfe Mullen, Dorset, England","Dorset, England",0.5454545454545454,0.0,194
2,0,oracle_full_attention,0.15,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,216
2,0,fusionrag_qk,0.15,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,216
2,0,draft_selected_set,0.15,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,216
3,0,oracle_full_attention,0.15,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,173
3,0,fusionrag_qk,0.15,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,173
3,0,draft_selected_set,0.15,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,173
3,1,oracle_full_attention,0.15,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,202
3,1,fusionrag_qk,0.15,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,202
3,1,draft_selected_set,0.15,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,202
4,0,oracle_full_attention,0.15,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","Henry III, Richard, Joan, Maud",0.22222222222222218,0.0,176
4,0,fusionrag_qk,0.15,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","John of Gaunt, 1st Duke of Lancaster and Isabella of Angoulême",0.05555555555555555,0.0,176
4,0,draft_selected_set,0.15,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","King Henry III of England and Joan de Geneville, 1st Baroness Geneville",0.41025641025641024,0.0,176
4,1,oracle_full_attention,0.15,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,311
4,1,fusionrag_qk,0.15,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,311
4,1,draft_selected_set,0.15,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1216 and 1220,0.4,0.0,311
6,0,oracle_full_attention,0.15,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,223
6,0,fusionrag_qk,0.15,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,223
6,0,draft_selected_set,0.15,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,223
7,0,oracle_full_attention,0.15,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,238
7,0,fusionrag_qk,0.15,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,238
7,0,draft_selected_set,0.15,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,238
7,1,oracle_full_attention,0.15,Ernst Mach was a professor at Charles University in Prague.,"Charles University in PragueDocumentDocument: Friedrich Hayek: Initially sympathetic to Wieser's democratic socialism, Hayek's economic thinking shifted away from socialism and toward the classical liberalism of Carl Menger after reading von Mises' book Socialism. It was sometime after reading Socialism that Hayek began attending von M",0.11940298507462686,0.0,219
7,1,fusionrag_qk,0.15,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,0.625,0.0,219
7,1,draft_selected_set,0.15,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,0.625,0.0,219
9,0,oracle_full_attention,0.15,King Richard I of England,Richard I,0.5,0.0,299
9,0,fusionrag_qk,0.15,King Richard I of England,Richard I,0.5,0.0,299
9,0,draft_selected_set,0.15,King Richard I of England,Richard I,0.5,0.0,299
9,1,oracle_full_attention,0.15,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",Richard the Lion-hearted's fleet in April 1191 that left Messina to reach Acre was dispersed by a storm.,0.7391304347826085,0.0,408
9,1,fusionrag_qk,0.15,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","Richard the Lion-hearted left Messina with a large fleet in April 1191 in order to reach Acre, but a storm dispersed the fleet.",0.6530612244897959,0.0,408
9,1,draft_selected_set,0.15,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","Richard the Lion-hearted left Messina with a large fleet in order to reach Acre, but a storm dispersed the fleet.",0.47619047619047616,0.0,408
10,0,oracle_full_attention,0.15,George Packer,George Packer,1.0,1.0,225
10,0,fusionrag_qk,0.15,George Packer,George Packer,1.0,1.0,225
10,0,draft_selected_set,0.15,George Packer,George Packer,1.0,1.0,225
10,1,oracle_full_attention,0.15,Peace Corps,Peace Corps,1.0,1.0,260
10,1,fusionrag_qk,0.15,Peace Corps,Peace Corps,1.0,1.0,260
10,1,draft_selected_set,0.15,Peace Corps,Peace Corps,1.0,1.0,260
11,0,oracle_full_attention,0.15,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,184
11,0,fusionrag_qk,0.15,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,184
11,0,draft_selected_set,0.15,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,184
11,1,oracle_full_attention,0.15,Eddie Argos,Eddie Argos,1.0,1.0,180
11,1,fusionrag_qk,0.15,Eddie Argos,Eddie Argos,1.0,1.0,180
11,1,draft_selected_set,0.15,Eddie Argos,Eddie Argos,1.0,1.0,180
12,0,oracle_full_attention,0.15,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,301
