index,Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason,glm_raw
50,with what movie did Mary Philips' husband win his only oscar?,The African Queen,<|im_end|>,False,0.0,False,预测答案为空，没有给出任何可核验的答案信息，也没有包含标准答案中的关键信息“The African Queen”，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有给出任何可核验的答案信息，也没有包含标准答案中的关键信息“The African Queen”，因此未能正确回答问题。"
51,The all time top goal scorer in premier league in one season is a member of what team?,Egypt national football team,<|im_end|>,False,0.0,False,预测答案为空，没有包含任何可核验的信息，也没有给出标准答案中的“Egypt national football team”等关键信息，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含任何可核验的信息，也没有给出标准答案中的“Egypt national football team”等关键信息，因此未能正确回答问题。"
52,Where is the province of Gonbad-e Qabus County located?,in the north-east of the country south of the Caspian Sea,<|im_end|>,False,0.0,False,预测答案为空，没有包含标准答案中的任何关键信息（如“north-east”或“Caspian Sea”），也没有给出任何可核验的地理位置信息，因此未能回答问题。,"判断: 错误
原因: 预测答案为空，没有包含标准答案中的任何关键信息（如“north-east”或“Caspian Sea”），也没有给出任何可核验的地理位置信息，因此未能回答问题。"
53,Who wrote the song turn me on that is performed by performer of Feelin' the Same Way?,John D. Loudermilk,<|im_end|>,False,0.0,False,预测答案为空，没有包含标准答案中的关键信息（John D. Loudermilk），也没有给出任何可核验的答案，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含标准答案中的关键信息（John D. Loudermilk），也没有给出任何可核验的答案，因此未能正确回答问题。"
54,What institute did the actor playing the voice of John Smith in Pocahontas attend?,National Institute of Dramatic Art,<|im_end|>,False,0.0,False,预测答案为空，仅包含对话结束标记，没有给出任何可核验的答案信息，也没有包含标准答案中的“National Institute of Dramatic Art”这一关键信息，因此无法正确回答问题。,"判断: 错误
原因: 预测答案为空，仅包含对话结束标记，没有给出任何可核验的答案信息，也没有包含标准答案中的“National Institute of Dramatic Art”这一关键信息，因此无法正确回答问题。"
55,Who led the muslim forces to retake the proposed embassy destination?,Abu Ubaidah,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记符号，没有给出任何可核验的答案信息，也没有包含标准答案中的关键信息“Abu Ubaidah”，因此无法正确回答所提出的问题。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记符号，没有给出任何可核验的答案信息，也没有包含标准答案中的关键信息“Abu Ubaidah”，因此无法正确回答所提出的问题。"
56,Which is the body of water near George Mills' place of birth?,River Thames,<|im_end|>,False,0.0,False,预测答案为空，仅包含对话结束标记，没有给出任何可核验的答案信息，未能包含标准答案“River Thames”的关键信息，因此判定为错误。,"判断: 错误
原因: 预测答案为空，仅包含对话结束标记，没有给出任何可核验的答案信息，未能包含标准答案“River Thames”的关键信息，因此判定为错误。"
57,When did the party who gained control of congress in the midterm elections in 1946 take control of the determiner of rules of the US House and US Senate?,January 2015,<|im_end|>,False,0.0,False,预测答案为空，没有包含任何与标准答案相关的信息，也没有给出可核验的答案，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含任何与标准答案相关的信息，也没有给出可核验的答案，因此未能正确回答问题。"
58,Who does the Nothing Suits Me Like a Suit artist play in Batman Under the Red Hood?,Nightwing / Dick Grayson,<|im_end|>,False,0.0,False,预测答案为空，没有给出任何可核验的信息，也没有包含标准答案中的“Nightwing”或“Dick Grayson”等关键信息，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有给出任何可核验的信息，也没有包含标准答案中的“Nightwing”或“Dick Grayson”等关键信息，因此未能正确回答问题。"
59,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1989,<|im_end|>,False,0.0,False,预测答案为空，没有包含标准答案中的关键信息“1989”，也没有给出任何可核验的实质性内容，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含标准答案中的关键信息“1989”，也没有给出任何可核验的实质性内容，因此未能正确回答问题。"
