index,Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason,glm_raw
50,with what movie did Mary Philips' husband win his only oscar?,The African Queen,<|im_end|>,False,0.0,False,预测答案为空，仅包含对话结束标记，没有提供任何关于Mary Philips丈夫获得唯一奥斯卡奖的电影名称，无法与标准答案进行核对，因此判定为错误。,"判断: 错误
原因: 预测答案为空，仅包含对话结束标记，没有提供任何关于Mary Philips丈夫获得唯一奥斯卡奖的电影名称，无法与标准答案进行核对，因此判定为错误。"
51,The all time top goal scorer in premier league in one season is a member of what team?,Egypt national football team,<|im_end|>,False,0.0,False,预测答案为空，没有包含任何实质性的内容，也没有给出可核验的答案，因此未能回答问题，不符合正确回答的标准。,"判断: 错误
原因: 预测答案为空，没有包含任何实质性的内容，也没有给出可核验的答案，因此未能回答问题，不符合正确回答的标准。"
52,Where is the province of Gonbad-e Qabus County located?,in the north-east of the country south of the Caspian Sea,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记“<|im_end|>”，没有提供任何关于 Gonbad-e Qabus County 位置的可核验信息，未能包含标准答案的关键内容。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记“<|im_end|>”，没有提供任何关于 Gonbad-e Qabus County 位置的可核验信息，未能包含标准答案的关键内容。"
53,Who wrote the song turn me on that is performed by performer of Feelin' the Same Way?,John D. Loudermilk,<|im_end|>,False,0.0,False,预测答案为空，没有给出任何可核验的答案信息，也没有包含标准答案中的关键信息“John D. Loudermilk”，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有给出任何可核验的答案信息，也没有包含标准答案中的关键信息“John D. Loudermilk”，因此未能正确回答问题。"
54,What institute did the actor playing the voice of John Smith in Pocahontas attend?,National Institute of Dramatic Art,<|im_end|>,False,0.0,False,预测答案为空，仅包含对话结束标记，没有给出任何可核验的答案信息，未能包含标准答案的关键内容，因此无法正确回答问题。,"判断: 错误
原因: 预测答案为空，仅包含对话结束标记，没有给出任何可核验的答案信息，未能包含标准答案的关键内容，因此无法正确回答问题。"
55,Who led the muslim forces to retake the proposed embassy destination?,Abu Ubaidah,<|im_end|>,False,0.0,False,预测答案为空，没有包含标准答案中的任何关键信息，也没有给出任何可核验的实质性内容，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含标准答案中的任何关键信息，也没有给出任何可核验的实质性内容，因此未能正确回答问题。"
56,Which is the body of water near George Mills' place of birth?,River Thames,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记，没有提供任何实质性的内容或可核验的答案，因此未能包含标准答案“River Thames”的关键信息，无法正确回答问题。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记，没有提供任何实质性的内容或可核验的答案，因此未能包含标准答案“River Thames”的关键信息，无法正确回答问题。"
57,When did the party who gained control of congress in the midterm elections in 1946 take control of the determiner of rules of the US House and US Senate?,January 2015,<|im_end|>,False,0.0,False,预测答案为空，仅包含对话结束标记，没有提供任何可核验的答案信息，未能包含标准答案“January 2015”这一关键信息，因此判定为错误。,"判断: 错误
原因: 预测答案为空，仅包含对话结束标记，没有提供任何可核验的答案信息，未能包含标准答案“January 2015”这一关键信息，因此判定为错误。"
58,Who does the Nothing Suits Me Like a Suit artist play in Batman Under the Red Hood?,Nightwing / Dick Grayson,<|im_end|>,False,0.0,False,预测答案为空，没有包含任何关于问题所问角色的信息，也没有给出可核验的答案，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含任何关于问题所问角色的信息，也没有给出可核验的答案，因此未能正确回答问题。"
59,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1989,<|im_end|>,False,0.0,False,预测答案为空，没有提供任何关于废除死刑年份的信息，不包含标准答案中的关键信息“1989”，因此无法回答所提出的问题。,"判断: 错误
原因: 预测答案为空，没有提供任何关于废除死刑年份的信息，不包含标准答案中的关键信息“1989”，因此无法回答所提出的问题。"
60,What is the seat of the county sharing a border with the county in which Miller Electric is headquartered?,Green Bay,<|im_end|>,False,0.0,False,预测答案为空，仅包含思考标记“<|im_end|>”，没有给出任何可核验的实质性内容，未能包含标准答案“Green Bay”的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案为空，仅包含思考标记“<|im_end|>”，没有给出任何可核验的实质性内容，未能包含标准答案“Green Bay”的关键信息，因此判断为错误。"
61,Who is the brother of the Nothin' My Love Can't Fix performer?,Matthew Lawrence,<|im_end|>,False,0.0,False,预测答案为空，没有包含标准答案中的“Matthew Lawrence”等任何关键信息，也没有给出任何可核验的具体内容，因此未能正确回答所提出的问题。,"判断: 错误
原因: 预测答案为空，没有包含标准答案中的“Matthew Lawrence”等任何关键信息，也没有给出任何可核验的具体内容，因此未能正确回答所提出的问题。"
62,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,<|im_end|>,False,0.0,False,预测答案为空，没有包含标准答案中的“Matthew Lawrence”等任何关键信息，也没有给出任何可核验的答案内容，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含标准答案中的“Matthew Lawrence”等任何关键信息，也没有给出任何可核验的答案内容，因此未能正确回答问题。"
63,When was the last time the team that Arthur James was a member of beat the 1894-95 FA cup winner?,1 December 2010,<|im_end|>,False,0.0,False,预测答案为空，没有包含任何关于比赛日期的信息，也没有给出可核验的答案，因此未能回答问题。,"判断: 错误
原因: 预测答案为空，没有包含任何关于比赛日期的信息，也没有给出可核验的答案，因此未能回答问题。"
64,Who started the foundation that developed the Free Software Directory?,Richard Stallman,<|im_end|>,False,0.0,False,预测答案为空，没有包含任何与问题相关的信息，也没有给出可核验的答案，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含任何与问题相关的信息，也没有给出可核验的答案，因此未能正确回答问题。"
65,What pantheon is the God of the underworld in ancient Egypt a part of?,ancient Egyptian religion,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记“<|im_end|>”，没有提供任何实质性的文字内容。根据判断标准，预测答案为空或没有给出可核验答案时，应判断为错误。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记“<|im_end|>”，没有提供任何实质性的文字内容。根据判断标准，预测答案为空或没有给出可核验答案时，应判断为错误。"
66,Where was the president born on the fourth of July born?,Plymouth Notch,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记，没有给出任何可核验的实质性内容，未能包含标准答案中的关键信息，因此完全未能回答所提出的问题。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记，没有给出任何可核验的实质性内容，未能包含标准答案中的关键信息，因此完全未能回答所提出的问题。"
67,Who play's Marty's girlfriend in back to the future?,Claudia Wells,<|im_end|>,False,0.0,False,预测答案为空，没有包含任何关于问题的实质性信息，也没有给出可核验的答案，因此未能回答谁在《回到未来》中扮演Marty女朋友的问题。,"判断: 错误
原因: 预测答案为空，没有包含任何关于问题的实质性信息，也没有给出可核验的答案，因此未能回答谁在《回到未来》中扮演Marty女朋友的问题。"
68,What is the record label for the band which performed Pythons?,Kanine Records,<|im_end|>,False,0.0,False,预测答案为空，仅包含模型生成的结束标记，没有提供任何关于问题中乐队唱片公司的实质性信息，因此未能回答问题。,"判断: 错误
原因: 预测答案为空，仅包含模型生成的结束标记，没有提供任何关于问题中乐队唱片公司的实质性信息，因此未能回答问题。"
69,Who is the employer of the person Mach's principle was named after?,Charles University,<|im_end|>,False,0.0,False,预测答案为空，仅包含对话结束的标记符号，没有提供任何实质性的内容或可核验的信息，未能包含标准答案“Charles University”的关键信息，因此无法正确回答所提出的问题。,"判断: 错误
原因: 预测答案为空，仅包含对话结束的标记符号，没有提供任何实质性的内容或可核验的信息，未能包含标准答案“Charles University”的关键信息，因此无法正确回答所提出的问题。"
70,What is the life expectancy of the type of retriever named after the body of water the Patuxent River turns into?,average lifespan at 9.4 years,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记，没有提供任何关于该寻回犬寿命的信息，未能包含标准答案的关键内容，因此判断为错误。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记，没有提供任何关于该寻回犬寿命的信息，未能包含标准答案的关键内容，因此判断为错误。"
71,Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sambas is located?,Francisco Guterres,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记符号，没有给出任何可核验的实质性信息，未能包含标准答案中的关键信息“Francisco Guterres”，因此判定为错误。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记符号，没有给出任何可核验的实质性信息，未能包含标准答案中的关键信息“Francisco Guterres”，因此判定为错误。"
72,What is the capital of the country it is about?,Aden,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记符号，没有提供任何实质性的内容或关键信息，无法与标准答案“Aden”进行核对，属于未给出可核验答案的情况。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记符号，没有提供任何实质性的内容或关键信息，无法与标准答案“Aden”进行核对，属于未给出可核验答案的情况。"
73,The league playing in the Thursday night football game is a type of what?,sports league,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记“<|im_end|>”，没有给出任何可核验的实质性内容，也没有包含标准答案“sports league”的关键信息，因此判定为错误。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记“<|im_end|>”，没有给出任何可核验的实质性内容，也没有包含标准答案“sports league”的关键信息，因此判定为错误。"
74,A participant of the Battle of Brechin is an instance of?,Scottish clan,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记“<|im_end|>”，没有给出任何可核验的实质内容，未能包含标准答案“Scottish clan”的关键信息，因此判定为错误。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记“<|im_end|>”，没有给出任何可核验的实质内容，未能包含标准答案“Scottish clan”的关键信息，因此判定为错误。"
75,What is the symbol of the Saints from the city that is the location of Blanton's manufacturer's headquarters called?,fleur - de-lis,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记符号，没有给出任何可核验的答案信息，未能包含标准答案中的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记符号，没有给出任何可核验的答案信息，未能包含标准答案中的关键信息，因此判断为错误。"
76,What mythology is the city where Eutychides was born in a part of?,Greek mythology,<|im_end|>,False,0.0,False,预测答案为空，仅包含对话结束的特殊标记，没有提供任何实质性的内容或可核验的信息，因此未能包含标准答案的关键信息，无法正确回答问题。,"判断: 错误
原因: 预测答案为空，仅包含对话结束的特殊标记，没有提供任何实质性的内容或可核验的信息，因此未能包含标准答案的关键信息，无法正确回答问题。"
77,What is the oldest college in the state that contains Borough House Plantation?,College of Charles Towne,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记符号，没有给出任何可核验的实质性答案内容，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记符号，没有给出任何可核验的实质性答案内容，因此未能正确回答问题。"
78,"What county shares a border with the other county, that contains the city, that is the birthplace of the performer of Never Gonna Fall in Love Again?",Cabarrus County,<|im_end|>,False,0.0,False,预测答案为空，没有包含标准答案“Cabarrus County”的任何关键信息，也没有给出任何可核验的具体内容，因此未能正确回答问题。,"判断: 错误
原因: 预测答案为空，没有包含标准答案“Cabarrus County”的任何关键信息，也没有给出任何可核验的具体内容，因此未能正确回答问题。"
79,What city was the author of What We Talk About When We Talk About love born in?,Clatskanie,<|im_end|>,False,0.0,False,预测答案为空，仅包含特殊标记，没有提供任何关于作者出生城市的可核验信息，未能包含标准答案中的关键信息“Clatskanie”，因此判定为错误。,"判断: 错误
原因: 预测答案为空，仅包含特殊标记，没有提供任何关于作者出生城市的可核验信息，未能包含标准答案中的关键信息“Clatskanie”，因此判定为错误。"
80,What undertaking included the person who discovered that the number of protons in each element's atoms is unique?,Manhattan Project,<|im_end|>,False,0.0,False,预测答案为空，仅包含对话结束标记，没有给出任何可核验的实质性答案，未能包含标准答案“Manhattan Project”的关键信息，因此判定为错误。,"判断: 错误
原因: 预测答案为空，仅包含对话结束标记，没有给出任何可核验的实质性答案，未能包含标准答案“Manhattan Project”的关键信息，因此判定为错误。"
