row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,semantic,end_to_end_ttft_s,kv_load_copy_s,selection_s,online_update_query_prefill_s,extra_impl_overhead_s,rate1_baseline_candidate_s,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_exact_cache_ttft_s,full_ttft_compute_s,full_ttft_wall_s,fusion_ttft_compute_s,fusion_ttft_wall_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion_compute,ttft_reduction_pct_compute,speedup_full_exact_over_fusion_compute,ttft_reduction_pct_full_exact_vs_fusion_compute,speedup_full_over_fusion_wall,ttft_reduction_pct_wall
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,FusionRAG cache reuse; selection; partial online update,10.070845543872565,0.7314874548465014,2.811572684906423,6.28714573988691,0.24063966423273087,0.0,1299,1326,0.0,0.0,0.0,9.830205879639834,10.070845543872565,0.7314874548465014,2.811572684906423,2.808669564779848,6.28714573988691,0.0,0.0,0.0,0.0,0.0,0.0
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,FusionRAG cache reuse; selection; partial online update,8.672172176651657,0.48022940568625927,1.8232312989421189,6.180712814908475,0.1879986571148038,0.0,1282,1307,0.0,0.0,0.0,8.484173519536853,8.672172176651657,0.48022940568625927,1.8232312989421189,1.8224311019293964,6.180712814908475,0.0,0.0,0.0,0.0,0.0,0.0
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,FusionRAG cache reuse; selection; partial online update,8.999331940896809,0.5197726720944047,1.701217439956963,6.602661618962884,0.1756802098825574,0.0,1426,1447,0.0,0.0,0.0,8.823651731014252,8.999331940896809,0.5197726720944047,1.701217439956963,1.7003931836225092,6.602661618962884,0.0,0.0,0.0,0.0,0.0,0.0
3,False,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,FusionRAG cache reuse; selection; partial online update,8.139140442945063,0.42719013104215264,1.833334838040173,5.7316870973445475,0.1469283765181899,0.0,1142,1168,0.0,0.0,0.0,7.992212066426873,8.139140442945063,0.42719013104215264,1.833334838040173,1.8324741809628904,5.7316870973445475,0.0,0.0,0.0,0.0,0.0,0.0
4,False,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,FusionRAG cache reuse; selection; partial online update,8.805921891704202,0.5059079783968627,1.8479491327889264,6.288143931888044,0.1639208486303687,0.0,1339,1366,0.0,0.0,0.0,8.642001043073833,8.805921891704202,0.5059079783968627,1.8479491327889264,1.847146701067686,6.288143931888044,0.0,0.0,0.0,0.0,0.0,0.0
5,False,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,FusionRAG cache reuse; selection; partial online update,8.13443442992866,0.46360718831419945,1.91404499579221,5.6235811286605895,0.1332011171616614,0.0,1166,1198,0.0,0.0,0.0,8.001233312766999,8.13443442992866,0.46360718831419945,1.91404499579221,1.9131743819452822,5.6235811286605895,0.0,0.0,0.0,0.0,0.0,0.0
6,False,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,FusionRAG cache reuse; selection; partial online update,10.739278993103653,0.5675931149162352,1.892085739877075,8.0576574197039,0.2219427186064422,0.0,2054,2078,0.0,0.0,0.0,10.517336274497211,10.739278993103653,0.5675931149162352,1.892085739877075,1.8910109451971948,8.0576574197039,0.0,0.0,0.0,0.0,0.0,0.0
7,False,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,FusionRAG cache reuse; selection; partial online update,9.078786820173264,0.4747849768027663,1.7500210897997022,6.730908578261733,0.123072175309062,0.0,1475,1496,0.0,0.0,0.0,8.955714644864202,9.078786820173264,0.4747849768027663,1.7500210897997022,1.749114212114364,6.730908578261733,0.0,0.0,0.0,0.0,0.0,0.0
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,FusionRAG cache reuse; selection; partial online update,9.375213464256376,0.44375193025916815,1.8662776369601488,6.909828175790608,0.15535572124645114,0.0,1571,1598,0.0,0.0,0.0,9.219857743009925,9.375213464256376,0.44375193025916815,1.8662776369601488,1.8652850040234625,6.909828175790608,0.0,0.0,0.0,0.0,0.0,0.0
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,FusionRAG cache reuse; selection; partial online update,9.21833625389263,0.5089160772040486,1.891341979149729,6.728893171995878,0.08918502554297447,0.0,1451,1479,0.0,0.0,0.0,9.129151228349656,9.21833625389263,0.5089160772040486,1.891341979149729,1.8904337752610445,6.728893171995878,0.0,0.0,0.0,0.0,0.0,0.0
10,False,9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,1998,25,2815,FusionRAG cache reuse; selection; partial online update,10.168076002039015,0.4656489952467382,1.8456932371482253,7.658498608041555,0.1982351616024971,0.0,1978,2003,0.0,0.0,0.0,9.969840840436518,10.168076002039015,0.4656489952467382,1.8456932371482253,1.8447293587960303,7.658498608041555,0.0,0.0,0.0,0.0,0.0,0.0
11,False,9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2722,33,3547,FusionRAG cache reuse; selection; partial online update,12.285683786030859,0.5927548101171851,2.0265672649256885,9.46730680204928,0.19905490893870592,0.0,2694,2727,0.0,0.0,0.0,12.086628877092153,12.285683786030859,0.5927548101171851,2.0265672649256885,2.025487325154245,9.46730680204928,0.0,0.0,0.0,0.0,0.0,0.0
12,False,10,0,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,1505,25,2322,FusionRAG cache reuse; selection; partial online update,8.975014372728765,0.4376501548103988,1.8050446608103812,6.600567578803748,0.13175197830423713,0.0,1489,1514,0.0,0.0,0.0,8.843262394424528,8.975014372728765,0.4376501548103988,1.8050446608103812,1.8040969939902425,6.600567578803748,0.0,0.0,0.0,0.0,0.0,0.0
13,False,10,1,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,1738,24,2554,FusionRAG cache reuse; selection; partial online update,9.62664473708719,0.5177151602692902,1.830376336351037,7.094201668631285,0.1843515718355775,0.0,1720,1744,0.0,0.0,0.0,9.442293165251613,9.62664473708719,0.5177151602692902,1.830376336351037,1.8293533250689507,7.094201668631285,0.0,0.0,0.0,0.0,0.0,0.0
14,False,11,0,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,1230,27,2049,FusionRAG cache reuse; selection; partial online update,8.31351436721161,0.4299473250284791,1.8472467181272805,5.898105038329959,0.1382152857258916,0.0,1217,1244,0.0,0.0,0.0,8.175299081485718,8.31351436721161,0.4299473250284791,1.8472467181272805,1.8462877799756825,5.898105038329959,0.0,0.0,0.0,0.0,0.0,0.0
15,False,11,1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,1205,26,2023,FusionRAG cache reuse; selection; partial online update,8.344430353026837,0.5000888458453119,1.7960813762620091,5.9171599028632045,0.1311002280563116,0.0,1192,1218,0.0,0.0,0.0,8.213330124970526,8.344430353026837,0.5000888458453119,1.7960813762620091,1.7952010408043861,5.9171599028632045,0.0,0.0,0.0,0.0,0.0,0.0
16,False,12,0,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,2011,32,2835,FusionRAG cache reuse; selection; partial online update,10.54967277077958,0.45548716792836785,2.0392977967858315,7.832166221924126,0.22272158414125443,0.0,1990,2022,0.0,0.0,0.0,10.326951186638325,10.54967277077958,0.45548716792836785,2.0392977967858315,2.0381704103201628,7.832166221924126,0.0,0.0,0.0,0.0,0.0,0.0
17,False,12,1,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,2101,30,2923,FusionRAG cache reuse; selection; partial online update,10.760188669897616,0.558439047075808,1.9653542428277433,8.041103560943156,0.1952918190509081,0.0,2079,2109,0.0,0.0,0.0,10.564896850846708,10.760188669897616,0.558439047075808,1.9653542428277433,1.964372037909925,8.041103560943156,0.0,0.0,0.0,0.0,0.0,0.0
18,False,13,0,What year was the father of Katherine of England crowned?,Who is Katherine of England?,1142,21,1955,FusionRAG cache reuse; selection; partial online update,7.6300494354218245,0.42403401620686054,1.6464560930617154,5.459747749846429,0.09981157630681992,0.0,1130,1151,0.0,0.0,0.0,7.5302378591150045,7.6300494354218245,0.42403401620686054,1.6464560930617154,1.6455346569418907,5.459747749846429,0.0,0.0,0.0,0.0,0.0,0.0
19,False,13,1,What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?,2083,25,2900,FusionRAG cache reuse; selection; partial online update,10.628928693942726,0.5652775797061622,1.8374823438934982,8.013002486899495,0.21316628344357014,0.0,2062,2087,0.0,0.0,0.0,10.415762410499156,10.628928693942726,0.5652775797061622,1.8374823438934982,1.8365799118764699,8.013002486899495,0.0,0.0,0.0,0.0,0.0,0.0
20,False,14,0,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?,1057,36,1885,FusionRAG cache reuse; selection; partial online update,7.893539764918387,0.4241278348490596,2.0009158169850707,5.374284363817424,0.09421174926683307,0.0,1046,1082,0.0,0.0,0.0,7.799328015651554,7.893539764918387,0.4241278348490596,2.0009158169850707,2.0000014533288777,5.374284363817424,0.0,0.0,0.0,0.0,0.0,0.0
21,False,14,1,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,1681,24,2497,FusionRAG cache reuse; selection; partial online update,9.531121732201427,0.5527944029308856,1.7733424264006317,7.038180719129741,0.1668041837401688,0.0,1664,1688,0.0,0.0,0.0,9.364317548461258,9.531121732201427,0.5527944029308856,1.7733424264006317,1.7724012089893222,7.038180719129741,0.0,0.0,0.0,0.0,0.0,0.0
22,False,15,0,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,678,23,1493,FusionRAG cache reuse; selection; partial online update,6.88619296438992,0.4185531949624419,1.7847567009739578,4.5727864149957895,0.11009665345773101,0.0,671,694,0.0,0.0,0.0,6.776096310932189,6.88619296438992,0.4185531949624419,1.7847567009739578,1.7836960810236633,4.5727864149957895,0.0,0.0,0.0,0.0,0.0,0.0
23,False,15,1,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",1121,28,1941,FusionRAG cache reuse; selection; partial online update,8.213253206107765,0.4958196608349681,1.915666543878615,5.667216835077852,0.13455016631633043,0.0,1109,1137,0.0,0.0,0.0,8.078703039791435,8.213253206107765,0.4958196608349681,1.915666543878615,1.914695282932371,5.667216835077852,0.0,0.0,0.0,0.0,0.0,0.0
24,False,16,0,"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?,1515,28,2335,FusionRAG cache reuse; selection; partial online update,9.05961980111897,0.4369822619482875,1.9220054997131228,6.545377196744084,0.15525484271347523,0.0,1499,1527,0.0,0.0,0.0,8.904364958405495,9.05961980111897,0.4369822619482875,1.9220054997131228,1.9210085249505937,6.545377196744084,0.0,0.0,0.0,0.0,0.0,0.0
25,False,16,1,"In 2002, what company merged with the top PC manufacturer from 1994?",What company did Compaq merge with in 2002?,2189,30,3011,FusionRAG cache reuse; selection; partial online update,11.066169956233352,0.5764602497220039,1.9875443568453193,8.272380165290087,0.22978518437594175,0.0,2167,2197,0.0,0.0,0.0,10.83638477185741,11.066169956233352,0.5764602497220039,1.9875443568453193,1.9864848712459207,8.272380165290087,0.0,0.0,0.0,0.0,0.0,0.0
26,False,17,0,"In the King's Speech, who played the person who was the King of England in 1950?",Who was the King of England in 1950?,1415,28,2235,FusionRAG cache reuse; selection; partial online update,8.762945907656103,0.43749299505725503,1.865342739969492,6.365040683187544,0.09506948944181204,0.0,1400,1428,0.0,0.0,0.0,8.667876418214291,8.762945907656103,0.43749299505725503,1.865342739969492,1.8643942829221487,6.365040683187544,0.0,0.0,0.0,0.0,0.0,0.0
27,False,17,1,"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?,1936,30,2758,FusionRAG cache reuse; selection; partial online update,10.403208145406097,0.6006885380484164,1.9149019583128393,7.704726711846888,0.18289093719795346,0.0,1916,1946,0.0,0.0,0.0,10.220317208208144,10.403208145406097,0.6006885380484164,1.9149019583128393,1.9138475940562785,7.704726711846888,0.0,0.0,0.0,0.0,0.0,0.0
28,False,18,0,Whose sister played Susie in miracle on 34th street?,Who played Susie in Miracle on 34th Street?,1020,28,1840,FusionRAG cache reuse; selection; partial online update,7.745595220010728,0.4204056290909648,1.8883565729483962,5.336350854951888,0.10048216301947832,0.0,1009,1037,0.0,0.0,0.0,7.645113056991249,7.745595220010728,0.4204056290909648,1.8883565729483962,1.8873904030770063,5.336350854951888,0.0,0.0,0.0,0.0,0.0,0.0
29,False,18,1,Whose sister played Susie in miracle on 34th street?,Who is Natalie Wood's brother?,1206,22,2020,FusionRAG cache reuse; selection; partial online update,8.206133102998137,0.5687757451087236,1.7072255117818713,5.800996128004044,0.12913571810349822,0.0,1193,1215,0.0,0.0,0.0,8.07699738489464,8.206133102998137,0.5687757451087236,1.7072255117818713,1.7063682139851153,5.800996128004044,0.0,0.0,0.0,0.0,0.0,0.0
30,False,19,0,What team was Anna Benson's husband on?,Who is Anna Benson's husband?,1034,22,1848,FusionRAG cache reuse; selection; partial online update,7.592295145615935,0.4191313311457634,1.685237939003855,5.368172708898783,0.11975316656753421,0.0,1023,1045,0.0,0.0,0.0,7.472541979048401,7.592295145615935,0.4191313311457634,1.685237939003855,1.6841692249290645,5.368172708898783,0.0,0.0,0.0,0.0,0.0,0.0
31,False,19,1,What team was Anna Benson's husband on?,What team did Kris Benson play for in Major League Baseball?,1580,27,2399,FusionRAG cache reuse; selection; partial online update,9.376982188783586,0.5103561179712415,1.8680931590497494,6.837586276233196,0.16094663552939892,0.0,1564,1591,0.0,0.0,0.0,9.216035553254187,9.376982188783586,0.5103561179712415,1.8680931590497494,1.866881838068366,6.837586276233196,0.0,0.0,0.0,0.0,0.0,0.0
32,False,20,0,What is the record label for the singer who originally sang You Belong To Me.,Who originally sang the song You Belong To Me?,1519,26,2337,FusionRAG cache reuse; selection; partial online update,8.983050387818366,0.4384004841558635,1.8509322418831289,6.5436858190223575,0.15003184275701642,0.0,1503,1529,0.0,0.0,0.0,8.83301854506135,8.983050387818366,0.4384004841558635,1.8509322418831289,1.8497610231861472,6.5436858190223575,0.0,0.0,0.0,0.0,0.0,0.0
33,False,20,1,What is the record label for the singer who originally sang You Belong To Me.,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,2265,41,3098,FusionRAG cache reuse; selection; partial online update,11.499778230208904,0.5676171723753214,2.2013185122050345,8.479751776903868,0.25109076872467995,0.0,2242,2283,0.0,0.0,0.0,11.248687461484224,11.499778230208904,0.5676171723753214,2.2013185122050345,2.2001239652745426,8.479751776903868,0.0,0.0,0.0,0.0,0.0,0.0
34,False,21,0,When did the crowning of the person under whom the Chapter House was built happen?,Who was the person under whom the Chapter House was built?,1749,27,2568,FusionRAG cache reuse; selection; partial online update,9.400867049116641,0.44447897328063846,1.8318660208024085,7.007644641213119,0.11687741382047534,0.0,1731,1758,0.0,0.0,0.0,9.283989635296166,9.400867049116641,0.44447897328063846,1.8318660208024085,1.8306038058362901,7.007644641213119,0.0,0.0,0.0,0.0,0.0,0.0
35,False,21,1,When did the crowning of the person under whom the Chapter House was built happen?,When was Henry III crowned?,2118,21,2931,FusionRAG cache reuse; selection; partial online update,10.449024169240147,0.56031583994627,1.725635312963277,7.979589114896953,0.18348390143364668,0.0,2096,2117,0.0,0.0,0.0,10.2655402678065,10.449024169240147,0.56031583994627,1.725635312963277,1.7245173649862409,7.979589114896953,0.0,0.0,0.0,0.0,0.0,0.0
