row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_ttft_s,fusion_ttft_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion,ttft_reduction_pct
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,196,223,0.42133092880249023,0.6583441523835063,0.02445200877264142,0.13556868163868785,0.12127596512436867,0.49832346197217703,0.6399858300207877,-56.25345954417749
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,194,219,0.10777568817138672,0.22076631430536509,0.02312286989763379,0.10243060626089573,0.10170976771041751,0.09521283814683557,0.4881890088644178,-104.83869604645788
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,216,237,0.11500167846679688,0.22379894834011793,0.02388963010162115,0.10451814904808998,0.10378471901640296,0.0953911691904068,0.5138615678033631,-94.60494083547908
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,173,199,0.09483480453491211,0.4315608777105808,0.021573107689619064,0.10518587799742818,0.10424244683235884,0.3048018920235336,0.21974838182276454,-355.06592208107276
4,True,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,202,229,0.10913729667663574,0.22217353619635105,0.024135947227478027,0.1029222309589386,0.1021552006714046,0.09511535800993443,0.4912254562135749,-103.57251183766425
5,False,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,176,208,0.09576702117919922,0.22277562599629164,0.02167308609932661,0.10433253785595298,0.10353057365864515,0.09677000204101205,0.42988105521379333,-132.62248658589263
6,False,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,311,335,0.15283823013305664,0.2529108375310898,0.029957031831145287,0.10517373494803905,0.10373626882210374,0.11778007075190544,0.6043166501881065,-65.47616215583807
7,False,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,223,244,0.1054079532623291,0.2237905291840434,0.024319895077496767,0.10160641092807055,0.10078751621767879,0.0978642231784761,0.47101168064016913,-112.30895986291966
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,238,265,0.11815404891967773,0.2391937174834311,0.02366568800061941,0.10282442532479763,0.10201812908053398,0.11270360415801406,0.4939680279347732,-102.44225201798822
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,219,247,0.11512207984924316,0.22339648567140102,0.02473073871806264,0.1032570619136095,0.10244711302220821,0.09540868503972888,0.5153262796558888,-94.05181522427965
10,False,9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,1998,25,2815,299,324,0.12964510917663574,0.24705492239445448,0.026291921734809875,0.10305553395301104,0.10216392623260617,0.11770746670663357,0.5247622994924218,-90.56247008736213
11,False,9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2722,33,3547,408,441,0.19204282760620117,0.2654569325968623,0.03374471189454198,0.1041203448548913,0.10310889082029462,0.12759187584742904,0.7234425024335233,-38.22798586427945
12,False,10,0,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,1505,25,2322,225,250,0.11750388145446777,0.22325965715572238,0.024174407124519348,0.10269531700760126,0.10170749435201287,0.09638993302360177,0.526310408926721,-90.00194239731094
13,False,10,1,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,1738,24,2554,260,284,0.12480664253234863,0.24332117615267634,0.027172637172043324,0.10330169182270765,0.10243327962234616,0.11284684715792537,0.5129296368929123,-94.9585143992716
