example_id,sub_q_idx,docgen_n,old_n,online_n,docgen_old_intersection,docgen_online_intersection,old_online_intersection,docgen_old_jaccard,docgen_online_jaccard,old_online_jaccard,docgen_covers_online,online_covers_docgen,old_covers_online,online_covers_old,docgen_covers_old,old_covers_docgen
0,0,128,148,131,30,18,78,0.12195121951219512,0.07468879668049792,0.3880597014925373,0.13740458015267176,0.140625,0.5954198473282443,0.527027027027027,0.20270270270270271,0.234375
1,0,125,136,129,59,53,87,0.29207920792079206,0.263681592039801,0.4887640449438202,0.4108527131782946,0.424,0.6744186046511628,0.6397058823529411,0.4338235294117647,0.472
2,0,138,160,144,90,53,100,0.4326923076923077,0.2314410480349345,0.49019607843137253,0.3680555555555556,0.38405797101449274,0.6944444444444444,0.625,0.5625,0.6521739130434783
3,0,113,80,115,42,30,50,0.2781456953642384,0.15151515151515152,0.3448275862068966,0.2608695652173913,0.26548672566371684,0.43478260869565216,0.625,0.525,0.37168141592920356
3,1,131,149,135,57,31,55,0.2556053811659193,0.13191489361702127,0.24017467248908297,0.22962962962962963,0.2366412213740458,0.4074074074074074,0.3691275167785235,0.3825503355704698,0.4351145038167939
4,0,113,117,117,46,41,79,0.25,0.21693121693121692,0.5096774193548387,0.3504273504273504,0.36283185840707965,0.6752136752136753,0.6752136752136753,0.39316239316239315,0.40707964601769914
4,1,199,213,207,133,82,78,0.4767025089605735,0.25308641975308643,0.22807017543859648,0.3961352657004831,0.4120603015075377,0.37681159420289856,0.36619718309859156,0.6244131455399061,0.6683417085427136
6,0,144,155,149,84,57,89,0.39069767441860465,0.24152542372881355,0.413953488372093,0.3825503355704698,0.3958333333333333,0.5973154362416108,0.5741935483870968,0.5419354838709678,0.5833333333333334
7,0,154,115,158,73,70,94,0.37244897959183676,0.2892561983471074,0.5251396648044693,0.4430379746835443,0.45454545454545453,0.5949367088607594,0.8173913043478261,0.6347826086956522,0.474025974025974
7,1,141,202,146,94,54,89,0.37751004016064255,0.2317596566523605,0.3436293436293436,0.3698630136986301,0.3829787234042553,0.6095890410958904,0.4405940594059406,0.46534653465346537,0.6666666666666666
9,0,195,130,199,88,91,117,0.37130801687763715,0.30033003300330036,0.5518867924528302,0.457286432160804,0.4666666666666667,0.5879396984924623,0.9,0.676923076923077,0.4512820512820513
9,1,268,323,272,136,109,125,0.2989010989010989,0.2529002320185615,0.26595744680851063,0.4007352941176471,0.40671641791044777,0.45955882352941174,0.38699690402476783,0.42105263157894735,0.5074626865671642
10,0,146,95,150,64,83,92,0.3615819209039548,0.38967136150234744,0.6013071895424836,0.5533333333333333,0.5684931506849316,0.6133333333333333,0.968421052631579,0.6736842105263158,0.4383561643835616
10,1,168,227,173,102,108,87,0.34812286689419797,0.463519313304721,0.2779552715654952,0.6242774566473989,0.6428571428571429,0.5028901734104047,0.3832599118942731,0.44933920704845814,0.6071428571428571
