method,scope,bin,count,fraction
docgen_offline10,global_doc_position,0.0-0.1,4183,0.12153877444286254
docgen_offline10,global_doc_position,0.1-0.2,3383,0.09829444751140425
docgen_offline10,global_doc_position,0.2-0.3,3596,0.10448324955690502
docgen_offline10,global_doc_position,0.3-0.4,3598,0.10454136037423366
docgen_offline10,global_doc_position,0.4-0.5,3515,0.10212976145509486
docgen_offline10,global_doc_position,0.5-0.6,3505,0.10183920736845163
docgen_offline10,global_doc_position,0.6-0.7,3524,0.10239126013307377
docgen_offline10,global_doc_position,0.7-0.8,3532,0.10262370340238836
docgen_offline10,global_doc_position,0.8-0.9,3415,0.09922422058866258
docgen_offline10,global_doc_position,0.9-1.0,2166,0.06293401516692332
docgen_offline10,chunk_relative_position,0.0-0.1,17966,0.5220094720632246
docgen_offline10,chunk_relative_position,0.1-0.2,2004,0.058227038963303016
docgen_offline10,chunk_relative_position,0.2-0.3,1273,0.036987535229683004
docgen_offline10,chunk_relative_position,0.3-0.4,1069,0.031060231862161142
docgen_offline10,chunk_relative_position,0.4-0.5,912,0.026498532701862452
docgen_offline10,chunk_relative_position,0.5-0.6,982,0.028532411308365053
docgen_offline10,chunk_relative_position,0.6-0.7,1265,0.03675509196036842
docgen_offline10,chunk_relative_position,0.7-0.8,1343,0.039021413836185605
docgen_offline10,chunk_relative_position,0.8-0.9,1207,0.035069878257837694
docgen_offline10,chunk_relative_position,0.9-1.0,6396,0.18583839381700903
old_offline10,global_doc_position,0.0-0.1,6737,0.18203680185900728
old_offline10,global_doc_position,0.1-0.2,2563,0.06925342484260585
old_offline10,global_doc_position,0.2-0.3,2310,0.062417249858142614
old_offline10,global_doc_position,0.3-0.4,2285,0.061741738496041504
old_offline10,global_doc_position,0.4-0.5,2356,0.06366019076440865
old_offline10,global_doc_position,0.5-0.6,2616,0.07068550893026021
old_offline10,global_doc_position,0.6-0.7,3734,0.10089437704342187
old_offline10,global_doc_position,0.7-0.8,5895,0.15928557918344186
old_offline10,global_doc_position,0.8-0.9,6304,0.17033694506741603
old_offline10,global_doc_position,0.9-1.0,2209,0.059688183955254125
old_offline10,chunk_relative_position,0.0-0.1,18965,0.5124429192899025
old_offline10,chunk_relative_position,0.1-0.2,4194,0.1133237861060823
old_offline10,chunk_relative_position,0.2-0.3,2279,0.06157961576913724
old_offline10,chunk_relative_position,0.3-0.4,1590,0.04296252262963063
old_offline10,chunk_relative_position,0.4-0.5,861,0.023264611310762247
old_offline10,chunk_relative_position,0.5-0.6,919,0.024831797670836823
old_offline10,chunk_relative_position,0.6-0.7,841,0.022724202221081357
old_offline10,chunk_relative_position,0.7-0.8,875,0.02364289767353887
old_offline10,chunk_relative_position,0.8-0.9,1373,0.03709908400659299
old_offline10,chunk_relative_position,0.9-1.0,5112,0.1381285633224351
online_draft10,global_doc_position,0.0-0.1,10847,0.30516247010831343
online_draft10,global_doc_position,0.1-0.2,2571,0.07233084822056549
online_draft10,global_doc_position,0.2-0.3,1806,0.050808833872555914
online_draft10,global_doc_position,0.3-0.4,1688,0.04748909832606555
online_draft10,global_doc_position,0.4-0.5,1413,0.039752426501617665
online_draft10,global_doc_position,0.5-0.6,1269,0.03570122380081587
online_draft10,global_doc_position,0.6-0.7,1663,0.04678576452384302
online_draft10,global_doc_position,0.7-0.8,2398,0.06746377830918554
online_draft10,global_doc_position,0.8-0.9,4781,0.13450555633703756
online_draft10,global_doc_position,0.9-1.0,7109,0.2
online_draft10,chunk_relative_position,0.0-0.1,15749,0.443072162048108
online_draft10,chunk_relative_position,0.1-0.2,4845,0.13630609087072726
online_draft10,chunk_relative_position,0.2-0.3,3054,0.08591925727950485
online_draft10,chunk_relative_position,0.3-0.4,2428,0.06830777887185258
online_draft10,chunk_relative_position,0.4-0.5,1715,0.04824869883246589
online_draft10,chunk_relative_position,0.5-0.6,1309,0.036826557884371926
online_draft10,chunk_relative_position,0.6-0.7,1087,0.030580953720635812
online_draft10,chunk_relative_position,0.7-0.8,944,0.026557884371922913
online_draft10,chunk_relative_position,0.8-0.9,967,0.027204951469967646
online_draft10,chunk_relative_position,0.9-1.0,3447,0.0969756646504431
