Question,Real Answer,Pred Answer
Glenn Frey died in January. Of what pop band was he a member?,Eagle,Eagles
What role did Henry Travers play in a famous and still-popular 1946 film?,Clarence Odbody,Clarence Odbody
Which magazine features a strip entitled Sid the Sexist?,Viz,Viz
The vegetable we call chicory is known as what in the USA?,Cichorium endivia,curly endive
Which former Italian Prime Minister was kidnapped and murdered in 1978?,Aldo Moro,Aldo Moro
Is the mountain range in Ireland in which the river Liffey rises?,Wicklow Mountains,yes
"What was the name of the American pediatrician whose book Baby and Child Care, was published in 1946?",Benjamin Spock,Benjamin Spock
"What is the correct name for the ""Flying Lady"" ornament on a Rolls Royce radiator.",Spirit of Ecstasy,Spirit of Ecstasy
Who was the minstrel in Robin Hood’s band of men?,Allen-a-Dale,Alan-a-Dale
Which recent ITV three-part drama was based on real-life wife killer Malcolm Webster?,The Widower,The Widower
Who did Frank Bruno beat to win the WBC World Title in 1995?,Oliver McCall,Oliver McCall
"In 1966, what replaced the Aust ferry?",Severn Bridge,Severn Bridge
Which county was absorbed into Cambridgeshire in 1974?,Huntingdonshire District Council,Isle of Ely
"Bewdley, Tenbury Wells, and Droitwich Spa are all towns in which English county?",Worcestershire county,Worcestershire
The hamadryas is a species of which monkey?,Baboon,baboon
The Sentinel serves which Midlands city?,Stoke-on-Trent,Coventry
What name is given to the area of large country houses around Worksop?,The Dukeries,The Dukeries
How many calories are in a pint of Guinness?,198,418
What was George's surname in George And Mildred?,Roper,Roper
Name the Ent who befriends Merry and Pippin in Fanghorn forest.,Treebeard,Treebeard
Which fictional character drove a white Volvo P1800?,The Saint,Simon Templar
Which word was introduced on coins in 1971 before being dropped in 1982?,New,new
Which band member is organising this year's Diamond Jubilee concert at Buckingham Palace?,Gary Barlow,Gary Barlow
Who wrote the screenplay for The Crying Game?,Neil Jordan,Neil Jordan
The First Time Ever I Saw Your Face was featured in which Clint Eastwood film?,Play Misty for Me,Play Misty for Me
