label,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,prefill_s,storage_s,selection_s,terminated,finished,traceback
rate1_full_attention,105,135,0.7777777777777778,218,248,0.8790322580645161,0.5691769810114732,0.22983870967741934,0.11671351909637451,0.0,0.0,0,1,0
online_qk_rate015,84,135,0.6222222222222222,187,248,0.7540322580645161,0.48972942891317506,0.21370967741935484,0.23114286382682622,0.024921747168526052,0.10323252451978623,0,1,0
rate0_no_doc_recompute,75,135,0.5555555555555556,173,248,0.6975806451612904,0.45261988204959563,0.16129032258064516,0.10109068003669382,0.025017696088179945,0.0,0,1,0
offline_qk_frequency,79,135,0.5851851851851851,179,248,0.7217741935483871,0.4695720630750484,0.1975806451612903,0.13628025516771167,0.02524981480683126,0.0,1,1,0
offline_draft_frequency,85,135,0.6296296296296297,183,248,0.7379032258064516,0.49091649633809076,0.1935483870967742,0.133833197140287,0.02529941614084093,0.0,2,1,0
offline_draft_mean,84,135,0.6222222222222222,183,248,0.7379032258064516,0.49158393718809856,0.18951612903225806,0.1351732091952219,0.025431971831372368,0.0,2,1,0
offline_fullattn_frequency,76,135,0.562962962962963,171,248,0.6895161290322581,0.4372554648710759,0.1532258064516129,0.1378867718241132,0.026120847110050145,0.0,1,2,0
draft_score_lexical_tiebreak,85,135,0.6296296296296297,182,248,0.7338709677419355,0.4942637322739061,0.1935483870967742,0.1768814489081851,0.029518975624087035,0.0,0,1,0
hybrid_draft70_qk30_score,88,135,0.6518518518518519,186,248,0.75,0.48716566654520554,0.1814516129032258,0.17206233184362646,0.029939389719918837,0.0,0,1,0
hybrid_intersection_fill_draft,86,135,0.6370370370370371,185,248,0.7459677419354839,0.49345100151576854,0.18548387096774194,0.1706918402564188,0.029678741776238894,0.0,0,1,0
draft90_lexical10,82,135,0.6074074074074074,181,248,0.7298387096774194,0.492391052546969,0.18951612903225806,0.16557552669176948,0.02875300766370492,0.0,0,1,0
draft80_lexical20,83,135,0.6148148148148148,183,248,0.7379032258064516,0.4808719977996395,0.1935483870967742,0.17723611793995953,0.029204638808238086,0.0,0,1,0
hybrid_draft50_qk50_score,83,135,0.6148148148148148,182,248,0.7338709677419355,0.4793821998191983,0.1774193548387097,0.17229044222430093,0.03020712906413246,0.0,0,1,0
lexical_entity_number,81,135,0.6,182,248,0.7338709677419355,0.4755077946946605,0.20161290322580644,0.17217698341593496,0.028609182096028234,0.0,0,1,0
lexical_idf_entity_boundary,75,135,0.5555555555555556,171,248,0.6895161290322581,0.4391808294375418,0.14919354838709678,0.16843939030417823,0.02919248018809594,0.0,0,1,0
