row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,semantic,end_to_end_ttft_s,kv_load_copy_s,selection_s,online_update_query_prefill_s,extra_impl_overhead_s,rate1_baseline_candidate_s,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_exact_cache_ttft_s,full_ttft_compute_s,full_ttft_wall_s,fusion_ttft_compute_s,fusion_ttft_wall_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion_compute,ttft_reduction_pct_compute,speedup_full_exact_over_fusion_compute,ttft_reduction_pct_full_exact_vs_fusion_compute,speedup_full_over_fusion_wall,ttft_reduction_pct_wall
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,FusionRAG cache reuse; selection; partial online update,0.943790004006587,0.056748040951788425,0.3227024630177766,0.4982813930255361,0.06605810701148584,0.0,196,223,0.0,0.0,0.0,0.8777318969951011,0.943790004006587,0.056748040951788425,0.3227024630177766,0.2926238820073195,0.4982813930255361,0.0,0.0,0.0,0.0,0.0,0.0
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,FusionRAG cache reuse; selection; partial online update,0.3039834570372477,0.023441153985913843,0.10674919898156077,0.09538500802591443,0.07840809604385868,0.0,194,219,0.0,0.0,0.0,0.22557536099338904,0.3039834570372477,0.023441153985913843,0.10674919898156077,0.10600616398733109,0.09538500802591443,0.0,0.0,0.0,0.0,0.0,0.0
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,FusionRAG cache reuse; selection; partial online update,0.28876737295649946,0.024413538980297744,0.10935929196421057,0.09545402001822367,0.05954052199376747,0.0,216,237,0.0,0.0,0.0,0.229226850962732,0.28876737295649946,0.024413538980297744,0.10935929196421057,0.10860024200519547,0.09545402001822367,0.0,0.0,0.0,0.0,0.0,0.0
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,FusionRAG cache reuse; selection; partial online update,0.28274150495417416,0.0214429660118185,0.10610766097670421,0.09529217897215858,0.05989869899349287,0.0,173,199,0.0,0.0,0.0,0.2228428059606813,0.28274150495417416,0.0214429660118185,0.10610766097670421,0.10534586600260809,0.09529217897215858,0.0,0.0,0.0,0.0,0.0,0.0
4,False,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,FusionRAG cache reuse; selection; partial online update,0.281253656023182,0.02451669197762385,0.10706388601101935,0.0953451480017975,0.05432793003274128,0.0,202,229,0.0,0.0,0.0,0.2269257259904407,0.281253656023182,0.02451669197762385,0.10706388601101935,0.10632998298387975,0.0953451480017975,0.0,0.0,0.0,0.0,0.0,0.0
5,False,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,FusionRAG cache reuse; selection; partial online update,0.29512637498555705,0.021833800012245774,0.10683015396352857,0.09572118101641536,0.07074123999336734,0.0,176,208,0.0,0.0,0.0,0.2243851349921897,0.29512637498555705,0.021833800012245774,0.10683015396352857,0.10608799901092425,0.09572118101641536,0.0,0.0,0.0,0.0,0.0,0.0
6,False,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,FusionRAG cache reuse; selection; partial online update,0.36458180303452536,0.029851230036001652,0.10943382699042559,0.11831418500514701,0.10698256100295112,0.0,311,335,0.0,0.0,0.0,0.25759924203157425,0.36458180303452536,0.029851230036001652,0.10943382699042559,0.10859813803108409,0.11831418500514701,0.0,0.0,0.0,0.0,0.0,0.0
7,False,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,FusionRAG cache reuse; selection; partial online update,0.28273477498441935,0.024383526004385203,0.10597287601558492,0.09624293801607564,0.056135434948373586,0.0,223,244,0.0,0.0,0.0,0.22659934003604576,0.28273477498441935,0.024383526004385203,0.10597287601558492,0.10521532403072342,0.09624293801607564,0.0,0.0,0.0,0.0,0.0,0.0
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,FusionRAG cache reuse; selection; partial online update,0.2997545360121876,0.02388681599404663,0.10757422505412251,0.11304153903620318,0.05525195592781529,0.0,238,265,0.0,0.0,0.0,0.2445025800843723,0.2997545360121876,0.02388681599404663,0.10757422505412251,0.1068047370063141,0.11304153903620318,0.0,0.0,0.0,0.0,0.0,0.0
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,FusionRAG cache reuse; selection; partial online update,0.30384895601309836,0.02844975097104907,0.10797879594611004,0.09576501196715981,0.07165539712877944,0.0,219,247,0.0,0.0,0.0,0.23219355888431892,0.30384895601309836,0.02844975097104907,0.10797879594611004,0.10722713900031522,0.09576501196715981,0.0,0.0,0.0,0.0,0.0,0.0
