Question,Real Answer,Pred Answer
"Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Lady Frances Manners,Frances Manners
"Where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",Cahiers du cinéma,Éric Rohmer
Where was the director of film Eisenstein In Guanajuato born?,"Newport, Wales","Peter Greenaway was born in Newport, Monmouthshire, Wales."
What is the place of birth of Sextus Barbour's father?,"Gordonsville, Virginia","Orange County, Virginia"
What is the place of birth of the performer of song Ruleta (Inna Song)?,Mangalia,"Mangalia, Romania"
Who is the father of the director of film A No-Hit No-Run Summer?,Félix Leclerc,Félix Leclerc
"Who is Henri Ii, Duke Of Nemours's paternal grandfather?",Jacques,"Henri I, Duke of Nemours's paternal grandfather is Jacques of Savoy."
Who is Gisela Of Hungary's father-in-law?,Géza,Stephen I of Hungary
Who is the paternal grandmother of King Kang Of Zhou?,Yi Jiang,Wang Jiang of the Jiang clan
"What is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?","November 3, 1867",3 November 1867
Who is the spouse of the director of film Rodney Steps In?,Ivy Duke,Ivy Duke
"When did Frances Vane, Marchioness Of Londonderry's father die?",1 August 1813,1813
"Which film has the director who is older than the other, Season Of Strangers or The Yellow Teddy Bears? ",Season Of Strangers,Season of Strangers
Were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,yes
"Who was born first, Antoine Casavant or Abdul Ali Lalu?",Antoine Casavant,Antoine Casavant
Where did Rameshwari Nehru's husband graduate from?,Oxford,Oxford University
"Who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?","Sir Hew Dalrymple, 2nd Baronet","Sir Hew Dalrymple, 3rd Baronet"
"Which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?",Murderer In The Fog,Khud-Daar
Who is the spouse of the director of film Soldier (1998 American Film)?,Milla,Milla Jovovich
"Where did Catherine Of Taranto, Countess Of Copertino's mother die?",Lecce,Bribir
Which award the director of film Lady Magdalene'S got?,Prometheus Award,Special Jury Prize for Libertarian Ideals
What nationality is Princess Charlotte Of Saxe-Meiningen's husband?,Duchy of Saxe-Gotha-Altenburg,German
"Which film has the director who was born first, The Longshots or Station For Two?",Station For Two,The Longshots
What is the place of birth of Aleksey Greig's father?,Inverkeithing,"Inverkeithing, Fife, Scotland"
When did Thomas Of Galloway (Bastard)'s father die?,1234,1234
