Question,Real Answer,Pred Answer
Where was the wife of Francis I Rákóczi born?,Ozalj,"9 May 1849 in Heian-kyō, Japan"
Who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,Elizabeth
Where does the director of film Man At Bath work at?,Cahiers du cinéma,"Christophe Honoré is the director of the film Man at Bath. Based on the provided information, he works as a French writer and film and theatre director."
Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,yes
"What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,c. 1532
"Who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,"Lewis Watson, 1st Earl of Rockingham"
"What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,1275
Who is Helmichis's father-in-law?,Cunimund,Answer: Alboin
Where did Helena Carroll's father study?,St Patrick's College,"St Patrick's College, Dublin"
Where does the director of film Wine Of Morning work at?,Bob Jones University,Answer: Bob Jones University
"Which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",The House Of The Seven Hawks,The House of the Seven Hawks
"Who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Marie of Hohenstaufen,Answer: Margaret of Flanders
"Who is Renaud Ii, Count Of Soissons's uncle?","Guy II, Count of Soissons","John I, Count of Soissons"
When did William Le Poer Trench's father die?,26 April 1872,1839
Which country the director of film Renegade Force is from?,America,"Martin Kunert, the director of the film *Renegade Force*, is from Poland."
Who is the spouse of the director of film Emergency Wedding?,Ona Munson,Barbara Hale
"Which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,The Death Of Black King
Do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,no,no
"Are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,yes
Where was the director of film Kanneshwara Rama born?,Mysore,"Mysore, India"
Where was the place of death of Randi Monsen's father?,Kristiania,"The place of death of Randi Monsen's father, Fredrik Monsen, is not explicitly mentioned in the provided passages."
Where did the performer of song I'Ll Say It graduate from?,Lee Strasberg Theatre and Film Institute,"The performer of the song ""I'll Say It,"" Kathy Griffin, did not graduate from a specific institution mentioned in the provided passages. However, it is noted that she studied drama at the Lee Strasberg Theatre and Film"
"Which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",Hell Up In Harlem,Hell Up in Harlem
"Who was born first, Cipriano Castro or Damir Nikšić?",Cipriano Castro,Cipriano Castro
"Which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,Answer: Monster on the Campus
"Who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?",Altuğ Çelikbilek,Altuğ Çelikbilek
"Which song came out first, Joel The Lump Of Coal or Jugband Blues?",Jugband Blues,Jugband Blues
Are both Open Mobile and Primestar located in the same country?,yes,yes
Who is the paternal grandfather of Baldwin I Rátót?,Leustach Rátót,Rathold Rátót
What is the place of birth of Ratna Malla's father?,Nepal,Belfast
"Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford","Archibald Acheson, 4th Earl of Gosford's paternal grandfather is Arthur Acheson, 1st Earl of Gosford."
Who is the paternal grandfather of Mark Getty?,Jean Paul Getty,John Paul Getty Jr.
Where did the performer of song Fantasy (George Michael Song) die?,"Goring-on-Thames, Oxfordshire",Goring-on-Thames
Do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,yes,yes
"Which film whose director was born first, The Abduction Club or Wooden Crosses?",Wooden Crosses,The Abduction Club
"Which film came out earlier, Above Rubies or The Magic Aster?",Above Rubies,Above Rubies
"Which film has the director who is older than the other, Blue Blood And Red or The Longshot? ",Blue Blood And Red,Blue Blood and Red
What is the place of birth of the director of film Clowning Around?,"Castlemaine, Victoria, Australia","Castlemaine, Victoria, Australia"
"Who was born later, Paul De Scherff or Lyudmyla Olyanovska?",Lyudmyla Olyanovska,Lyudmyla Olyanovska
Where was the place of death of Kamures Kadın's husband?,Constantinople,"Eyüp Cemetery, Istanbul"
What is the place of birth of Bernard (Son Of Charles The Fat)'s father?,East Francia,The place of birth of Bernard (son of Charles the Fat)'s father is not explicitly mentioned in the provided passages.
"Which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Henry Goes Arizona,Tex and the Lord of the Deep
Which country the performer of song I Believe In Your Sweet Love is from?,United Kingdom,Welsh
"Which film whose producer was born first, All-American Co-Ed or Lagu Kenangan?",All-American Co-Ed,All-American Co-Ed
What is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,Buenos Aires,"Marshall, Indiana"
Who is the mother-in-law of Louise Of Mecklenburg-Güstrow?,Charlotte Amalie of Hesse-Kassel,Magdalena Sibylle of Holstein-Gottorp
Where was the place of death of Agnes Of Hohenstaufen's husband?,Brunswick,1194 at the Imperial Palace of Tilleda.
Who is Marcus Annius Libo's aunt?,Vibia Sabina,Empress Faustina the Elder
"Which film was released more recently, Bajo Otro Sol or Riding The California Trail?",Bajo Otro Sol,Bajo Otro Sol
Who is the mother of the director of film Dalida (2017 Film)?,Marie Laforêt,Susan B. Nelson
Who is the spouse of the director of film Streets Of Blood?,Sandra Nelson,Heather D. Gibson is the spouse of the director of the film *Streets of Blood*.
When is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669",1669
"Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",Palencia,Pamplona
