case,mode,example_id,sub_q_idx,rate,selected_count,gt_chunks,wrong_chunks,selected_mass,gt_chunk_mass,wrong_chunk_mass,gt_chunk_mass_last_layer,wrong_chunk_mass_last_layer,top_chunks
art_brut_lead_singer,preprocess,11,1,0.3,361,2;12,10,0.17584776878356934,0.06116671487689018,0.03352007269859314,0.13124072551727295,0.07508216798305511,"[{""doc_chunk"": 5, ""mass"": 0.03364921361207962}, {""doc_chunk"": 10, ""mass"": 0.03352007269859314}, {""doc_chunk"": 6, ""mass"": 0.03248543664813042}, {""doc_chunk"": 2, ""mass"": 0.03058335743844509}, {""doc_chunk"": 12, ""mass"": 0.03058335743844509}]"
art_brut_lead_singer,k_only,11,1,0.3,361,2;12,10,0.22637887299060822,0.1050507128238678,0.034470222890377045,0.11860237270593643,0.12400306016206741,"[{""doc_chunk"": 12, ""mass"": 0.08548138290643692}, {""doc_chunk"": 11, ""mass"": 0.03968803212046623}, {""doc_chunk"": 10, ""mass"": 0.034470222890377045}, {""doc_chunk"": 5, ""mass"": 0.029279440641403198}, {""doc_chunk"": 6, ""mass"": 0.025882072746753693}]"
art_brut_lead_singer,v_only,11,1,0.3,361,2;12,10,0.16246764361858368,0.037741225212812424,0.036724671721458435,0.05682191252708435,0.08882962167263031,"[{""doc_chunk"": 6, ""mass"": 0.03684736043214798}, {""doc_chunk"": 10, ""mass"": 0.036724671721458435}, {""doc_chunk"": 5, ""mass"": 0.03096088394522667}, {""doc_chunk"": 3, ""mass"": 0.027178989723324776}, {""doc_chunk"": 9, ""mass"": 0.02662021480500698}]"
art_brut_lead_singer,kv,11,1,0.3,361,2;12,10,0.22986042499542236,0.11838284321129322,0.03104846179485321,0.16033451817929745,0.07851184904575348,"[{""doc_chunk"": 12, ""mass"": 0.09352483600378036}, {""doc_chunk"": 11, ""mass"": 0.03913489356637001}, {""doc_chunk"": 10, ""mass"": 0.03104846179485321}, {""doc_chunk"": 2, ""mass"": 0.024858007207512856}, {""doc_chunk"": 5, ""mass"": 0.023674756288528442}]"
national_dream_author,preprocess,117,0,0.3,402,1,5;8;9,0.15578143298625946,0.02950906567275524,0.10172557272017002,0.04210006818175316,0.2438097633421421,"[{""doc_chunk"": 8, ""mass"": 0.039134226739406586}, {""doc_chunk"": 5, ""mass"": 0.036344967782497406}, {""doc_chunk"": 7, ""mass"": 0.034510593861341476}, {""doc_chunk"": 10, ""mass"": 0.03179275617003441}, {""doc_chunk"": 3, ""mass"": 0.03159257024526596}]"
national_dream_author,k_only,117,0,0.3,402,1,5;8;9,0.16721223294734955,0.03680397570133209,0.08915268070995808,0.06315553188323975,0.2459566779434681,"[{""doc_chunk"": 10, ""mass"": 0.06839559227228165}, {""doc_chunk"": 1, ""mass"": 0.03680397570133209}, {""doc_chunk"": 8, ""mass"": 0.034013934433460236}, {""doc_chunk"": 7, ""mass"": 0.03385739400982857}, {""doc_chunk"": 2, ""mass"": 0.029510335996747017}]"
national_dream_author,v_only,117,0,0.3,402,1,5;8;9,0.15433497726917267,0.027536259964108467,0.10233814269304276,0.045549407601356506,0.21430205553770065,"[{""doc_chunk"": 5, ""mass"": 0.03809010609984398}, {""doc_chunk"": 8, ""mass"": 0.0379372239112854}, {""doc_chunk"": 7, ""mass"": 0.034084826707839966}, {""doc_chunk"": 3, ""mass"": 0.030734142288565636}, {""doc_chunk"": 10, ""mass"": 0.030553951859474182}]"
national_dream_author,kv,117,0,0.3,402,1,5;8;9,0.1627947837114334,0.03514264151453972,0.08615997806191444,0.061942752450704575,0.23795462027192116,"[{""doc_chunk"": 10, ""mass"": 0.06576452404260635}, {""doc_chunk"": 1, ""mass"": 0.03514264151453972}, {""doc_chunk"": 7, ""mass"": 0.03191584348678589}, {""doc_chunk"": 8, ""mass"": 0.031602926552295685}, {""doc_chunk"": 2, ""mass"": 0.030067235231399536}]"
bartrams_bridge_water,preprocess,141,0,0.3,284,1;10,2,0.14656665921211243,0.08152620866894722,0.021183591336011887,0.15200797468423843,0.03127136453986168,"[{""doc_chunk"": 1, ""mass"": 0.04359697550535202}, {""doc_chunk"": 10, ""mass"": 0.0379292331635952}, {""doc_chunk"": 7, ""mass"": 0.03258746489882469}, {""doc_chunk"": 8, ""mass"": 0.031038830056786537}, {""doc_chunk"": 9, ""mass"": 0.02987193875014782}]"
bartrams_bridge_water,k_only,141,0,0.3,284,1;10,2,0.1183924674987793,0.11412456631660461,0.01879812404513359,0.2260393500328064,0.0223824605345726,"[{""doc_chunk"": 10, ""mass"": 0.05988989397883415}, {""doc_chunk"": 1, ""mass"": 0.05423467233777046}, {""doc_chunk"": 4, ""mass"": 0.028571821749210358}, {""doc_chunk"": 7, ""mass"": 0.027856459841132164}, {""doc_chunk"": 5, ""mass"": 0.026798170059919357}]"
