Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
What pantheon is the God of the underworld in ancient Egypt a part of?,Who is the god of the underworld in ancient Egyptian mythology?,Osiris is the god of the underworld in ancient Egyptian mythology.,Osiris,True,0.16666666666666669,0.0,预测答案“Osiris”准确给出了古埃及神话中的冥界之神的名字，包含了标准答案的核心关键信息。虽然它没有使用完整的句子结构，但在语义上与标准答案完全等价，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
"Who is the grandmother of Philippe, Duke of Orléans?","Who is Philippe, Duke of Orléans?","Philippe, Duke of Orléans (1640–1701) was the younger son of King Louis XIII of France and Anne of Austria, making him the younger brother of King Louis XIV. He was originally styled Duke of Anjou and became Duke of Orléans in 1660. He was also granted other titles such as Duke of Valois, Chartres, and Nemours. At court, he was known simply as 'Monsieur'.","Philippe, Duke of Orléans was the younger son of Louis XIII of France and his wife Anne of Austria. He became the Duke of Orléans upon the death of his uncle Gaston and was known as ""Monsieur"" at the court of France.",True,0.5652173913043479,0.0,预测答案包含了标准答案的核心关键信息，如他是路易十三和安妮·奥地利的幼子，以及他在宫廷中被称为“Monsieur”。同时，预测答案也正确指出了他成为奥尔良公爵的事实（补充了因叔叔加斯东去世而继承该爵位的具体背景）。两者在语义上基本等价，准确回答了关于其身份的问题。,N/A,N/A,N/A,N/A,N/A
"Who is the grandmother of Philippe, Duke of Orléans?",Who was the mother of King Louis XIII of France?,Marie de' Medici was the mother of King Louis XIII of France.,Marie de' Medici,True,0.47058823529411764,0.0,预测答案“Marie de' Medici”准确给出了问题所问的人物，包含了标准答案中的核心关键信息。虽然它没有包含完整的陈述句，但在语义上与标准答案完全等价，正确回答了法国国王路易十三的母亲是谁这一问题。,N/A,N/A,N/A,N/A,N/A
In which district was Alhandra born?,Who is Alhandra?,"Alhandra is the nickname for Luís Miguel Assunção Joaquim, a Portuguese retired footballer who played mainly as a left back but could also appear as a midfielder. He was born on 5 March 1979 in Vila Franca de Xira, Lisbon.",Luís Miguel Assunção Joaquim,True,0.2857142857142857,0.0,预测答案“Luís Miguel Assunção Joaquim”准确给出了标准答案中Alhandra所指代人物的真实姓名，包含了回答该问题所需的最核心关键信息。虽然预测答案省略了其职业、出生日期等详细背景描述，但已经足以正确回答“Alhandra是谁”的问题，在核心语义上与标准答案完全一致。,N/A,N/A,N/A,N/A,N/A
What recognition did the actor of Truman Capote from Capote receive?,Who played Truman Capote in the movie Capote?,Philip Seymour Hoffman played Truman Capote in the movie 'Capote'.,Philip Seymour Hoffman,True,0.6086956521739131,0.0,预测答案“Philip Seymour Hoffman”准确给出了问题所询问的演员名字，包含了标准答案的核心关键信息。虽然预测答案省略了标准答案中的补充说明部分，但在语义上与标准答案完全等价，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
In which borough was Callum McManaman born?,Callum McManaman birthplace,"Whiston, Merseyside","Whiston, Merseyside",True,1.0,1.0,"预测答案与标准答案完全一致，均给出了“Whiston, Merseyside”这一地点信息，准确且完整地回答了关于Callum McManaman出生地的问题，符合所有判断标准。",N/A,N/A,N/A,N/A,N/A
What province shares a border with the province where Lago District is located?,In which province is Lago District located?,Niassa Province,Niassa Province,True,1.0,1.0,预测答案与标准答案完全一致，均为“Niassa Province”。预测答案准确包含了标准答案的关键信息，在语义上完全等价，因此正确地回答了Lago District所在省份的问题。,N/A,N/A,N/A,N/A,N/A
What province shares a border with the province where Lago District is located?,Which provinces share a border with Niassa Province?,Niassa Province borders Cabo Delgado Province and Tanzania.,"Cabo Delgado Province, Gaza Province, Inhambane Province, and Maputo Province share a border with Niassa Province.",False,0.37499999999999994,0.0,预测答案未能包含标准答案的关键信息。标准答案明确指出Niassa省与Cabo Delgado省和坦桑尼亚接壤，而预测答案虽然包含了Cabo Delgado省，但错误地添加了Gaza省、Inhambane省和Maputo省，并且遗漏了坦桑尼亚。因此，两者在语义上不等价。,N/A,N/A,N/A,N/A,N/A
What is the record label of the Metalworks Studio founder?,Who is the founder of Metalworks Studio?,Gil Moore,Gil Moore,True,1.0,1.0,预测答案“Gil Moore”与标准答案完全一致，准确包含了问题的关键信息，正确回答了Metalworks Studio的创始人是谁，符合所有判断标准。,N/A,N/A,N/A,N/A,N/A
What is the record label of the Metalworks Studio founder?,What record label is Gil Moore associated with?,Gil Moore is associated with the record label TRC (later renamed TML Entertainment).,Three Gut Records,False,0,0.0,预测答案给出的“Three Gut Records”与标准答案中提到的“TRC (later renamed TML Entertainment)”完全不一致。预测答案未能包含标准答案的关键信息，且两者在语义上不等价，因此预测答案未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
What is the goal of the group that European Movement Germany is a member of?,Which group is European Movement Germany a member of?,European Movement Germany is a member of the European Movement International.,European Movement International,True,0.5,0.0,预测答案“European Movement International”直接给出了问题所询问的组织名称，包含了标准答案的核心关键信息。虽然它省略了标准答案中的主语和谓语等陈述性修饰词，但在语义上与标准答案完全等价，准确地回答了该组织所属的成员集团。,N/A,N/A,N/A,N/A,N/A
