chunk,method,chunk_len,selected_count,example_id,rate
chunk00,draft_frequency_per_chunk,50,25,0,0.5
chunk00,qk_frequency_per_chunk,50,25,0,0.5
chunk00,hybrid_draft70_qk30_score_per_chunk,50,25,0,0.5
chunk00,hybrid_draft50_qk50_score_per_chunk,50,25,0,0.5
chunk01,draft_frequency_per_chunk,92,46,0,0.5
chunk01,qk_frequency_per_chunk,92,46,0,0.5
chunk01,hybrid_draft70_qk30_score_per_chunk,92,46,0,0.5
chunk01,hybrid_draft50_qk50_score_per_chunk,92,46,0,0.5
chunk02,draft_frequency_per_chunk,76,38,0,0.5
chunk02,qk_frequency_per_chunk,76,38,0,0.5
chunk02,hybrid_draft70_qk30_score_per_chunk,76,38,0,0.5
chunk02,hybrid_draft50_qk50_score_per_chunk,76,38,0,0.5
chunk03,draft_frequency_per_chunk,98,49,0,0.5
chunk03,qk_frequency_per_chunk,98,49,0,0.5
chunk03,hybrid_draft70_qk30_score_per_chunk,98,49,0,0.5
chunk03,hybrid_draft50_qk50_score_per_chunk,98,49,0,0.5
chunk04,draft_frequency_per_chunk,52,26,0,0.5
chunk04,qk_frequency_per_chunk,52,26,0,0.5
chunk04,hybrid_draft70_qk30_score_per_chunk,52,26,0,0.5
chunk04,hybrid_draft50_qk50_score_per_chunk,52,26,0,0.5
chunk05,draft_frequency_per_chunk,214,107,0,0.5
chunk05,qk_frequency_per_chunk,214,107,0,0.5
chunk05,hybrid_draft70_qk30_score_per_chunk,214,107,0,0.5
chunk05,hybrid_draft50_qk50_score_per_chunk,214,107,0,0.5
chunk06,draft_frequency_per_chunk,121,60,0,0.5
chunk06,qk_frequency_per_chunk,121,60,0,0.5
chunk06,hybrid_draft70_qk30_score_per_chunk,121,60,0,0.5
chunk06,hybrid_draft50_qk50_score_per_chunk,121,60,0,0.5
chunk07,draft_frequency_per_chunk,301,150,0,0.5
chunk07,qk_frequency_per_chunk,301,150,0,0.5
chunk07,hybrid_draft70_qk30_score_per_chunk,301,150,0,0.5
chunk07,hybrid_draft50_qk50_score_per_chunk,301,150,0,0.5
chunk08,draft_frequency_per_chunk,84,42,0,0.5
chunk08,qk_frequency_per_chunk,84,42,0,0.5
chunk08,hybrid_draft70_qk30_score_per_chunk,84,42,0,0.5
chunk08,hybrid_draft50_qk50_score_per_chunk,84,42,0,0.5
chunk09,draft_frequency_per_chunk,83,41,0,0.5
chunk09,qk_frequency_per_chunk,83,41,0,0.5
chunk09,hybrid_draft70_qk30_score_per_chunk,83,41,0,0.5
chunk09,hybrid_draft50_qk50_score_per_chunk,83,41,0,0.5
chunk00,draft_frequency_per_chunk,90,45,1,0.5
chunk00,qk_frequency_per_chunk,90,45,1,0.5
chunk00,hybrid_draft70_qk30_score_per_chunk,90,45,1,0.5
chunk00,hybrid_draft50_qk50_score_per_chunk,90,45,1,0.5
chunk01,draft_frequency_per_chunk,85,42,1,0.5
chunk01,qk_frequency_per_chunk,85,42,1,0.5
chunk01,hybrid_draft70_qk30_score_per_chunk,85,42,1,0.5
chunk01,hybrid_draft50_qk50_score_per_chunk,85,42,1,0.5
chunk02,draft_frequency_per_chunk,130,65,1,0.5
chunk02,qk_frequency_per_chunk,130,65,1,0.5
chunk02,hybrid_draft70_qk30_score_per_chunk,130,65,1,0.5
chunk02,hybrid_draft50_qk50_score_per_chunk,130,65,1,0.5
chunk03,draft_frequency_per_chunk,86,43,1,0.5
chunk03,qk_frequency_per_chunk,86,43,1,0.5
chunk03,hybrid_draft70_qk30_score_per_chunk,86,43,1,0.5
chunk03,hybrid_draft50_qk50_score_per_chunk,86,43,1,0.5
chunk04,draft_frequency_per_chunk,135,67,1,0.5
chunk04,qk_frequency_per_chunk,135,67,1,0.5
chunk04,hybrid_draft70_qk30_score_per_chunk,135,67,1,0.5
chunk04,hybrid_draft50_qk50_score_per_chunk,135,67,1,0.5
chunk05,draft_frequency_per_chunk,217,108,1,0.5
chunk05,qk_frequency_per_chunk,217,108,1,0.5
chunk05,hybrid_draft70_qk30_score_per_chunk,217,108,1,0.5
chunk05,hybrid_draft50_qk50_score_per_chunk,217,108,1,0.5
chunk06,draft_frequency_per_chunk,56,28,1,0.5
chunk06,qk_frequency_per_chunk,56,28,1,0.5
chunk06,hybrid_draft70_qk30_score_per_chunk,56,28,1,0.5
chunk06,hybrid_draft50_qk50_score_per_chunk,56,28,1,0.5
chunk07,draft_frequency_per_chunk,216,108,1,0.5
chunk07,qk_frequency_per_chunk,216,108,1,0.5
chunk07,hybrid_draft70_qk30_score_per_chunk,216,108,1,0.5
chunk07,hybrid_draft50_qk50_score_per_chunk,216,108,1,0.5
chunk08,draft_frequency_per_chunk,113,56,1,0.5
chunk08,qk_frequency_per_chunk,113,56,1,0.5
chunk08,hybrid_draft70_qk30_score_per_chunk,113,56,1,0.5
chunk08,hybrid_draft50_qk50_score_per_chunk,113,56,1,0.5
chunk09,draft_frequency_per_chunk,77,38,1,0.5
chunk09,qk_frequency_per_chunk,77,38,1,0.5
chunk09,hybrid_draft70_qk30_score_per_chunk,77,38,1,0.5
chunk09,hybrid_draft50_qk50_score_per_chunk,77,38,1,0.5
chunk00,draft_frequency_per_chunk,64,32,2,0.5
chunk00,qk_frequency_per_chunk,64,32,2,0.5
chunk00,hybrid_draft70_qk30_score_per_chunk,64,32,2,0.5
chunk00,hybrid_draft50_qk50_score_per_chunk,64,32,2,0.5
chunk01,draft_frequency_per_chunk,122,61,2,0.5
chunk01,qk_frequency_per_chunk,122,61,2,0.5
chunk01,hybrid_draft70_qk30_score_per_chunk,122,61,2,0.5
chunk01,hybrid_draft50_qk50_score_per_chunk,122,61,2,0.5
chunk02,draft_frequency_per_chunk,88,44,2,0.5
chunk02,qk_frequency_per_chunk,88,44,2,0.5
chunk02,hybrid_draft70_qk30_score_per_chunk,88,44,2,0.5
chunk02,hybrid_draft50_qk50_score_per_chunk,88,44,2,0.5
chunk03,draft_frequency_per_chunk,48,24,2,0.5
chunk03,qk_frequency_per_chunk,48,24,2,0.5
chunk03,hybrid_draft70_qk30_score_per_chunk,48,24,2,0.5
chunk03,hybrid_draft50_qk50_score_per_chunk,48,24,2,0.5
chunk04,draft_frequency_per_chunk,185,92,2,0.5
chunk04,qk_frequency_per_chunk,185,92,2,0.5
chunk04,hybrid_draft70_qk30_score_per_chunk,185,92,2,0.5
chunk04,hybrid_draft50_qk50_score_per_chunk,185,92,2,0.5
chunk05,draft_frequency_per_chunk,63,31,2,0.5
chunk05,qk_frequency_per_chunk,63,31,2,0.5
chunk05,hybrid_draft70_qk30_score_per_chunk,63,31,2,0.5
chunk05,hybrid_draft50_qk50_score_per_chunk,63,31,2,0.5
chunk06,draft_frequency_per_chunk,99,49,2,0.5
chunk06,qk_frequency_per_chunk,99,49,2,0.5
chunk06,hybrid_draft70_qk30_score_per_chunk,99,49,2,0.5
chunk06,hybrid_draft50_qk50_score_per_chunk,99,49,2,0.5
chunk07,draft_frequency_per_chunk,106,53,2,0.5
