task_id	dataset	method	rate	start	end
0	musique-v2	online_qk	0.15	0	25
1	musique-v2	online_qk	0.15	25	50
2	musique-v2	online_qk	0.15	50	75
3	musique-v2	online_qk	0.15	75	100
4	musique-v2	online_qk	0.15	100	125
5	musique-v2	online_qk	0.15	125	150
6	musique-v2	online_qk	0.15	150	175
7	musique-v2	online_qk	0.15	175	200
8	2wikimqa-v2	online_qk	0.15	0	25
9	2wikimqa-v2	online_qk	0.15	25	50
10	2wikimqa-v2	online_qk	0.15	50	75
11	2wikimqa-v2	online_qk	0.15	75	100
12	2wikimqa-v2	online_qk	0.15	100	125
13	2wikimqa-v2	online_qk	0.15	125	150
14	2wikimqa-v2	online_qk	0.15	150	175
15	2wikimqa-v2	online_qk	0.15	175	200
16	hotpotqa-v2	online_qk	0.15	0	25
17	hotpotqa-v2	online_qk	0.15	25	50
18	hotpotqa-v2	online_qk	0.15	50	75
19	hotpotqa-v2	online_qk	0.15	75	100
20	hotpotqa-v2	online_qk	0.15	100	125
21	hotpotqa-v2	online_qk	0.15	125	150
22	hotpotqa-v2	online_qk	0.15	150	175
23	hotpotqa-v2	online_qk	0.15	175	200
24	hotpotqa-v2	online_qk	0.15	200	225
25	hotpotqa-v2	online_qk	0.15	225	250
26	hotpotqa-v2	online_qk	0.15	250	260
27	triviaqa-v2	online_qk	0.15	0	25
28	triviaqa-v2	online_qk	0.15	25	50
29	triviaqa-v2	online_qk	0.15	50	75
30	triviaqa-v2	online_qk	0.15	75	100
31	triviaqa-v2	online_qk	0.15	100	125
32	triviaqa-v2	online_qk	0.15	125	150
33	triviaqa-v2	online_qk	0.15	150	175
34	triviaqa-v2	online_qk	0.15	175	200
35	triviaqa-v2	online_qk	0.15	200	225
36	triviaqa-v2	online_qk	0.15	225	250
37	triviaqa-v2	online_qk	0.15	250	270
