task_id	dataset	method	rate	start	end
30	hotpotqa-v2	online_draft	0.15	175	200
32	hotpotqa-v2	online_draft	0.15	200	225
34	hotpotqa-v2	online_draft	0.15	225	250
36	hotpotqa-v2	online_draft	0.15	250	260
38	musique-v2	uniform_alpha0p1_draft	0.15	0	25
42	musique-v2	uniform_alpha0p1_draft	0.15	25	50
46	musique-v2	uniform_alpha0p1_draft	0.15	50	75
50	musique-v2	uniform_alpha0p1_draft	0.15	75	100
54	musique-v2	uniform_alpha0p1_draft	0.15	100	125
58	musique-v2	uniform_alpha0p1_draft	0.15	125	150
62	musique-v2	uniform_alpha0p1_draft	0.15	150	175
66	musique-v2	uniform_alpha0p1_draft	0.15	175	200
40	hotpotqa-v2	uniform_alpha0p1_draft	0.15	0	25
44	hotpotqa-v2	uniform_alpha0p1_draft	0.15	25	50
48	hotpotqa-v2	uniform_alpha0p1_draft	0.15	50	75
52	hotpotqa-v2	uniform_alpha0p1_draft	0.15	75	100
56	hotpotqa-v2	uniform_alpha0p1_draft	0.15	100	125
60	hotpotqa-v2	uniform_alpha0p1_draft	0.15	125	150
64	hotpotqa-v2	uniform_alpha0p1_draft	0.15	150	175
68	hotpotqa-v2	uniform_alpha0p1_draft	0.15	175	200
70	hotpotqa-v2	uniform_alpha0p1_draft	0.15	200	225
72	hotpotqa-v2	uniform_alpha0p1_draft	0.15	225	250
74	hotpotqa-v2	uniform_alpha0p1_draft	0.15	250	260
