offline_n,online_n,hit_n,jaccard,offline_covered_by_online,online_covered_by_offline,dataset,level,topk,example_id,sub_q_idx,source_chunk_id,online_chunk_ids,offline_doc_ids,offline_available
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6 Q55-Doc6,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7 Q55-Doc7,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1 Q66-Doc9,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6 Q55-Doc6 Q53-Doc9,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7 Q55-Doc7 Q53-Doc8,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1 Q66-Doc9 Q55-Doc9,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6 Q55-Doc6 Q53-Doc9 Q66-Doc7 Q55-Doc7,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7 Q55-Doc7 Q53-Doc8 Q66-Doc6 Q55-Doc6,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1 Q66-Doc9 Q55-Doc9 Q53-Doc10 Q117-Doc16,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,51,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6 Q55-Doc6 Q53-Doc9 Q66-Doc7 Q55-Doc7 Q53-Doc8 Q52-Doc8 Q60-Doc12 Q48-Doc16,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,51,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7 Q55-Doc7 Q53-Doc8 Q66-Doc6 Q55-Doc6 Q53-Doc9 Q52-Doc9 Q60-Doc12 Q48-Doc16,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,51,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1 Q66-Doc9 Q55-Doc9 Q53-Doc10 Q117-Doc16 Q129-Doc5 Q192-Doc3 Q88-Doc12 Q117-Doc22,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,1,15,1 2 3 6 11 12 13 14 15 16,Q66-Doc18,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,1,12,1 2 3 6 11 12 13 14 15 16,Q129-Doc9,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,1,11,1 2 3 6 11 12 13 14 15 16,Q66-Doc12,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,1,14,1 2 3 6 11 12 13 14 15 16,Q158-Doc16,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,1,13,1 2 3 6 11 12 13 14 15 16,Q66-Doc16,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,51,1,16,1 2 3 6 11 12 13 14 15 16,Q193-Doc20,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,1,15,1 2 3 6 11 12 13 14 15 16,Q66-Doc18 Q55-Doc18,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,1,12,1 2 3 6 11 12 13 14 15 16,Q129-Doc9 Q66-Doc13,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,1,11,1 2 3 6 11 12 13 14 15 16,Q66-Doc12 Q55-Doc12,1
