dataset,level,topk,n,jaccard_mean,jaccard_p25,jaccard_p50,jaccard_p75,jaccard_p90,jaccard_p95,offline_covered_by_online_mean,offline_covered_by_online_p25,offline_covered_by_online_p50,offline_covered_by_online_p75,offline_covered_by_online_p90,offline_covered_by_online_p95,online_covered_by_offline_mean,online_covered_by_offline_p25,online_covered_by_offline_p50,online_covered_by_offline_p75,online_covered_by_offline_p90,online_covered_by_offline_p95
2wikimqa,chunk,1,1088,0.048131127450980395,0.0,0.0,0.1,0.1,0.1,0.4797794117647059,0.0,0.0,1.0,1.0,1.0,0.048131127450980395,0.0,0.0,0.1,0.1,0.1
2wikimqa,chunk,2,1088,0.08179311497326204,0.0,0.09090909090909091,0.2,0.2,0.2,0.4172794117647059,0.0,0.5,1.0,1.0,1.0,0.08371119281045752,0.0,0.1,0.2,0.2,0.2
2wikimqa,chunk,3,1088,0.10643243092691622,0.0,0.08333333333333333,0.18181818181818182,0.3,0.3,0.37561274509803916,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.11294934640522876,0.0,0.1,0.2,0.3,0.3
2wikimqa,chunk,5,1088,0.13754099760533586,0.0,0.07142857142857142,0.25,0.5,0.5,0.3145220588235294,0.0,0.2,0.6,1.0,1.0,0.15753676470588235,0.0,0.1,0.3,0.5,0.5
2wikimqa,chunk,10,1088,0.14948216581813037,0.0,0.05555555555555555,0.1875,0.46153846153846156,0.5833333333333334,0.23355800653594772,0.0,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.7777777777777779,0.21052900326797386,0.0,0.1,0.3,0.6,0.7
2wikimqa,sub_question,1,200,0.1412665644039483,0.0,0.0,0.26666666666666666,0.45454545454545453,0.5454545454545454,0.23913492063492064,0.0,0.0,0.4444444444444444,0.7527777777777777,0.8571428571428571,0.18516666666666665,0.0,0.0,0.4,0.5,0.6
2wikimqa,sub_question,2,200,0.1446847170755159,0.0,0.017241379310344827,0.25,0.4444444444444444,0.5401098901098895,0.187636779156516,0.0,0.025,0.3333333333333333,0.5726190476190475,0.7142857142857143,0.24583333333333332,0.0,0.05,0.5,0.7,0.8
2wikimqa,sub_question,3,200,0.13238544272401806,0.0,0.054093567251461985,0.23076923076923078,0.4090909090909091,0.5019230769230763,0.15674073268340996,0.0,0.06904761904761905,0.2727272727272727,0.4499999999999997,0.6683333333333327,0.2823333333333333,0.0,0.2,0.6,0.8,0.8
2wikimqa,sub_question,5,200,0.10510607483585915,0.0,0.040884438881935756,0.16098484848484848,0.3060606060606059,0.40173913043478204,0.11514225826710513,0.0,0.04889683959451401,0.1766076421248835,0.30991304347826054,0.4352657004830916,0.3203333333333333,0.0,0.2,0.6,0.8,0.9
2wikimqa,sub_question,10,200,0.07137115418927738,0.0,0.03260869565217391,0.10996955859969558,0.16698113207547166,0.2728840125391849,0.07381275159157856,0.0,0.03616557734204793,0.11475409836065574,0.17316053511705684,0.2820023148148146,0.36200000000000004,0.0,0.3,0.7,0.9,1.0
musique,chunk,1,1791,0.016395106847368154,0.0,0.0,0.0,0.1,0.1,0.16471245114461194,0.0,0.0,0.0,1.0,1.0,0.016395106847368154,0.0,0.0,0.0,0.1,0.1
musique,chunk,2,1791,0.032338459976650934,0.0,0.0,0.09090909090909091,0.09090909090909091,0.2,0.17197096594081518,0.0,0.0,0.5,0.5,1.0,0.034262220191868434,0.0,0.0,0.1,0.1,0.2
musique,chunk,3,1791,0.04783149104757145,0.0,0.0,0.08333333333333333,0.18181818181818182,0.18181818181818182,0.17997394379303927,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.05373838891426831,0.0,0.0,0.1,0.2,0.2
musique,chunk,5,1791,0.07497902246645965,0.0,0.07142857142857142,0.07142857142857142,0.15384615384615385,0.25,0.18849804578447796,0.0,0.2,0.2,0.4,0.6,0.09376681386731638,0.0,0.1,0.1,0.2,0.3
musique,chunk,10,1791,0.10316361610292564,0.0,0.05555555555555555,0.11764705882352941,0.26666666666666666,0.35714285714285715,0.1778646318009802,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.15920511649154864,0.0,0.1,0.2,0.4,0.5
musique,sub_question,1,250,0.0617167818765342,0.0,0.0,0.10526315789473684,0.2,0.2857142857142857,0.10857330447330447,0.0,0.0,0.2,0.375,0.5,0.09356363636363636,0.0,0.0,0.18181818181818182,0.3,0.4
musique,sub_question,2,250,0.0797542705791975,0.0,0.034482758620689655,0.11538461538461539,0.25131578947368416,0.35294117647058826,0.10741744758509465,0.0,0.05,0.16666666666666666,0.3352941176470587,0.4583916083916083,0.1625090909090909,0.0,0.09545454545454546,0.29318181818181815,0.5,0.6
musique,sub_question,3,250,0.09138548766757358,0.0,0.05334281650071124,0.13333333333333333,0.2734545454545454,0.35,0.11103123718111196,0.0,0.067816091954023,0.16666666666666666,0.3333333333333333,0.4117647058823529,0.22516363636363634,0.0,0.2,0.4,0.6,0.7
musique,sub_question,5,250,0.09942168331201058,0.0,0.06316489361702127,0.1420265780730897,0.26666666666666666,0.3782738095238094,0.11011940228716764,0.0,0.07408536585365853,0.16162162162162164,0.2857142857142857,0.4115789473684207,0.32439999999999997,0.0,0.3,0.6,0.8,0.9
musique,sub_question,10,250,0.08925854938625512,0.0,0.06329113924050633,0.13096935138987884,0.1956521739130435,0.3350274725274721,0.0936892460211291,0.0,0.06768208886852956,0.13793103448275862,0.2,0.34642857142857103,0.42916363636363636,0.0,0.4,0.7,0.9,1.0
