dataset,level,topk,n,jaccard_mean,jaccard_p25,jaccard_p50,jaccard_p75,jaccard_p90,jaccard_p95,offline_covered_by_online_mean,offline_covered_by_online_p25,offline_covered_by_online_p50,offline_covered_by_online_p75,offline_covered_by_online_p90,offline_covered_by_online_p95,online_covered_by_offline_mean,online_covered_by_offline_p25,online_covered_by_offline_p50,online_covered_by_offline_p75,online_covered_by_offline_p90,online_covered_by_offline_p95
2wikimqa,chunk,1,987,0.04955533040639424,0.0,0.0,0.1,0.1,0.1,0.49442755825734547,0.0,0.0,1.0,1.0,1.0,0.04955533040639424,0.0,0.0,0.1,0.1,0.1
2wikimqa,chunk,2,987,0.08327551093508541,0.0,0.09090909090909091,0.2,0.2,0.2,0.42451874366767983,0.0,0.5,1.0,1.0,1.0,0.0850726106045255,0.0,0.1,0.2,0.2,0.2
2wikimqa,chunk,3,987,0.10895581959411746,0.0,0.08333333333333333,0.18181818181818182,0.3,0.3,0.38331644714623436,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.11517505347292581,0.0,0.1,0.2,0.3,0.3
2wikimqa,chunk,5,987,0.1419714193270424,0.0,0.07142857142857142,0.25,0.5,0.5,0.32279635258358663,0.0,0.2,0.6,1.0,1.0,0.16158955307891476,0.0,0.1,0.3,0.5,0.5
2wikimqa,chunk,10,987,0.15529270040936408,0.0,0.058823529411764705,0.1875,0.46153846153846156,0.5833333333333334,0.2404593042890915,0.0,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.21664978047956773,0.0,0.1111111111111111,0.3,0.6,0.7
2wikimqa,sub_question,1,200,0.13198975175581212,0.0,0.0,0.25,0.45454545454545453,0.5454545454545454,0.22402579365079364,0.0,0.0,0.4325396825396825,0.7527777777777777,0.8571428571428571,0.17144444444444445,0.0,0.0,0.4,0.5,0.6
2wikimqa,sub_question,2,200,0.13279094605540215,0.0,0.0,0.20888157894736842,0.4444444444444444,0.5401098901098895,0.17260908626117605,0.0,0.0,0.28781512605042014,0.5726190476190475,0.7142857142857143,0.2225,0.0,0.0,0.4,0.7,0.8
2wikimqa,sub_question,3,200,0.1215274527773122,0.0,0.0,0.1758893280632411,0.4009090909090909,0.5019230769230763,0.1443642115034405,0.0,0.0,0.2364705882352941,0.4444444444444444,0.6683333333333327,0.2545,0.0,0.0,0.5,0.8,0.8
2wikimqa,sub_question,5,200,0.09703259481051742,0.0,0.0,0.14285714285714285,0.2834280303030302,0.40173913043478204,0.1067461026618328,0.0,0.0,0.16150828247602442,0.3031620553359684,0.4352657004830916,0.28850000000000003,0.0,0.0,0.6,0.8,0.9
2wikimqa,sub_question,10,200,0.06553433185132507,0.0,0.0,0.10538523598225091,0.1639393939393939,0.25113636363636327,0.06786419966156287,0.0,0.0,0.11150234741784038,0.17049918166939443,0.25834821428571386,0.32616666666666666,0.0,0.0,0.7,0.9,0.9049999999999984
musique,chunk,1,1791,0.016395106847368154,0.0,0.0,0.0,0.1,0.1,0.16471245114461194,0.0,0.0,0.0,1.0,1.0,0.016395106847368154,0.0,0.0,0.0,0.1,0.1
musique,chunk,2,1791,0.032338459976650934,0.0,0.0,0.09090909090909091,0.09090909090909091,0.2,0.17197096594081518,0.0,0.0,0.5,0.5,1.0,0.034262220191868434,0.0,0.0,0.1,0.1,0.2
musique,chunk,3,1791,0.04783149104757145,0.0,0.0,0.08333333333333333,0.18181818181818182,0.18181818181818182,0.17997394379303927,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.05373838891426831,0.0,0.0,0.1,0.2,0.2
musique,chunk,5,1791,0.07497902246645965,0.0,0.07142857142857142,0.07142857142857142,0.15384615384615385,0.25,0.18849804578447796,0.0,0.2,0.2,0.4,0.6,0.09376681386731638,0.0,0.1,0.1,0.2,0.3
musique,chunk,10,1791,0.10316361610292564,0.0,0.05555555555555555,0.11764705882352941,0.26666666666666666,0.35714285714285715,0.1778646318009802,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.15920511649154864,0.0,0.1,0.2,0.4,0.5
musique,sub_question,1,250,0.0617167818765342,0.0,0.0,0.10526315789473684,0.2,0.2857142857142857,0.10857330447330447,0.0,0.0,0.2,0.375,0.5,0.09356363636363636,0.0,0.0,0.18181818181818182,0.3,0.4
musique,sub_question,2,250,0.0797542705791975,0.0,0.034482758620689655,0.11538461538461539,0.25131578947368416,0.35294117647058826,0.10741744758509465,0.0,0.05,0.16666666666666666,0.3352941176470587,0.4583916083916083,0.1625090909090909,0.0,0.09545454545454546,0.29318181818181815,0.5,0.6
musique,sub_question,3,250,0.09138548766757358,0.0,0.05334281650071124,0.13333333333333333,0.2734545454545454,0.35,0.11103123718111196,0.0,0.067816091954023,0.16666666666666666,0.3333333333333333,0.4117647058823529,0.22516363636363634,0.0,0.2,0.4,0.6,0.7
musique,sub_question,5,250,0.09942168331201058,0.0,0.06316489361702127,0.1420265780730897,0.26666666666666666,0.3782738095238094,0.11011940228716764,0.0,0.07408536585365853,0.16162162162162164,0.2857142857142857,0.4115789473684207,0.32439999999999997,0.0,0.3,0.6,0.8,0.9
musique,sub_question,10,250,0.08925854938625512,0.0,0.06329113924050633,0.13096935138987884,0.1956521739130435,0.3350274725274721,0.0936892460211291,0.0,0.06768208886852956,0.13793103448275862,0.2,0.34642857142857103,0.42916363636363636,0.0,0.4,0.7,0.9,1.0
