example_id,chunk_id,method,rate,chunk_len,selected_count,n_calibration_queries
0,0,draft_frequency_per_chunk,0.15,50,7,8
0,0,draft_mean_score_per_chunk,0.15,50,7,8
0,1,draft_frequency_per_chunk,0.15,92,13,8
0,1,draft_mean_score_per_chunk,0.15,92,13,8
0,2,draft_frequency_per_chunk,0.15,76,11,8
0,2,draft_mean_score_per_chunk,0.15,76,11,8
0,3,draft_frequency_per_chunk,0.15,98,14,8
0,3,draft_mean_score_per_chunk,0.15,98,14,8
0,4,draft_frequency_per_chunk,0.15,52,7,8
0,4,draft_mean_score_per_chunk,0.15,52,7,8
0,5,draft_frequency_per_chunk,0.15,214,32,8
0,5,draft_mean_score_per_chunk,0.15,214,32,8
0,6,draft_frequency_per_chunk,0.15,121,18,8
0,6,draft_mean_score_per_chunk,0.15,121,18,8
0,7,draft_frequency_per_chunk,0.15,301,45,8
0,7,draft_mean_score_per_chunk,0.15,301,45,8
0,8,draft_frequency_per_chunk,0.15,84,12,8
0,8,draft_mean_score_per_chunk,0.15,84,12,8
0,9,draft_frequency_per_chunk,0.15,83,12,8
0,9,draft_mean_score_per_chunk,0.15,83,12,8
1,0,draft_frequency_per_chunk,0.15,90,13,8
1,0,draft_mean_score_per_chunk,0.15,90,13,8
1,1,draft_frequency_per_chunk,0.15,85,12,8
1,1,draft_mean_score_per_chunk,0.15,85,12,8
1,2,draft_frequency_per_chunk,0.15,130,19,8
1,2,draft_mean_score_per_chunk,0.15,130,19,8
1,3,draft_frequency_per_chunk,0.15,86,12,8
1,3,draft_mean_score_per_chunk,0.15,86,12,8
1,4,draft_frequency_per_chunk,0.15,135,20,8
1,4,draft_mean_score_per_chunk,0.15,135,20,8
1,5,draft_frequency_per_chunk,0.15,217,32,8
1,5,draft_mean_score_per_chunk,0.15,217,32,8
1,6,draft_frequency_per_chunk,0.15,56,8,8
1,6,draft_mean_score_per_chunk,0.15,56,8,8
1,7,draft_frequency_per_chunk,0.15,216,32,8
1,7,draft_mean_score_per_chunk,0.15,216,32,8
1,8,draft_frequency_per_chunk,0.15,113,16,8
1,8,draft_mean_score_per_chunk,0.15,113,16,8
1,9,draft_frequency_per_chunk,0.15,77,11,8
1,9,draft_mean_score_per_chunk,0.15,77,11,8
2,0,draft_frequency_per_chunk,0.15,64,9,8
2,0,draft_mean_score_per_chunk,0.15,64,9,8
2,1,draft_frequency_per_chunk,0.15,122,18,8
2,1,draft_mean_score_per_chunk,0.15,122,18,8
2,2,draft_frequency_per_chunk,0.15,88,13,8
2,2,draft_mean_score_per_chunk,0.15,88,13,8
2,3,draft_frequency_per_chunk,0.15,48,7,8
2,3,draft_mean_score_per_chunk,0.15,48,7,8
2,4,draft_frequency_per_chunk,0.15,185,27,8
2,4,draft_mean_score_per_chunk,0.15,185,27,8
2,5,draft_frequency_per_chunk,0.15,63,9,8
2,5,draft_mean_score_per_chunk,0.15,63,9,8
2,6,draft_frequency_per_chunk,0.15,99,14,8
2,6,draft_mean_score_per_chunk,0.15,99,14,8
2,7,draft_frequency_per_chunk,0.15,106,15,8
2,7,draft_mean_score_per_chunk,0.15,106,15,8
2,8,draft_frequency_per_chunk,0.15,234,35,8
2,8,draft_mean_score_per_chunk,0.15,234,35,8
2,9,draft_frequency_per_chunk,0.15,368,55,8
2,9,draft_mean_score_per_chunk,0.15,368,55,8
3,0,draft_frequency_per_chunk,0.15,108,16,8
3,0,draft_mean_score_per_chunk,0.15,108,16,8
3,1,draft_frequency_per_chunk,0.15,92,13,8
3,1,draft_mean_score_per_chunk,0.15,92,13,8
3,2,draft_frequency_per_chunk,0.15,90,13,8
3,2,draft_mean_score_per_chunk,0.15,90,13,8
3,3,draft_frequency_per_chunk,0.15,170,25,8
