Question,Real Answer,Pred Answer
"When did Robert Bertie, 3Rd Earl Of Lindsey's father die?",25 July 1666,1666
"Which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",The Wind'S Fierce,The Wind's Fierce
Why did the director of film Port Of Seven Seas die?,drowning,"The director of the film Port of Seven Seas, James Whale, died by suicide. He drowned himself in his Pacific Palisades swimming pool on 29 May 1957 at the age of 67"
What is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,Abu Dhabi,Abu Dhabi
What is the place of birth of Frank Wartenberg's wife?,Prenzlau,Christiane Wartenberg's place of birth is Prenzlau.
Where was the director of film Edges Of The Lord born?,Poznań,"Poznań, Poland"
Where was the father of Teobaldo Ii Ordelaffi born?,Italy,Forlì
Where was the husband of Maude Smith born?,"Toronto, Ontario","Toronto, Ontario"
"Which film was released earlier, Forbidden Daughters or The Third Kiss?",Forbidden Daughters,The Third Kiss
Does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,yes,yes
"Who was born first, Bogdan Țăruș or Robert Wulnikowski?",Bogdan Țăruș,Robert Wulnikowski
"Which film has the director who died first, Folgore Division or Sandflow?",Sandflow,Folgore Division
"Which film has the director born later, From Corleone To Brooklyn or Durango Valley Raiders?",From Corleone To Brooklyn,From Corleone to Brooklyn
Are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,yes,yes
Where was the place of death of the composer of song Gretchen Am Spinnrade?,Vienna,Vienna
"Who was born later, Hugh Evelyn Wortham or Johnny Ekström?",Johnny Ekström,Johnny Ekström
"Are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",yes,yes
What nationality is Elizabeth Of Rhuddlan's father?,England,English
"What is the cause of death of director of film I Will, I Will... For Now?",Parkinson,"The director of the film *I Will, I Will... For Now* is Norman Panama. According to the provided information, Norman Panama passed away on January 13, 2003. The cause of death"
"Who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?","Roger Mortimer, 1st Earl of March","Richard de Beauchamp, 13th Earl of Warwick"
"Who died first, Albertus Seba or Ali Dinar?",Albertus Seba,Ali Dinar
"Who is the maternal grandfather of Marie Louise, Duchess Of Parma?",Ferdinand I of the Two Sicilies,"Francis II, Holy Roman Emperor"
"Which film was released earlier, Prince Of Arcadia or Italia-Germania 4-3?",Prince Of Arcadia,Prince of Arcadia
Where was the director of film Love At First Sight (1985 Film) born?,Milan,"Marshall, Indiana"
Where did the director of film Nanon (1938 Film) die?,Köln,"Nanón (1938 film) was directed by Herbert Maisch. According to the provided information, Herbert Maisch died in Köln."
