dataset,method,rate,segment,source_csv,source_row,Question,Real Answer,Pred Answer,Predicted_Clean,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,0,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Maggie Gyllenhaal,Maggie Gyllenhaal,False,预测答案给出的演员是Maggie Gyllenhaal，而标准答案为Maria Bello。两者是完全不同的人，预测答案没有包含标准答案的关键信息，语义上也不等价，因此回答错误。,"判断: 错误
原因: 预测答案给出的演员是Maggie Gyllenhaal，而标准答案为Maria Bello。两者是完全不同的人，预测答案没有包含标准答案的关键信息，语义上也不等价，因此回答错误。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,1,What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,Manhattan Project,Manhattan Project,True,预测答案“Manhattan Project”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，准确无误地回答了提出的问题。,"判断: 正确
原因: 预测答案“Manhattan Project”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，准确无误地回答了提出的问题。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,2,In which borough was Callum McManaman born?,Knowsley,Merseyside,Merseyside,False,预测答案“Merseyside”是一个更大的地理范围（默西赛德郡），而标准答案是“Knowsley”（诺斯利）。虽然诺斯利位于默西赛德郡内，但两者并非同一级行政区划，在语义上并不等价，因此预测答案不够准确，未包含标准答案的具体关键信息。,"判断: 错误
原因: 预测答案“Merseyside”是一个更大的地理范围（默西赛德郡），而标准答案是“Knowsley”（诺斯利）。虽然诺斯利位于默西赛德郡内，但两者并非同一级行政区划，在语义上并不等价，因此预测答案不够准确，未包含标准答案的具体关键信息。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,3,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot,Sebastian Cabot,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，因此预测答案正确地回答了问题。,"判断: 正确
原因: 预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，因此预测答案正确地回答了问题。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,4,Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,George Peppard,George Peppard,False,预测答案“George Peppard”回答的是在《天龙特攻队》中扮演汉尼拔·史密斯的演员是谁，而问题询问的是该演员的配偶。标准答案为“Sherry Boucher”，预测答案与标准答案在语义上完全不同，未能正确回答问题。,"判断: 错误
原因: 预测答案“George Peppard”回答的是在《天龙特攻队》中扮演汉尼拔·史密斯的演员是谁，而问题询问的是该演员的配偶。标准答案为“Sherry Boucher”，预测答案与标准答案在语义上完全不同，未能正确回答问题。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,5,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2008,2008,False,预测答案给出的时间是2008年，而标准答案明确指出是2010年12月1日。两者在具体年份上存在明显差异，且预测答案未包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的时间是2008年，而标准答案明确指出是2010年12月1日。两者在具体年份上存在明显差异，且预测答案未包含标准答案的关键信息，因此判断为错误。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,6,Who is the child of the cast member of Green Ice?,Tatum O'Neal,Doreen Chanter,Doreen Chanter,False,预测答案“Doreen Chanter”与标准答案“Tatum O'Neal”完全不同，两者在语义上没有任何关联，且预测答案未包含标准答案的任何关键信息，因此未能正确回答问题。,"判断: 错误
原因: 预测答案“Doreen Chanter”与标准答案“Tatum O'Neal”完全不同，两者在语义上没有任何关联，且预测答案未包含标准答案的任何关键信息，因此未能正确回答问题。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,7,How many times did plague occur in the birthplace of La Silvia's composer?,22,3,3,False,预测答案给出的数字是3，而标准答案明确指出瘟疫发生的次数是22。两者在数值和语义上均不一致，预测答案未能包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的数字是3，而标准答案明确指出瘟疫发生的次数是22。两者在数值和语义上均不一致，预测答案未能包含标准答案的关键信息，因此判断为错误。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,8,When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1912,True,预测答案“1912”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了军事教学开始的时间，符合正确回答的标准。,"判断: 正确
原因: 预测答案“1912”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了军事教学开始的时间，符合正确回答的标准。"
musique-v2,postblend_key05,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_key05/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,9,What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,True,预测答案“ATS-6”包含了标准答案的核心关键信息，与标准答案中的简称完全一致，在语义上完全等价，正确回答了问题。,"判断: 正确
原因: 预测答案“ATS-6”包含了标准答案的核心关键信息，与标准答案中的简称完全一致，在语义上完全等价，正确回答了问题。"
