label,finished_segments,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,traceback,finished_list
baseline_draft,8,99,135,0.7333333333333333,209,248,0.842741935483871,0.1904525331302708,0.008064516129032258,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
uniform_alpha0.1,8,107,135,0.7925925925925926,217,248,0.875,0.6021606301988138,0.25,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
uniform_alpha0.25,8,107,135,0.7925925925925926,219,248,0.8830645161290323,0.5782605789813382,0.23387096774193547,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
uniform_alpha0.5,8,37,135,0.2740740740740741,122,248,0.49193548387096775,0.37016585209489117,0.11290322580645161,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
uniform_alpha0.75,2,2,44,0.045454545454545456,14,78,0.1794871794871795,0.26965781665129207,0.01282051282051282,4,0-25 25-50
uniform_alpha1.0,8,10,135,0.07407407407407407,47,248,0.18951612903225806,0.24431756235746857,0.028225806451612902,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
random_alpha0.05,8,105,135,0.7777777777777778,215,248,0.8669354838709677,0.5940690903206387,0.24193548387096775,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
random_alpha0.1,8,105,135,0.7777777777777778,215,248,0.8669354838709677,0.5898234041139603,0.24193548387096775,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
random_alpha0.25,8,106,135,0.7851851851851852,218,248,0.8790322580645161,0.5684650386719329,0.21774193548387097,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
random_alpha0.5,8,38,135,0.2814814814814815,123,248,0.4959677419354839,0.3729525783483497,0.11693548387096774,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
random_alpha0.75,8,14,135,0.1037037037037037,49,248,0.1975806451612903,0.2686394576079259,0.036290322580645164,0,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200
