bin,rank_pct_range,count,importance_mean,key_delta_mean,key_delta_p50,key_delta_p90,value_delta_mean,value_delta_p50,value_delta_p90
0,"[0.0, 0.1]",4294,127.57795761527713,0.1862607164942613,0.18794623762369156,0.2072461038827896,1.1659741993970965,1.3585585951805115,1.5612650871276859
1,"[0.1, 0.2]",4311,17.034091568081653,0.1739312490926655,0.17413096129894257,0.18995225429534912,0.915610950691632,0.8819934129714966,1.7490965127944946
2,"[0.2, 0.3]",4283,12.278864113938829,0.17238408495493088,0.1723029464483261,0.18814839124679567,0.8400395746205195,0.6506521105766296,1.602587985992432
3,"[0.3, 0.4]",4304,9.850233794144982,0.17284013233476467,0.1723581701517105,0.18953730762004853,0.8215244678420371,0.658161461353302,1.5207038164138793
4,"[0.4, 0.5]",4249,8.382420863732643,0.17417894561386413,0.17389869689941406,0.19160937070846557,0.8374114181187945,0.6848780512809753,1.488775181770325
5,"[0.5, 0.6]",4350,7.386239224137931,0.17539765274387667,0.1750877946615219,0.19300164729356767,0.8687283950941316,0.7156462371349335,1.5313069820404053
6,"[0.6, 0.7]",4292,6.628189072693383,0.17629745315486098,0.17617514729499817,0.1935599148273468,0.8749182463692152,0.7229113280773163,1.5482164025306704
7,"[0.7, 0.8]",4295,6.037147118742724,0.1772333431091242,0.17727218568325043,0.19535432159900665,0.9097219665266998,0.7684462666511536,1.5815473556518553
8,"[0.8, 0.9]",4299,5.542102814608048,0.17838040589385046,0.17829999327659607,0.1958564430475235,0.9232828243128448,0.7906445264816284,1.5796470165252685
9,"[0.9, 1.0]",4306,5.150037738039944,0.17930766394732997,0.17937173694372177,0.19688661396503448,0.9290553524681872,0.8136872053146362,1.5678672790527344
