example_id,query_idx,label,query,smart_selected_count
0,0,control_other_example_1,Where is the headquarters of Julia's House located?,117
0,1,control_other_example_2,Where is Coffee Swamp located?,117
0,2,control_other_example_3,Who is the child of Peter Andreas Heiberg?,117
0,3,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,117
0,4,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",117
0,5,control_other_example_4,When was King Henry III of England crowned?,117
0,6,control_other_example_6,Which university employed Ernst Mach?,117
0,7,control_other_example_7,Who is the physicist that the Mach number is named after?,117
1,0,control_other_example_2,Where is Coffee Swamp located?,120
1,1,control_other_example_3,Who is the child of Peter Andreas Heiberg?,120
1,2,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,120
1,3,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",120
1,4,control_other_example_4,When was King Henry III of England crowned?,120
1,5,control_other_example_6,Which university employed Ernst Mach?,120
1,6,control_other_example_7,Who is the physicist that the Mach number is named after?,120
1,7,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,120
2,0,control_other_example_3,Who is the child of Peter Andreas Heiberg?,137
2,1,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,137
2,2,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",137
2,3,control_other_example_4,When was King Henry III of England crowned?,137
2,4,control_other_example_6,Which university employed Ernst Mach?,137
2,5,control_other_example_7,Who is the physicist that the Mach number is named after?,137
2,6,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,137
2,7,control_other_example_9,Which English king trusted William de Longchamp?,137
3,0,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",124
3,1,control_other_example_4,When was King Henry III of England crowned?,124
3,2,control_other_example_6,Which university employed Ernst Mach?,124
3,3,control_other_example_7,Who is the physicist that the Mach number is named after?,124
3,4,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,124
3,5,control_other_example_9,Which English king trusted William de Longchamp?,124
3,6,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,124
3,7,control_other_example_10,Who is the author of The Unwinding?,124
4,0,control_other_example_6,Which university employed Ernst Mach?,260
4,1,control_other_example_7,Who is the physicist that the Mach number is named after?,260
4,2,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,260
4,3,control_other_example_9,Which English king trusted William de Longchamp?,260
4,4,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,260
4,5,control_other_example_10,Who is the author of The Unwinding?,260
4,6,control_other_example_10,Which organization did George Packer volunteer for?,260
4,7,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,260
6,0,control_other_example_7,Who is the physicist that the Mach number is named after?,140
6,1,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,140
6,2,control_other_example_9,Which English king trusted William de Longchamp?,140
6,3,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,140
6,4,control_other_example_10,Who is the author of The Unwinding?,140
6,5,control_other_example_10,Which organization did George Packer volunteer for?,140
6,6,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,140
6,7,control_other_example_11,Who is the lead singer of the band Art Brut?,140
7,0,control_other_example_9,Which English king trusted William de Longchamp?,214
7,1,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,214
7,2,control_other_example_10,Who is the author of The Unwinding?,214
7,3,control_other_example_10,Which organization did George Packer volunteer for?,214
7,4,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,214
7,5,control_other_example_11,Who is the lead singer of the band Art Brut?,214
7,6,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,214
7,7,control_other_example_12,Which company did Compaq merge with in 2002?,214
9,0,control_other_example_10,Who is the author of The Unwinding?,310
9,1,control_other_example_10,Which organization did George Packer volunteer for?,310
9,2,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,310
9,3,control_other_example_11,Who is the lead singer of the band Art Brut?,310
9,4,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,310
9,5,control_other_example_12,Which company did Compaq merge with in 2002?,310
9,6,control_other_example_13,Who is Katherine of England?,310
9,7,control_other_example_13,What year was King Henry III of England crowned?,310
10,0,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,234
10,1,control_other_example_11,Who is the lead singer of the band Art Brut?,234
10,2,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,234
10,3,control_other_example_12,Which company did Compaq merge with in 2002?,234
10,4,control_other_example_13,Who is Katherine of England?,234
10,5,control_other_example_13,What year was King Henry III of England crowned?,234
10,6,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,234
10,7,control_other_example_14,Who is the sibling of actress Natalie Wood?,234
11,0,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,233
11,1,control_other_example_12,Which company did Compaq merge with in 2002?,233
11,2,control_other_example_13,Who is Katherine of England?,233
11,3,control_other_example_13,What year was King Henry III of England crowned?,233
11,4,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,233
11,5,control_other_example_14,Who is the sibling of actress Natalie Wood?,233
11,6,control_other_example_15,In which county is Pine Springs located?,233
11,7,control_other_example_15,"What is the county seat of Culberson County, Texas?",233
12,0,control_other_example_13,Who is Katherine of England?,246
12,1,control_other_example_13,What year was King Henry III of England crowned?,246
12,2,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,246
12,3,control_other_example_14,Who is the sibling of actress Natalie Wood?,246
12,4,control_other_example_15,In which county is Pine Springs located?,246
12,5,control_other_example_15,"What is the county seat of Culberson County, Texas?",246
12,6,control_other_example_16,Who was the top PC manufacturer in 1994?,246
12,7,control_other_example_16,What company did Compaq merge with in 2002?,246
13,0,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,243
13,1,control_other_example_14,Who is the sibling of actress Natalie Wood?,243
13,2,control_other_example_15,In which county is Pine Springs located?,243
13,3,control_other_example_15,"What is the county seat of Culberson County, Texas?",243
13,4,control_other_example_16,Who was the top PC manufacturer in 1994?,243
13,5,control_other_example_16,What company did Compaq merge with in 2002?,243
13,6,control_other_example_17,Who was the King of England in 1950?,243
13,7,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,243
14,0,control_other_example_15,In which county is Pine Springs located?,212
14,1,control_other_example_15,"What is the county seat of Culberson County, Texas?",212
14,2,control_other_example_16,Who was the top PC manufacturer in 1994?,212
14,3,control_other_example_16,What company did Compaq merge with in 2002?,212
14,4,control_other_example_17,Who was the King of England in 1950?,212
14,5,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,212
14,6,control_other_example_18,Who played Susie in Miracle on 34th Street?,212
14,7,control_other_example_18,Who is Natalie Wood's brother?,212
15,0,control_other_example_16,Who was the top PC manufacturer in 1994?,155
15,1,control_other_example_16,What company did Compaq merge with in 2002?,155
15,2,control_other_example_17,Who was the King of England in 1950?,155
15,3,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,155
15,4,control_other_example_18,Who played Susie in Miracle on 34th Street?,155
15,5,control_other_example_18,Who is Natalie Wood's brother?,155
15,6,control_other_example_19,Who is Anna Benson's husband?,155
15,7,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,155
16,0,control_other_example_17,Who was the King of England in 1950?,216
16,1,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,216
16,2,control_other_example_18,Who played Susie in Miracle on 34th Street?,216
16,3,control_other_example_18,Who is Natalie Wood's brother?,216
16,4,control_other_example_19,Who is Anna Benson's husband?,216
16,5,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,216
16,6,control_other_example_20,Who originally sang the song You Belong To Me?,216
16,7,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,216
17,0,control_other_example_18,Who played Susie in Miracle on 34th Street?,209
17,1,control_other_example_18,Who is Natalie Wood's brother?,209
17,2,control_other_example_19,Who is Anna Benson's husband?,209
17,3,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,209
17,4,control_other_example_20,Who originally sang the song You Belong To Me?,209
17,5,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,209
17,6,control_other_example_21,Who was the person under whom the Chapter House was built?,209
17,7,control_other_example_21,When was Henry III crowned?,209
18,0,control_other_example_19,Who is Anna Benson's husband?,154
18,1,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,154
18,2,control_other_example_20,Who originally sang the song You Belong To Me?,154
18,3,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,154
18,4,control_other_example_21,Who was the person under whom the Chapter House was built?,154
18,5,control_other_example_21,When was Henry III crowned?,154
18,6,control_other_example_24,Who sang the song 'You Belong to Me'?,154
18,7,control_other_example_24,What record label is Joni James signed to?,154
19,0,control_other_example_20,Who originally sang the song You Belong To Me?,215
19,1,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,215
19,2,control_other_example_21,Who was the person under whom the Chapter House was built?,215
19,3,control_other_example_21,When was Henry III crowned?,215
19,4,control_other_example_24,Who sang the song 'You Belong to Me'?,215
19,5,control_other_example_24,What record label is Joni James signed to?,215
19,6,control_other_example_25,What is the administrative territorial entity that contains Juba?,215
19,7,control_other_example_25,What places share a border with Central Equatoria?,215
20,0,control_other_example_21,Who was the person under whom the Chapter House was built?,266
20,1,control_other_example_21,When was Henry III crowned?,266
20,2,control_other_example_24,Who sang the song 'You Belong to Me'?,266
20,3,control_other_example_24,What record label is Joni James signed to?,266
20,4,control_other_example_25,What is the administrative territorial entity that contains Juba?,266
20,5,control_other_example_25,What places share a border with Central Equatoria?,266
20,6,control_other_example_26,Who played King George VI in The King's Speech?,266
20,7,control_other_example_27,Who are the cast members of King of the Mountain?,266
21,0,control_other_example_24,Who sang the song 'You Belong to Me'?,246
21,1,control_other_example_24,What record label is Joni James signed to?,246
21,2,control_other_example_25,What is the administrative territorial entity that contains Juba?,246
21,3,control_other_example_25,What places share a border with Central Equatoria?,246
21,4,control_other_example_26,Who played King George VI in The King's Speech?,246
21,5,control_other_example_27,Who are the cast members of King of the Mountain?,246
21,6,control_other_example_27,Who is Harry Hamlin's spouse?,246
21,7,control_other_example_32,What was the regnal name adopted by King George VI?,246
24,0,control_other_example_25,What is the administrative territorial entity that contains Juba?,255
24,1,control_other_example_25,What places share a border with Central Equatoria?,255
24,2,control_other_example_26,Who played King George VI in The King's Speech?,255
24,3,control_other_example_27,Who are the cast members of King of the Mountain?,255
24,4,control_other_example_27,Who is Harry Hamlin's spouse?,255
24,5,control_other_example_32,What was the regnal name adopted by King George VI?,255
24,6,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,255
24,7,control_other_example_33,Where is KPRM licensed to broadcast?,255
25,0,control_other_example_26,Who played King George VI in The King's Speech?,164
25,1,control_other_example_27,Who are the cast members of King of the Mountain?,164
25,2,control_other_example_27,Who is Harry Hamlin's spouse?,164
25,3,control_other_example_32,What was the regnal name adopted by King George VI?,164
25,4,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,164
25,5,control_other_example_33,Where is KPRM licensed to broadcast?,164
25,6,control_other_example_35,Who is the author of Prince Prigio?,164
25,7,control_other_example_35,What year did Andrew Lang die?,164
26,0,control_other_example_27,Who are the cast members of King of the Mountain?,142
26,1,control_other_example_27,Who is Harry Hamlin's spouse?,142
26,2,control_other_example_32,What was the regnal name adopted by King George VI?,142
26,3,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,142
26,4,control_other_example_33,Where is KPRM licensed to broadcast?,142
26,5,control_other_example_35,Who is the author of Prince Prigio?,142
26,6,control_other_example_35,What year did Andrew Lang die?,142
