selector,example_id,cache_example_id,rate,question,answers,prediction,rouge1,em,wall_time,selected_abs_path,error,storage_time,selection_time,selection_score_forward_time,reprocess_prefill_time,ttft,selected_doc_tokens,query_tokens,reprocess_prefill_tokens
online_fusionrag_qk,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Maggie Smith,0.0,0.0,1.6558482102118433,,,0.12251997785642743,0.29066752921789885,0.2657817229628563,0.621449728962034,1.0346372360363603,1066,49,1115
offline_qk_freq,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Salma Hayek,0.0,0.0,0.8950217212550342,MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_selector_methods_rate015/example000_offline_qk_freq_selected_abs.json,,0.056218239944428205,0.0,0.0,0.21421016566455364,0.27042840560898185,1062,49,1111
offline_qk_mean,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Salma Hayek,0.0,0.0,0.85760782007128,MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_selector_methods_rate015/example000_offline_qk_mean_selected_abs.json,,0.05657306732609868,0.0,0.0,0.21357184322550893,0.2701449105516076,1062,49,1111
offline_draft_freq,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Maggie Gyllenhaal,0.0,0.0,1.1600684970617294,MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_selector_methods_rate015/example000_offline_draft_freq_selected_abs.json,,0.05709486175328493,0.0,0.0,0.21366974478587508,0.27076460653916,1062,49,1111
offline_draft_mean,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Maggie Gyllenhaal,0.0,0.0,1.1654012450017035,MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_selector_methods_rate015/example000_offline_draft_mean_selected_abs.json,,0.06378728616982698,0.0,0.0,0.21454645320773125,0.27833373937755823,1062,49,1111
position_boundary,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Maggie Gyllenhaal,0.0,0.0,1.1429126737639308,MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_selector_methods_rate015/example000_position_boundary_selected_abs.json,,0.05484341690316796,0.0,0.0,0.21357996622100472,0.2684233831241727,1062,49,1111
position_tail,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Maggie Gyllenhaal,0.0,0.0,1.136092941276729,MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_selector_methods_rate015/example000_position_tail_selected_abs.json,,0.05479645589366555,0.0,0.0,0.21511277509853244,0.269909230992198,1062,49,1111
random_chunk,0,1,0.15,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,"[""Maria Bello""]",Maggie Gyllenhaal,0.0,0.0,1.1459082649089396,MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_selector_methods_rate015/example000_random_chunk_selected_abs.json,,0.05472035286948085,0.0,0.0,0.21420570416375995,0.2689260570332408,1062,49,1111
online_fusionrag_qk,1,2,0.15,What was the person who provided evidence to suggest the existence of the neutron a participant of?,"[""Manhattan Project""]",Tube Alloys project,0.39999999520000007,0.0,1.0431425459682941,,,0.06497811060398817,0.10503789084032178,0.10327627090737224,0.24054662976413965,0.4105626312084496,1329,50,1379
offline_qk_freq,1,2,0.15,What was the person who provided evidence to suggest the existence of the neutron a participant of?,"[""Manhattan Project""]",Tube Alloys project,0.39999999520000007,0.0,0.9375539151951671,MOTIVATION_EXPERIMENTS/offline_fixed_token_selector/phase2_selector_methods_rate015/example001_offline_qk_freq_selected_abs.json,,0.06489265011623502,0.0,0.0,0.23761772690340877,0.3025103770196438,1324,50,1374
