row_id,is_warmup,example_id,sub_q_idx,doc_tokens,query_tokens,full_tokens,end_to_end_ttft_s,kv_load_copy_s,draft_selection_s,draft_score_forward_s,online_update_query_prefill_s,extra_impl_overhead_s,selected_doc_tokens,reprocess_prefill_tokens,main_question,sub_question
0,True,0,0,1313,27,2132,1.0704672249848954,0.09814306703628972,0.2065361769637093,0.20557238796027377,0.6579061619704589,0.1078818190144375,656,683,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?
1,True,1,0,1295,25,2112,0.44562217296333984,0.09085544297704473,0.12935589795233682,0.12852893595118076,0.15803232201142237,0.06737851002253592,647,672,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?
2,True,2,0,1441,21,2254,0.44040382001549006,0.09298362996196374,0.13288805400952697,0.132082313997671,0.15166966198012233,0.06286247406387702,720,741,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?
3,True,3,0,1154,26,1972,0.4190262340125628,0.08315797697287053,0.12319984199712053,0.12234595598420128,0.1361072330037132,0.07656118203885853,577,603,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?
4,True,3,1,1353,27,2172,0.4549598660087213,0.0982342420029454,0.12845040200045332,0.12759410898433998,0.14915297500556335,0.07912224699975923,676,703,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?
5,True,4,0,1178,32,2002,0.4300788890104741,0.08367215900216252,0.12694411299889907,0.12299272499512881,0.13639423600398004,0.08306838100543246,589,621,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?"
6,True,4,1,2075,24,2891,0.5884022989775985,0.11117361596552655,0.17521505599142984,0.17409241601126269,0.19985075702425092,0.10216286999639124,1037,1061,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?
7,True,6,0,1490,21,2303,0.438522660988383,0.09308396995766088,0.1342249499866739,0.13318023999454454,0.15217695402679965,0.05903678701724857,745,766,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?
8,False,7,0,1587,27,2406,0.47745293501066044,0.08729808795033023,0.1384085239842534,0.13740200200118124,0.16850076895207167,0.08324555412400514,793,820,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?
9,False,7,1,1466,28,2286,0.44320932700065896,0.0995004010037519,0.13380982499802485,0.1328264059848152,0.15319624898256734,0.056702852016314864,733,761,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?
10,False,9,0,1998,25,2815,0.584972616052255,0.09179012302774936,0.16867530101444572,0.16753340902505443,0.2478137849830091,0.07669340702705085,999,1024,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?
11,False,9,1,2722,33,3547,0.6543074420187622,0.12189179100096226,0.21199247700860724,0.21065846300916746,0.22020412201527506,0.10021905199391767,1361,1394,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?
12,False,10,0,1505,25,2322,0.4695554540376179,0.09142288699513301,0.13886714802356437,0.13790201698429883,0.18007945601129904,0.05918596300762147,752,777,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?
13,False,10,1,1738,24,2554,0.5765810410375707,0.11061861598864198,0.1582000030321069,0.15706865902757272,0.24195232900092378,0.06581009301589802,869,893,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?
14,False,11,0,1230,27,2049,0.4122419510385953,0.08425300696399063,0.12746446102391928,0.12653543299529701,0.1479318980127573,0.052592585037928075,615,642,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?
15,False,11,1,1205,26,2023,0.40965310705360025,0.09676381398458034,0.12403984501725063,0.1232467950321734,0.13686914899153635,0.05198029906023294,602,628,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?
16,False,12,0,2011,32,2835,0.5338568759616464,0.09720207599457353,0.1720176349626854,0.17089045100146905,0.19942992099095136,0.06520724401343614,1005,1037,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?
17,False,12,1,2101,30,2923,0.5573360859416425,0.11257468099938706,0.17392161895986646,0.17268763296306133,0.19999956496758386,0.07084022101480514,1050,1080,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?
18,False,13,0,1142,21,1955,0.39442270196741447,0.08413854200625792,0.12325885199243203,0.12239861401030794,0.1359668550430797,0.051058452925644815,571,592,What year was the father of Katherine of England crowned?,Who is Katherine of England?
19,False,13,1,2083,25,2900,0.5613346279715188,0.1158870059880428,0.17333887395216152,0.17208108998602256,0.20008377596968785,0.07202497206162661,1041,1066,What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?
20,False,14,0,1057,36,1885,0.3971388409845531,0.08359814900904894,0.12000240699853748,0.11909887898946181,0.13547688198741525,0.058061402989551425,528,564,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?
21,False,14,1,1681,24,2497,0.4983353160205297,0.10866378201171756,0.1573343380005099,0.15622522501507774,0.1692458670004271,0.06309132900787517,840,864,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?
22,False,15,0,678,23,1493,0.32917909597745165,0.07923098898027092,0.0915012689656578,0.09081954596331343,0.11704795697005466,0.04139888106146827,339,362,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?
23,False,15,1,1121,28,1941,0.40601541893556714,0.09612795303110033,0.12285023694857955,0.12187234900193289,0.13626008096616715,0.050777147989720106,560,588,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?"
24,False,16,0,1515,28,2335,0.4488021959550679,0.08720715797971934,0.13787610497092828,0.1368389769922942,0.16732554498594254,0.05639338801847771,757,785,"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?
25,False,16,1,2189,30,3011,0.5637333579943515,0.11228444601874799,0.17838564299745485,0.17718465998768806,0.2011223389999941,0.0719409299781546,1094,1124,"In 2002, what company merged with the top PC manufacturer from 1994?",What company did Compaq merge with in 2002?
26,False,17,0,1415,28,2235,0.42428097501397133,0.08609618904301897,0.13297319499542937,0.13207914197118953,0.1515220650471747,0.0536895259283483,707,735,"In the King's Speech, who played the person who was the King of England in 1950?",Who was the King of England in 1950?
