Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason
In what year was Twilight Princess from the game series on which The Legend of Neil was based originally planned for release?,2005,2005,1.0,1.0,True,预测答案“2005”与标准答案“2005”完全一致，准确地给出了问题所询问的《黄昏公主》原计划发行的年份，包含了标准答案的所有关键信息，语义完全等价。
What is the mascot of the school that owns Goss Stadium at Coleman Field?,Benny Beaver,Benny Beaver,1.0,1.0,True,预测答案“Benny Beaver”与标准答案完全一致，包含了标准答案的关键信息，语义上完全等价，准确地回答了关于学校吉祥物的问题。
Who is the spouse of the actor that plays vision in avengers age of ultron?,Jennifer Connelly,Jennifer Connelly,1.0,1.0,True,预测答案“Jennifer Connelly”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，准确地回答了关于《复仇者联盟2：奥创纪元》中幻视扮演者配偶的问题。
Who was the spouse of the leading lady in Gone With the wind?,Laurence Olivier,Clark Gable,0.0,0.0,False,预测答案“Clark Gable”与标准答案“Laurence Olivier”不一致。Clark Gable是该电影的男主角，而女主角的配偶是Laurence Olivier，因此预测答案未能包含标准答案的关键信息。
Who was the mother of the person who found the sacred writings that became the Book of Mormon?,Lucy Mack Smith,Lucy Mack Smith,1.0,1.0,True,预测答案“Lucy Mack Smith”与标准答案完全一致，准确包含了问题所需的关键信息，语义上完全等价，正确回答了关于《摩门经》发现者母亲是谁的问题。
Who is the mayor presiding now where Merrill Elam was born?,Lance Bottoms,Jacek Majchrowski,0.0,0.0,False,预测答案“Jacek Majchrowski”与标准答案“Lance Bottoms”完全不同，两者在语义上没有任何关联，且预测答案未包含标准答案的任何关键信息，因此判断为错误。
What county shares a border with the county where She Did It's performer was born?,Cabarrus County,Rowan County,0.0,0.4,False,预测答案给出的“Rowan County”与标准答案“Cabarrus County”是两个不同的地名，预测答案没有包含标准答案的关键信息，两者在语义上也不等价，因此未能正确回答问题。
What is the experimental satellite which was the forerunner to the communication satellite of the operator of GSAT-7 called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,0.0,0.25,True,预测答案“ATS-6”包含了标准答案的核心关键信息，且与标准答案在语义上完全等价。它仅仅是省略了全称和空格等格式细节，但所指代的具体卫星实体完全一致，因此判定为正确回答了问题。
What watercourse is the river on which the Lostock Dam is located the mouth of?,Hunter River,Paterson River,0.0,0.6666666666666666,False,预测答案给出的水道名称是“Paterson River”，而标准答案为“Hunter River”。两者指代的是完全不同的河流，预测答案未包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
There is a state A where Storm of the Century was filmed based on the book by the author who wrote a short story featuring the author of This Is My God. What is the population of state A?,"1,335,907","1,362,359",0.0,0.6666666666666666,False,"预测答案给出的数值是1,362,359，而标准答案的数值为1,335,907。两者在人口数据上存在明显差异，且数字并非语义等价，因此预测答案未能正确回答问题。"
What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?,Green Bay,Toledo,0.0,0.0,False,预测答案“Toledo”与标准答案“Green Bay”完全不同，没有包含标准答案的任何关键信息，两者在语义上也不等价，因此预测答案未能正确回答问题。
Kiwil's birth country participated in a Commission of Truth and Friendship. Who is the president of the other country that participated?,Francisco Guterres,Johan Henri Eliza Ferrier,0.0,0.0,False,预测答案给出的姓名是“Johan Henri Eliza Ferrier”，而标准答案为“Francisco Guterres”。两者并非同一人物，预测答案未包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
Who is the child of the male star of the 1921 film Money?,Anthony Ainley,Aiden Lucas,0.0,0.0,False,预测答案“Aiden Lucas”与标准答案“Anthony Ainley”完全不一致，没有包含标准答案的任何关键信息，两者在语义上也不等价，因此未能正确回答问题。
What is the symbol of the Saints from the headquarters location of Ten High's manufacturer called?,fleur - de-lis,fleur-de-lis,0.0,0.6666666666666666,True,预测答案“fleur-de-lis”与标准答案“fleur - de-lis”在语义上完全等价，仅仅是连字符前后的空格存在细微的格式差异，包含了相同的关键信息，正确回答了问题。
Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania,1.0,1.0,True,预测答案“Tanzania”与标准答案完全一致，准确包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于Mara Region命名灵感来源的水体所在国家的问题。
"Along with the subject of The One That Got Away, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,Josh Groban,0.0,0.0,False,预测答案给出的名字是“Josh Groban”，而标准答案是“Michael Bublé”。两者是不同的歌手，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
Who is the federal leader of the political party Ken Epp belongs to?,Andrew Scheer,Answer: The federal leader of the political party Ken Epp belongs to is Andrew Scheer.,0.0,0.33333333333333337,True,预测答案明确指出了Ken Epp所属政党的联邦领袖是Andrew Scheer，包含了标准答案的全部关键信息，且两者在语义上完全等价，正确地回答了问题。
Where is the country with ISO code ISO 3166-2:CV located?,central Atlantic Ocean,"Cape Verde is located in the central Atlantic Ocean, approximately 570 kilometres (350 mi) off the western coast of the African continent, near Senegal, The Gambia, and Mauritania.",0.0,0.1621621621621622,True,预测答案明确指出了ISO 3166-2:CV对应的国家是佛得角，并准确给出了其地理位置在“central Atlantic Ocean”，完全包含了标准答案的关键信息，语义上完全一致，因此判断为正确。
Who did the person portraying Batman in the Justice League movie play in Dazed and Confused?,Fred O'Bannion,"Ben Affleck portrayed Batman in the Justice League movie. In Dazed and Confused, he did not play a role.",0.0,0.0,False,预测答案虽然正确指出了本·阿弗莱克在正义联盟中饰演蝙蝠侠，但错误地声称他在《年少轻狂》中没有扮演角色。这与标准答案“Fred O'Bannion”相矛盾，未能包含标准答案的关键信息。
"In Batman Under the Red Hood, who does the actor of Barney Stinson from How I Met Your Mother play?",Nightwing / Dick Grayson,The Mother,0.0,0.0,False,预测答案“The Mother”与标准答案“Nightwing / Dick Grayson”完全不符。在电影《蝙蝠侠：红头罩之下》中，出演《老爸老妈的浪漫史》巴尼·斯廷森的演员尼尔·帕特里克·哈里斯配音的角色是夜翼/迪克·格雷森，而不是“The Mother”。因此，预测答案未能包含标准答案的关键信息，语义上也不等价。
"What did the singer of ""Moon River"" in the movie Breakfast at Tiffany win a Tony for?",for Best Performance by a Leading Actress in a Play in Ondine,Best Actor,0.0,0.0,False,预测答案“Best Actor”与标准答案“for Best Performance by a Leading Actress in a Play in Ondine”在语义上完全不一致。标准答案明确指出获奖类别是最佳女主角，且包含获奖作品《Ondine》，而预测答案不仅缺失了这些关键信息，还错误地将奖项类别说成了最佳男主角。
Where is the headquarter of the Radio Television of the country whose co-official language is the same as the one Politika is written in?,Pristina,Belgrade,0.0,0.0,False,预测答案“Belgrade”与标准答案“Pristina”在语义上并不等价，且未包含标准答案的关键信息。两者是不同的地理位置，因此预测答案未能正确回答问题。
What is the source of the river of which Kraai River is a tributary?,Thaba Putsoa,Orange River,0.0,0.0,False,预测答案“Orange River”与标准答案“Thaba Putsoa”在字面和语义上均不一致，没有包含标准答案的关键信息，因此预测答案未能正确回答问题。
Who played the girlfriend of Chance's voice actor in Homeward Bound in Back to the Future?,Claudia Wells,Lea Thompson,0.0,0.0,False,预测答案给出的演员是Lea Thompson，而标准答案是Claudia Wells。两者并非同一人，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
