example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status,status
75,0,docgen_draft_smart_frequency_global,0.1,126,12,32,ok,
75,0,docgen_draft_smart_frequency_global,0.15,126,18,32,ok,
75,0,docgen_draft_smart_frequency_global,0.2,126,25,32,ok,
75,1,docgen_draft_smart_frequency_global,0.1,147,14,32,ok,
75,1,docgen_draft_smart_frequency_global,0.15,147,22,32,ok,
75,1,docgen_draft_smart_frequency_global,0.2,147,29,32,ok,
75,2,docgen_draft_smart_frequency_global,0.1,129,12,32,ok,
75,2,docgen_draft_smart_frequency_global,0.15,129,19,32,ok,
75,2,docgen_draft_smart_frequency_global,0.2,129,25,32,ok,
75,3,docgen_draft_smart_frequency_global,0.1,177,17,32,ok,
75,3,docgen_draft_smart_frequency_global,0.15,177,26,32,ok,
75,3,docgen_draft_smart_frequency_global,0.2,177,35,32,ok,
75,4,docgen_draft_smart_frequency_global,0.1,111,11,32,ok,
75,4,docgen_draft_smart_frequency_global,0.15,111,16,32,ok,
75,4,docgen_draft_smart_frequency_global,0.2,111,22,32,ok,
75,5,docgen_draft_smart_frequency_global,0.1,70,7,32,ok,
75,5,docgen_draft_smart_frequency_global,0.15,70,10,32,ok,
75,5,docgen_draft_smart_frequency_global,0.2,70,14,32,ok,
75,6,docgen_draft_smart_frequency_global,0.1,107,10,32,ok,
75,6,docgen_draft_smart_frequency_global,0.15,107,16,32,ok,
75,6,docgen_draft_smart_frequency_global,0.2,107,21,32,ok,
75,7,docgen_draft_smart_frequency_global,0.1,199,19,32,ok,
75,7,docgen_draft_smart_frequency_global,0.15,199,29,32,ok,
75,7,docgen_draft_smart_frequency_global,0.2,199,39,32,ok,
75,8,docgen_draft_smart_frequency_global,0.1,259,25,32,ok,
75,8,docgen_draft_smart_frequency_global,0.15,259,38,32,ok,
75,8,docgen_draft_smart_frequency_global,0.2,259,51,32,ok,
75,9,docgen_draft_smart_frequency_global,0.1,127,12,32,ok,
75,9,docgen_draft_smart_frequency_global,0.15,127,19,32,ok,
75,9,docgen_draft_smart_frequency_global,0.2,127,25,32,ok,
76,,,,,,,,skipped_should_test_false
77,0,docgen_draft_smart_frequency_global,0.1,133,13,32,ok,
77,0,docgen_draft_smart_frequency_global,0.15,133,19,32,ok,
77,0,docgen_draft_smart_frequency_global,0.2,133,26,32,ok,
77,1,docgen_draft_smart_frequency_global,0.1,244,24,32,ok,
77,1,docgen_draft_smart_frequency_global,0.15,244,36,32,ok,
77,1,docgen_draft_smart_frequency_global,0.2,244,48,32,ok,
77,2,docgen_draft_smart_frequency_global,0.1,203,20,32,ok,
77,2,docgen_draft_smart_frequency_global,0.15,203,30,32,ok,
77,2,docgen_draft_smart_frequency_global,0.2,203,40,32,ok,
77,3,docgen_draft_smart_frequency_global,0.1,227,22,32,ok,
77,3,docgen_draft_smart_frequency_global,0.15,227,34,32,ok,
77,3,docgen_draft_smart_frequency_global,0.2,227,45,32,ok,
77,4,docgen_draft_smart_frequency_global,0.1,284,28,32,ok,
77,4,docgen_draft_smart_frequency_global,0.15,284,42,32,ok,
77,4,docgen_draft_smart_frequency_global,0.2,284,56,32,ok,
77,5,docgen_draft_smart_frequency_global,0.1,113,11,32,ok,
77,5,docgen_draft_smart_frequency_global,0.15,113,16,32,ok,
77,5,docgen_draft_smart_frequency_global,0.2,113,22,32,ok,
77,6,docgen_draft_smart_frequency_global,0.1,101,10,32,ok,
77,6,docgen_draft_smart_frequency_global,0.15,101,15,32,ok,
77,6,docgen_draft_smart_frequency_global,0.2,101,20,32,ok,
77,7,docgen_draft_smart_frequency_global,0.1,138,13,32,ok,
77,7,docgen_draft_smart_frequency_global,0.15,138,20,32,ok,
77,7,docgen_draft_smart_frequency_global,0.2,138,27,32,ok,
77,8,docgen_draft_smart_frequency_global,0.1,253,25,32,ok,
77,8,docgen_draft_smart_frequency_global,0.15,253,37,32,ok,
77,8,docgen_draft_smart_frequency_global,0.2,253,50,32,ok,
77,9,docgen_draft_smart_frequency_global,0.1,165,16,32,ok,
77,9,docgen_draft_smart_frequency_global,0.15,165,24,32,ok,
77,9,docgen_draft_smart_frequency_global,0.2,165,33,32,ok,
77,10,docgen_draft_smart_frequency_global,0.1,243,24,32,ok,
77,10,docgen_draft_smart_frequency_global,0.15,243,36,32,ok,
77,10,docgen_draft_smart_frequency_global,0.2,243,48,32,ok,
77,11,docgen_draft_smart_frequency_global,0.1,136,13,32,ok,
77,11,docgen_draft_smart_frequency_global,0.15,136,20,32,ok,
77,11,docgen_draft_smart_frequency_global,0.2,136,27,32,ok,
77,12,docgen_draft_smart_frequency_global,0.1,202,20,32,ok,
77,12,docgen_draft_smart_frequency_global,0.15,202,30,32,ok,
77,12,docgen_draft_smart_frequency_global,0.2,202,40,32,ok,
77,13,docgen_draft_smart_frequency_global,0.1,207,20,32,ok,
77,13,docgen_draft_smart_frequency_global,0.15,207,31,32,ok,
77,13,docgen_draft_smart_frequency_global,0.2,207,41,32,ok,
78,0,docgen_draft_smart_frequency_global,0.1,106,10,32,ok,
78,0,docgen_draft_smart_frequency_global,0.15,106,15,32,ok,
78,0,docgen_draft_smart_frequency_global,0.2,106,21,32,ok,
78,1,docgen_draft_smart_frequency_global,0.1,65,6,32,ok,
78,1,docgen_draft_smart_frequency_global,0.15,65,9,32,ok,
78,1,docgen_draft_smart_frequency_global,0.2,65,13,32,ok,
78,2,docgen_draft_smart_frequency_global,0.1,93,9,32,ok,
78,2,docgen_draft_smart_frequency_global,0.15,93,13,32,ok,
78,2,docgen_draft_smart_frequency_global,0.2,93,18,32,ok,
78,3,docgen_draft_smart_frequency_global,0.1,94,9,32,ok,
78,3,docgen_draft_smart_frequency_global,0.15,94,14,32,ok,
78,3,docgen_draft_smart_frequency_global,0.2,94,18,32,ok,
78,4,docgen_draft_smart_frequency_global,0.1,69,6,32,ok,
78,4,docgen_draft_smart_frequency_global,0.15,69,10,32,ok,
78,4,docgen_draft_smart_frequency_global,0.2,69,13,32,ok,
78,5,docgen_draft_smart_frequency_global,0.1,68,6,32,ok,
78,5,docgen_draft_smart_frequency_global,0.15,68,10,32,ok,
78,5,docgen_draft_smart_frequency_global,0.2,68,13,32,ok,
78,6,docgen_draft_smart_frequency_global,0.1,113,11,32,ok,
78,6,docgen_draft_smart_frequency_global,0.15,113,16,32,ok,
78,6,docgen_draft_smart_frequency_global,0.2,113,22,32,ok,
78,7,docgen_draft_smart_frequency_global,0.1,117,11,32,ok,
78,7,docgen_draft_smart_frequency_global,0.15,117,17,32,ok,
78,7,docgen_draft_smart_frequency_global,0.2,117,23,32,ok,
78,8,docgen_draft_smart_frequency_global,0.1,127,12,32,ok,
78,8,docgen_draft_smart_frequency_global,0.15,127,19,32,ok,
78,8,docgen_draft_smart_frequency_global,0.2,127,25,32,ok,
78,9,docgen_draft_smart_frequency_global,0.1,33,3,32,ok,
78,9,docgen_draft_smart_frequency_global,0.15,33,4,32,ok,
78,9,docgen_draft_smart_frequency_global,0.2,33,6,32,ok,
78,10,docgen_draft_smart_frequency_global,0.1,171,17,32,ok,
78,10,docgen_draft_smart_frequency_global,0.15,171,25,32,ok,
78,10,docgen_draft_smart_frequency_global,0.2,171,34,32,ok,
78,11,docgen_draft_smart_frequency_global,0.1,119,11,32,ok,
78,11,docgen_draft_smart_frequency_global,0.15,119,17,32,ok,
78,11,docgen_draft_smart_frequency_global,0.2,119,23,32,ok,
78,12,docgen_draft_smart_frequency_global,0.1,232,23,32,ok,
78,12,docgen_draft_smart_frequency_global,0.15,232,34,32,ok,
78,12,docgen_draft_smart_frequency_global,0.2,232,46,32,ok,
78,13,docgen_draft_smart_frequency_global,0.1,154,15,32,ok,
78,13,docgen_draft_smart_frequency_global,0.15,154,23,32,ok,
78,13,docgen_draft_smart_frequency_global,0.2,154,30,32,ok,
78,14,docgen_draft_smart_frequency_global,0.1,200,20,32,ok,
78,14,docgen_draft_smart_frequency_global,0.15,200,30,32,ok,
78,14,docgen_draft_smart_frequency_global,0.2,200,40,32,ok,
78,15,docgen_draft_smart_frequency_global,0.1,104,10,32,ok,
78,15,docgen_draft_smart_frequency_global,0.15,104,15,32,ok,
78,15,docgen_draft_smart_frequency_global,0.2,104,20,32,ok,
78,16,docgen_draft_smart_frequency_global,0.1,205,20,32,ok,
78,16,docgen_draft_smart_frequency_global,0.15,205,30,32,ok,
78,16,docgen_draft_smart_frequency_global,0.2,205,41,32,ok,
78,17,docgen_draft_smart_frequency_global,0.1,132,13,32,ok,
78,17,docgen_draft_smart_frequency_global,0.15,132,19,32,ok,
78,17,docgen_draft_smart_frequency_global,0.2,132,26,32,ok,
78,18,docgen_draft_smart_frequency_global,0.1,68,6,32,ok,
78,18,docgen_draft_smart_frequency_global,0.15,68,10,32,ok,
78,18,docgen_draft_smart_frequency_global,0.2,68,13,32,ok,
79,0,docgen_draft_smart_frequency_global,0.1,158,15,32,ok,
79,0,docgen_draft_smart_frequency_global,0.15,158,23,32,ok,
79,0,docgen_draft_smart_frequency_global,0.2,158,31,32,ok,
79,1,docgen_draft_smart_frequency_global,0.1,118,11,32,ok,
79,1,docgen_draft_smart_frequency_global,0.15,118,17,32,ok,
79,1,docgen_draft_smart_frequency_global,0.2,118,23,32,ok,
79,2,docgen_draft_smart_frequency_global,0.1,89,8,32,ok,
79,2,docgen_draft_smart_frequency_global,0.15,89,13,32,ok,
79,2,docgen_draft_smart_frequency_global,0.2,89,17,32,ok,
79,3,docgen_draft_smart_frequency_global,0.1,135,13,32,ok,
79,3,docgen_draft_smart_frequency_global,0.15,135,20,32,ok,
79,3,docgen_draft_smart_frequency_global,0.2,135,27,32,ok,
79,4,docgen_draft_smart_frequency_global,0.1,76,7,32,ok,
79,4,docgen_draft_smart_frequency_global,0.15,76,11,32,ok,
79,4,docgen_draft_smart_frequency_global,0.2,76,15,32,ok,
79,5,docgen_draft_smart_frequency_global,0.1,128,12,32,ok,
