example_id,status,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status
175,skipped_should_test_false,,,,,,,
176,,0,docgen_draft_smart_frequency_global,0.1,159,15,32,ok
176,,0,docgen_draft_smart_frequency_global,0.15,159,23,32,ok
176,,0,docgen_draft_smart_frequency_global,0.2,159,31,32,ok
176,,1,docgen_draft_smart_frequency_global,0.1,115,11,32,ok
176,,1,docgen_draft_smart_frequency_global,0.15,115,17,32,ok
176,,1,docgen_draft_smart_frequency_global,0.2,115,23,32,ok
176,,2,docgen_draft_smart_frequency_global,0.1,97,9,32,ok
176,,2,docgen_draft_smart_frequency_global,0.15,97,14,32,ok
176,,2,docgen_draft_smart_frequency_global,0.2,97,19,32,ok
176,,3,docgen_draft_smart_frequency_global,0.1,126,12,32,ok
176,,3,docgen_draft_smart_frequency_global,0.15,126,18,32,ok
176,,3,docgen_draft_smart_frequency_global,0.2,126,25,32,ok
176,,4,docgen_draft_smart_frequency_global,0.1,108,10,32,ok
176,,4,docgen_draft_smart_frequency_global,0.15,108,16,32,ok
176,,4,docgen_draft_smart_frequency_global,0.2,108,21,32,ok
176,,5,docgen_draft_smart_frequency_global,0.1,42,4,32,ok
176,,5,docgen_draft_smart_frequency_global,0.15,42,6,32,ok
176,,5,docgen_draft_smart_frequency_global,0.2,42,8,32,ok
176,,6,docgen_draft_smart_frequency_global,0.1,129,12,32,ok
176,,6,docgen_draft_smart_frequency_global,0.15,129,19,32,ok
176,,6,docgen_draft_smart_frequency_global,0.2,129,25,32,ok
176,,7,docgen_draft_smart_frequency_global,0.1,96,9,32,ok
176,,7,docgen_draft_smart_frequency_global,0.15,96,14,32,ok
176,,7,docgen_draft_smart_frequency_global,0.2,96,19,32,ok
176,,8,docgen_draft_smart_frequency_global,0.1,102,10,32,ok
176,,8,docgen_draft_smart_frequency_global,0.15,102,15,32,ok
176,,8,docgen_draft_smart_frequency_global,0.2,102,20,32,ok
176,,9,docgen_draft_smart_frequency_global,0.1,40,4,32,ok
176,,9,docgen_draft_smart_frequency_global,0.15,40,6,32,ok
176,,9,docgen_draft_smart_frequency_global,0.2,40,8,32,ok
177,skipped_should_test_false,,,,,,,
178,,0,docgen_draft_smart_frequency_global,0.1,41,4,32,ok
178,,0,docgen_draft_smart_frequency_global,0.15,41,6,32,ok
178,,0,docgen_draft_smart_frequency_global,0.2,41,8,32,ok
178,,1,docgen_draft_smart_frequency_global,0.1,118,11,32,ok
178,,1,docgen_draft_smart_frequency_global,0.15,118,17,32,ok
178,,1,docgen_draft_smart_frequency_global,0.2,118,23,32,ok
178,,2,docgen_draft_smart_frequency_global,0.1,56,5,32,ok
178,,2,docgen_draft_smart_frequency_global,0.15,56,8,32,ok
178,,2,docgen_draft_smart_frequency_global,0.2,56,11,32,ok
178,,3,docgen_draft_smart_frequency_global,0.1,92,9,32,ok
178,,3,docgen_draft_smart_frequency_global,0.15,92,13,32,ok
178,,3,docgen_draft_smart_frequency_global,0.2,92,18,32,ok
178,,4,docgen_draft_smart_frequency_global,0.1,178,17,32,ok
178,,4,docgen_draft_smart_frequency_global,0.15,178,26,32,ok
178,,4,docgen_draft_smart_frequency_global,0.2,178,35,32,ok
178,,5,docgen_draft_smart_frequency_global,0.1,36,3,32,ok
178,,5,docgen_draft_smart_frequency_global,0.15,36,5,32,ok
178,,5,docgen_draft_smart_frequency_global,0.2,36,7,32,ok
178,,6,docgen_draft_smart_frequency_global,0.1,79,7,32,ok
