rate,selector,n,glm_accuracy,f1_mean,em_mean
0.05,draft_selected_set,109,0.7889908256880734,0.5199266355857559,0.22935779816513763
0.05,fusionrag_qk,109,0.7064220183486238,0.4421245925607604,0.1926605504587156
0.05,oracle_full_attention,109,0.7064220183486238,0.41894493245888487,0.1743119266055046
0.15,draft_selected_set,109,0.8165137614678899,0.5383070174187152,0.22018348623853212
0.15,fusionrag_qk,109,0.7431192660550459,0.47635963844900325,0.21100917431192662
0.15,oracle_full_attention,109,0.6605504587155964,0.4394112540306496,0.1926605504587156
0.3,draft_selected_set,109,0.8532110091743119,0.5619402473095954,0.24770642201834864
0.3,fusionrag_qk,109,0.7981651376146789,0.5170001107063121,0.23853211009174313
0.3,oracle_full_attention,109,0.7247706422018348,0.4746554029120647,0.22018348623853212
0.5,draft_selected_set,109,0.8623853211009175,0.5798518731396629,0.27522935779816515
0.5,fusionrag_qk,109,0.8623853211009175,0.538561535605675,0.22935779816513763
0.5,oracle_full_attention,109,0.7706422018348624,0.48923624095484164,0.21100917431192662
0.8,draft_selected_set,109,0.8532110091743119,0.57183197440905,0.25688073394495414
0.8,fusionrag_qk,109,0.7889908256880734,0.5182810275515942,0.22935779816513763
0.8,oracle_full_attention,109,0.8256880733944955,0.5738980352925306,0.26605504587155965
