example_id,sub_question_id,selector,rate,ground_truth,predicted,f1,em,selected_tokens,question,glm_correct,glm_reason
0,0,oracle_full_attention,0.05,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,65,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体，准确回答了问题所问的归属网络，语义上与标准答案完全一致。
0,0,fusionrag_qk,0.05,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,65,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体信息，准确回答了问题所询问的网络名称，与标准答案在语义上完全等价。
0,0,draft_selected_set,0.05,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,65,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体，准确回答了问题所问的所属网络，语义上与标准答案完全一致。
1,0,oracle_full_attention,0.05,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,64,Where is the headquarters of Julia's House located?,1,"预测答案与标准答案完全一致，都准确包含了“Corfe Mullen, Dorset, England”这一关键地理位置信息，语义上完全等价，正确回答了问题。"
1,0,fusionrag_qk,0.05,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,64,Where is the headquarters of Julia's House located?,1,"预测答案与标准答案完全一致，均包含了“Corfe Mullen, Dorset, England”这一关键地理位置信息，准确且完整地回答了Julia's House总部所在地的问题。"
1,0,draft_selected_set,0.05,"Corfe Mullen, Dorset, England","Dorset, England",0.5454545454545454,0.0,64,Where is the headquarters of Julia's House located?,0,"预测答案缺少了标准答案中的核心实体“Corfe Mullen”。虽然它包含了“Dorset, England”这一更宽泛的地理范围，但未能提供具体的总部所在城镇，因此不符合包含核心实体的判断标准。"
2,0,oracle_full_attention,0.05,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,72,Where is Coffee Swamp located?,1,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，仅缺少了一个逗号，属于措辞上的细微差异，不影响整体意思。
2,0,fusionrag_qk,0.05,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,72,Where is Coffee Swamp located?,1,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，仅缺少了一个逗号，属于允许的细微措辞差异。
2,0,draft_selected_set,0.05,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,72,Where is Coffee Swamp located?,1,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，仅存在标点符号的细微差异，不影响意思表达。
3,0,oracle_full_attention,0.05,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,"Sigrid Sture (or Sigrid Sture Banér, as she styled herself later in life) is the child of Peter Andreas Heiberg, based on the information that she is described as the niece of queen Margaret Leijonhufvud, who would be the sister of Peter Andreas Heib",0.30985915492957744,0.0,57,Who is the child of Peter Andreas Heiberg?,0,预测答案给出的孩子是Sigrid Sture，而标准答案中的孩子是Johan Ludvig Heiberg。两者核心实体完全不同，且预测答案的推理逻辑存在混乱，未包含标准答案的关键信息。
3,0,fusionrag_qk,0.05,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,57,Who is the child of Peter Andreas Heiberg?,1,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的核心实体，包含了标准答案中的关键信息，与标准答案在语义上完全等价，正确回答了问题。
3,0,draft_selected_set,0.05,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,57,Who is the child of Peter Andreas Heiberg?,1,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的核心实体，包含了标准答案中的关键信息，在语义上与标准答案完全一致，正确回答了问题。
3,1,oracle_full_attention,0.05,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,67,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，均为“Johanne Luise Heiberg”，准确包含了问题所问的核心实体信息，正确回答了Johan Ludvig Heiberg的配偶是谁。
3,1,fusionrag_qk,0.05,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,67,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，均为“Johanne Luise Heiberg”，准确包含了问题的核心实体信息，语义完全等价，因此判断为正确。
3,1,draft_selected_set,0.05,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,67,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，都明确指出了Johan Ludvig Heiberg的配偶是Johanne Luise Heiberg，准确回答了问题。
4,0,oracle_full_attention,0.05,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","John of Gaunt, 1st Duke of Lancaster and Isabella of Angoulême",0.05555555555555555,0.0,58,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",0,预测答案提到的“John of Gaunt”和“Isabella of Angoulême”与标准答案中的核心实体“King Henry III of England”完全不符，未能正确回答Alice de Lusignan的兄弟姐妹是谁的问题。
4,0,fusionrag_qk,0.05,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","Joan de Geneville, Countess of Westmorland",0.27586206896551724,0.0,58,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",0,预测答案提供的是“Joan de Geneville”，而标准答案指出Alice de Lusignan的兄弟姐妹是同母异父的弟弟英格兰国王亨利三世。预测答案完全未包含标准答案的核心实体，属于错误回答。
