example_id,sub_question_id,selector,rate,ground_truth,predicted,f1,em,selected_tokens,question,glm_correct,glm_reason
0,0,oracle_full_attention,0.3,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,393,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体，准确回答了问题所问的归属网络，语义上与标准答案完全一致。
0,0,fusionrag_qk,0.3,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,393,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体，准确回答了问题所问的归属网络，语义上与标准答案完全一致。
0,0,draft_selected_set,0.3,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,393,What network is National Cycle Route 57 part of?,1,预测答案“National Cycle Network”直接包含了标准答案中的核心实体，准确回答了问题所问的归属网络，语义上与标准答案完全一致。
1,0,oracle_full_attention,0.3,"Corfe Mullen, Dorset, England","Dorset, England",0.5454545454545454,0.0,388,Where is the headquarters of Julia's House located?,0,"预测答案缺少了标准答案中的核心实体“Corfe Mullen”。虽然它包含了“Dorset, England”这一更宽泛的地理范围，但未能提供具体的总部所在城镇，因此不符合包含核心实体的判断标准。"
1,0,fusionrag_qk,0.3,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,388,Where is the headquarters of Julia's House located?,1,"预测答案与标准答案完全一致，都准确包含了“Corfe Mullen, Dorset, England”这一关键地理位置信息，语义上完全等价，正确回答了问题。"
1,0,draft_selected_set,0.3,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,388,Where is the headquarters of Julia's House located?,1,"预测答案与标准答案完全一致，都准确包含了“Corfe Mullen, Dorset, England”这一关键地理位置信息，语义上完全等价，正确回答了问题。"
2,0,oracle_full_attention,0.3,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,432,Where is Coffee Swamp located?,1,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，仅缺少了一个逗号，属于允许的细微措辞差异。
2,0,fusionrag_qk,0.3,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Washington Island, Door County Wisconsin",0.5,0.0,432,Where is Coffee Swamp located?,1,预测答案包含了标准答案中的核心地理位置信息，即“Washington Island”和“Door County Wisconsin”。虽然它省略了“northern edge of”这一具体方位细节，但已经准确回答了Coffee Swamp所在的核心实体位置，语义上与标准答案保持一致。
2,0,draft_selected_set,0.3,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,432,Where is Coffee Swamp located?,1,预测答案包含了标准答案的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。两者在语义上完全等价，仅缺少了一个逗号，属于允许的细微措辞差异。
3,0,oracle_full_attention,0.3,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,346,Who is the child of Peter Andreas Heiberg?,1,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的核心实体，包含了标准答案中的关键信息，与标准答案在语义上完全等价，正确回答了问题。
3,0,fusionrag_qk,0.3,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,346,Who is the child of Peter Andreas Heiberg?,1,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的核心实体，包含了标准答案中的关键信息，与标准答案在语义上完全等价，正确回答了问题。
3,0,draft_selected_set,0.3,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,346,Who is the child of Peter Andreas Heiberg?,1,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的核心实体，包含了标准答案中的关键信息，与标准答案在语义上完全等价，正确回答了问题。
3,1,oracle_full_attention,0.3,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,405,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，都明确指出了Johan Ludvig Heiberg的配偶是Johanne Luise Heiberg，准确回答了问题。
3,1,fusionrag_qk,0.3,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,405,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，都明确指出了Johan Ludvig Heiberg的配偶是Johanne Luise Heiberg，准确回答了问题。
3,1,draft_selected_set,0.3,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,405,Who is the spouse of Johan Ludvig Heiberg?,1,预测答案与标准答案完全一致，都明确指出了Johan Ludvig Heiberg的配偶是Johanne Luise Heiberg，准确回答了问题。
4,0,oracle_full_attention,0.3,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","Henry III, Richard, Joan, Isabella",0.22222222222222218,0.0,353,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",0,"预测答案虽然包含了标准答案中的核心实体“Henry III”，但同时也包含了“Richard, Joan, Isabella”等未被标准答案提及的额外信息。根据判断标准，预测答案与标准答案在语义上并不等价，因此判断为错误。"
4,0,fusionrag_qk,0.3,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","Geoffrey de Geneville, Maud de Lacy",0.13793103448275862,0.0,353,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",0,预测答案提到的Geoffrey de Geneville和Maud de Lacy并未包含在标准答案中，且缺少标准答案的核心实体（King Henry III of England），因此预测答案未能正确回答问题。
4,0,draft_selected_set,0.3,"Alice de Lusignan had a uterine half-brother, King Henry III of England.",uterine half-sister of King Henry III of England,0.5806451612903226,0.0,353,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",0,预测答案将亲属关系表述为“uterine half-sister”，而标准答案明确指出Alice de Lusignan是King Henry III of England的“uterine half-brother”（同母异父的兄弟）。两者在性别和亲属关系上存在根本性矛盾，语义并不等价，因此预测答案未能正确回答问题。
4,1,oracle_full_attention,0.3,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,622,When was King Henry III of England crowned?,0,预测答案仅包含了1220年这一时间点，遗漏了1216年首次加冕的关键信息，未能完整回答问题。
4,1,fusionrag_qk,0.3,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,622,When was King Henry III of England crowned?,0,预测答案仅包含了1220年这一时间点，遗漏了1216年首次加冕的关键信息，未能完整回答问题。
4,1,draft_selected_set,0.3,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,"1216, 1220",0.3636363636363636,0.0,622,When was King Henry III of England crowned?,1,预测答案准确提取了标准答案中的两个关键加冕年份（1216年和1220年），包含了回答该问题所需的核心时间信息，语义上与标准答案一致。
6,0,oracle_full_attention,0.3,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,447,Which university employed Ernst Mach?,1,预测答案“Charles University in Prague”直接包含了标准答案中的核心实体信息，准确回答了问题所问的大学名称，与标准答案在语义上完全等价。
6,0,fusionrag_qk,0.3,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,447,Which university employed Ernst Mach?,1,预测答案“Charles University in Prague”直接包含了标准答案中的核心实体信息，准确回答了问题所问的大学名称，与标准答案在语义上完全等价。
6,0,draft_selected_set,0.3,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,447,Which university employed Ernst Mach?,1,预测答案“Charles University in Prague”直接包含了标准答案中的核心实体信息，准确回答了问题所问的大学名称，与标准答案在语义上完全等价。
7,0,oracle_full_attention,0.3,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,476,Who is the physicist that the Mach number is named after?,1,预测答案“Ernst Mach”准确包含了标准答案中的核心实体，即物理学家的名字。虽然缺少了关于其国籍和身份的修饰语，但在语义上已经正确且完整地回答了问题。
7,0,fusionrag_qk,0.3,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,476,Who is the physicist that the Mach number is named after?,1,预测答案“Ernst Mach”准确包含了标准答案中的核心实体，即物理学家的名字。虽然缺少了关于其国籍和身份的修饰语，但在语义上已经正确且完整地回答了问题。
7,0,draft_selected_set,0.3,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,476,Who is the physicist that the Mach number is named after?,1,预测答案“Ernst Mach”准确包含了标准答案中的核心实体，即物理学家的名字。虽然缺少了关于其国籍和身份的修饰语，但在语义上已经正确且完整地回答了问题。
