example_id,sub_q_idx,offline,online_ref,rate,offline_size,online_size,inter,union,jaccard,online_recall_by_offline,offline_precision_vs_online
0,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,148,131,78,201,0.3880597014925373,0.5954198473282443,0.527027027027027
1,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,136,129,87,178,0.4887640449438202,0.6744186046511628,0.6397058823529411
2,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,160,144,100,204,0.49019607843137253,0.6944444444444444,0.625
3,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,80,115,50,145,0.3448275862068966,0.43478260869565216,0.625
3,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,149,135,55,229,0.24017467248908297,0.4074074074074074,0.3691275167785235
4,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,117,117,79,155,0.5096774193548387,0.6752136752136753,0.6752136752136753
4,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,213,207,78,342,0.22807017543859648,0.37681159420289856,0.36619718309859156
6,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,155,149,89,215,0.413953488372093,0.5973154362416108,0.5741935483870968
7,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,115,158,94,179,0.5251396648044693,0.5949367088607594,0.8173913043478261
7,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,202,146,89,259,0.3436293436293436,0.6095890410958904,0.4405940594059406
9,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,130,199,117,212,0.5518867924528302,0.5879396984924623,0.9
9,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,323,272,125,470,0.26595744680851063,0.45955882352941174,0.38699690402476783
10,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,95,150,92,153,0.6013071895424836,0.6133333333333333,0.968421052631579
10,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,227,173,87,313,0.2779552715654952,0.5028901734104047,0.3832599118942731
11,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,92,123,80,135,0.5925925925925926,0.6504065040650406,0.8695652173913043
11,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,195,120,73,242,0.30165289256198347,0.6083333333333333,0.37435897435897436
12,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,93,201,92,202,0.45544554455445546,0.4577114427860697,0.989247311827957
12,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,264,210,40,434,0.09216589861751152,0.19047619047619047,0.15151515151515152
13,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,87,114,79,122,0.6475409836065574,0.6929824561403509,0.9080459770114943
13,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,225,208,80,353,0.22662889518413598,0.38461538461538464,0.35555555555555557
14,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,83,105,57,131,0.4351145038167939,0.5428571428571428,0.6867469879518072
14,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,184,168,89,263,0.33840304182509506,0.5297619047619048,0.483695652173913
15,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,52,67,35,84,0.4166666666666667,0.5223880597014925,0.6730769230769231
15,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,129,112,16,225,0.07111111111111111,0.14285714285714285,0.12403100775193798
16,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,108,151,61,198,0.30808080808080807,0.40397350993377484,0.5648148148148148
16,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,218,218,47,389,0.12082262210796915,0.21559633027522937,0.21559633027522937
17,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,104,141,68,177,0.384180790960452,0.48226950354609927,0.6538461538461539
17,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,235,193,153,275,0.5563636363636364,0.7927461139896373,0.6510638297872341
18,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,45,102,34,113,0.3008849557522124,0.3333333333333333,0.7555555555555555
18,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,156,120,67,209,0.32057416267942584,0.5583333333333333,0.42948717948717946
19,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,130,103,74,159,0.46540880503144655,0.7184466019417476,0.5692307692307692
19,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,132,158,57,233,0.2446351931330472,0.36075949367088606,0.4318181818181818
20,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,104,151,89,166,0.536144578313253,0.5894039735099338,0.8557692307692307
20,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,282,226,106,402,0.263681592039801,0.4690265486725664,0.375886524822695
21,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,94,174,86,182,0.4725274725274725,0.4942528735632184,0.9148936170212766
21,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,230,211,67,374,0.17914438502673796,0.3175355450236967,0.29130434782608694
24,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,78,155,73,160,0.45625,0.47096774193548385,0.9358974358974359
24,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,237,199,136,300,0.4533333333333333,0.6834170854271356,0.5738396624472574
25,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,89,78,55,112,0.49107142857142855,0.7051282051282052,0.6179775280898876
25,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,129,112,78,163,0.4785276073619632,0.6964285714285714,0.6046511627906976
26,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,177,153,111,219,0.5068493150684932,0.7254901960784313,0.6271186440677966
27,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,94,133,82,145,0.5655172413793104,0.6165413533834586,0.8723404255319149
27,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,181,144,58,267,0.21722846441947566,0.4027777777777778,0.32044198895027626
32,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,99,143,88,154,0.5714285714285714,0.6153846153846154,0.8888888888888888
32,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,197,172,69,300,0.23,0.4011627906976744,0.350253807106599
33,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,92,77,53,116,0.45689655172413796,0.6883116883116883,0.5760869565217391
35,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,77,117,71,123,0.5772357723577236,0.6068376068376068,0.922077922077922
35,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,186,121,32,275,0.11636363636363636,0.2644628099173554,0.17204301075268819
36,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,102,146,98,150,0.6533333333333333,0.6712328767123288,0.9607843137254902
36,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,216,182,115,283,0.40636042402826855,0.6318681318681318,0.5324074074074074
37,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,42,107,36,113,0.3185840707964602,0.3364485981308411,0.8571428571428571
37,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,139,129,34,234,0.1452991452991453,0.26356589147286824,0.2446043165467626
38,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,56,80,38,98,0.3877551020408163,0.475,0.6785714285714286
38,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,148,99,42,205,0.2048780487804878,0.42424242424242425,0.28378378378378377
39,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,73,96,61,108,0.5648148148148148,0.6354166666666666,0.8356164383561644
39,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,197,135,28,304,0.09210526315789473,0.2074074074074074,0.14213197969543148
40,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,92,108,65,135,0.48148148148148145,0.6018518518518519,0.7065217391304348
40,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,194,151,58,287,0.20209059233449478,0.3841059602649007,0.29896907216494845
43,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,52,83,50,85,0.5882352941176471,0.6024096385542169,0.9615384615384616
43,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,211,99,58,252,0.23015873015873015,0.5858585858585859,0.27488151658767773
44,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,112,99,83,128,0.6484375,0.8383838383838383,0.7410714285714286
44,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,110,110,65,155,0.41935483870967744,0.5909090909090909,0.5909090909090909
44,2,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,187,160,103,244,0.42213114754098363,0.64375,0.5508021390374331
45,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,106,153,94,165,0.5696969696969697,0.6143790849673203,0.8867924528301887
45,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,281,182,108,355,0.30422535211267604,0.5934065934065934,0.38434163701067614
46,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,102,152,75,179,0.41899441340782123,0.4934210526315789,0.7352941176470589
46,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,205,193,111,287,0.3867595818815331,0.5751295336787565,0.5414634146341464
50,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,129,167,121,175,0.6914285714285714,0.7245508982035929,0.937984496124031
50,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,187,192,92,287,0.3205574912891986,0.4791666666666667,0.4919786096256685
50,2,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,187,192,92,287,0.3205574912891986,0.4791666666666667,0.4919786096256685
50,3,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,263,282,99,446,0.2219730941704036,0.35106382978723405,0.376425855513308
51,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,73,106,54,125,0.432,0.5094339622641509,0.7397260273972602
51,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,172,153,87,238,0.36554621848739494,0.5686274509803921,0.5058139534883721
52,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,117,106,72,151,0.4768211920529801,0.6792452830188679,0.6153846153846154
52,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,94,133,60,167,0.3592814371257485,0.45112781954887216,0.6382978723404256
52,2,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,203,172,58,317,0.1829652996845426,0.3372093023255814,0.2857142857142857
