rate,online_ref,offline,n,avg_offline_size,avg_online_size,avg_inter,jaccard,online_recall_by_offline,offline_precision_vs_online
0.1,pure_online_draft10,old_unrelated_draft_smart_freq,250,148.036,142.18,74.748,0.38316423827558005,0.5327646873689728,0.5743157298620539
0.1,pure_online_draft10,pipeline_old10_draft005,250,148.036,142.18,74.748,0.38316423827558005,0.5327646873689728,0.5743157298620539
0.1,pure_online_draft10,pipeline_hybrid_old70_docgen30,250,148.036,142.18,70.348,0.3484909058925375,0.4994095441873333,0.537548838765731
0.1,pure_online_draft10,sweep_hybrid_draft70_qk30,250,137.668,142.18,56.372,0.25177612604397676,0.38960158489028696,0.40268567689411605
0.1,pure_online_draft10,sweep_draft_frequency_per_chunk,250,137.668,142.18,56.352,0.25095057936779475,0.38860863322142764,0.40164320374055423
0.1,pure_online_draft10,sweep_hybrid_draft50_qk50,250,137.668,142.18,54.904,0.24391901520807896,0.38013888741161445,0.3929180591818259
0.1,pure_online_draft10,docgen_draft_smart_freq,250,137.668,142.18,53.432,0.23249106820606588,0.36256941453426084,0.37448442352760464
0.1,pure_online_draft10,pipeline_docgen10,250,137.668,142.18,53.432,0.23249106820606588,0.36256941453426084,0.37448442352760464
0.1,pure_online_draft10,sweep_qk_frequency_per_chunk,250,137.668,142.18,45.888,0.19538071868205253,0.3177078274595428,0.32836214195282304
0.15,pure_online_draft15,old_unrelated_draft_smart_freq,250,221.892,244.16,126.772,0.39645876095266,0.5248225216428776,0.629025412600335
0.15,pure_online_draft15,docgen_draft_smart_freq,250,208.744,244.16,100.696,0.28704010890238346,0.4093230595224008,0.48239782718884416
0.15,pure_online_draft15,pipeline_docgen15_freq,250,208.744,244.16,100.696,0.28704010890238346,0.4093230595224008,0.48239782718884416
0.15,pure_online_draft15,pipeline_docgen15_mean,250,208.744,244.16,90.496,0.24974357878223138,0.36798043208212855,0.4336838412453835
0.3,pure_online_draft30,sweep_draft_frequency_per_chunk,250,422.848,427.444,253.032,0.42605164940997853,0.5925918329072705,0.5994080994512928
0.3,pure_online_draft30,sweep_hybrid_draft70_qk30,250,422.848,427.444,239.012,0.39364698073615545,0.5606555200933762,0.5671201279800383
0.3,pure_online_draft30,sweep_hybrid_draft50_qk50,250,422.848,427.444,237.432,0.39023847469086176,0.5571476796469859,0.5635737184533876
0.3,pure_online_draft30,docgen_draft_smart_freq_rank_top30,250,422.848,427.444,227.16,0.36828559620598433,0.533883916186656,0.5400493254697264
0.3,pure_online_draft30,sweep_qk_frequency_per_chunk,250,422.848,427.444,213.412,0.3386610493409507,0.502037824642088,0.5078443668577696
