Question,Real Answer,Pred Answer
Who is the child of the director of film The Trouble With Cali?,Mira Sorvino,Mira Sorvino
Are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?,yes,no
"Which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",Norway,Denmark
What is the cause of death of Heonjong Of Goryeo's father?,illness,natural causes (implied by the context of Heonjong's accession and the rebellion that followed)
Where did Mary Of Woodstock's mother die?,Harby,Westminster Abbey
Which award the director of film Tiramisu (2002 Film) earned?,Hong Kong Film Award for Best Director,Hundred Flowers Award for Best Director
What is the date of death of the director of film Nallavan Vazhvan?,3 September 1992,9 September 1992
"Who died first, Frederick Cleveland Morgan or Nathaniel Mclenaghan?",Nathaniel Mclenaghan,Nathaniel McLenaghan
Where did the director of film Balls Out (2014 Film) graduate from?,Tisch,Tisch School of the Arts
"Which film whose director is younger, Cuchillos De Fuego or A Woman Has Killed?",Cuchillos De Fuego,Cuchillos de fuego
"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,The Ballad of Josie
"Which magazine was established first, Rock Street Journal or De As?",De As,Rock Street Journal
"Which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,The Piper's Price
Are H. H. Hunnewell and Bob Flanigan (Singer) of the same nationality?,yes,yes
"When was Antoine Philippe, Duke Of Montpensier's mother born?",13 March 1753,13 March 1753
"Which film has the director who died later, True To The Navy or No Trees In The Street?",No Trees In The Street,True to the Navy
What is the place of birth of the director of film Ninamaninja Kalpadukal?,Methala,Dublin
"Which film came out earlier, Alkohol or Night Of Dark Shadows?",Alkohol,Alkohol
"Which film whose director is younger, Many Tanks Mr. Atkins or Do Musafir?",Do Musafir,Do Musafir
Are Revolt In The Big House and The Fugitive (1914 Film) from the same country?,no,no
Where was the composer of film Consenting Adults (1992 Film) born?,New York,New York City
"Which film has the director who died earlier, Tiger In The Smoke or Contragolpe?",Contragolpe,Tiger in the Smoke
Where was the place of death of the director of film Jail Yatra?,Mumbai,Mumbai
"Which film came out first, F The Prom or The Comedians Of Comedy?",The Comedians Of Comedy,The Comedians of Comedy
"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",Tombstone Rashomon,Tombstone Rashomon
