base_method,example_id,sub_q_idx,doc_len,online_selected,base_selected,intersection,residual_size,online_covered_by_base,residual_ratio_of_online
freq,75,0,1618,276,257,140,136,0.5072463768115942,0.4927536231884058
freq,25,0,819,148,133,77,71,0.5202702702702703,0.4797297297297297
freq,176,0,1202,204,183,117,87,0.5735294117647058,0.4264705882352941
freq,150,0,877,163,88,58,105,0.3558282208588957,0.6441717791411042
freq,25,1,1156,198,196,113,85,0.5707070707070707,0.4292929292929293
freq,150,1,1763,288,336,155,133,0.5381944444444444,0.4618055555555556
freq,77,0,1893,311,224,176,135,0.5659163987138264,0.4340836012861736
freq,50,0,1698,276,205,170,106,0.6159420289855072,0.38405797101449274
freq,0,0,1344,227,219,119,108,0.5242290748898678,0.47577092511013214
freq,50,1,1948,315,281,138,177,0.4380952380952381,0.5619047619047619
freq,77,1,2244,367,346,155,212,0.4223433242506812,0.5776566757493188
freq,178,0,1154,197,105,102,95,0.5177664974619289,0.48223350253807107
freq,100,0,1363,229,143,116,113,0.5065502183406113,0.49344978165938863
freq,125,0,2186,354,310,205,149,0.5790960451977402,0.4209039548022599
freq,1,0,1324,223,200,134,89,0.600896860986547,0.3991031390134529
freq,100,1,1414,233,302,159,74,0.6824034334763949,0.31759656652360513
freq,50,2,1948,315,281,138,177,0.4380952380952381,0.5619047619047619
freq,26,0,1564,260,257,176,84,0.676923076923077,0.3230769230769231
freq,126,0,1344,227,119,108,119,0.47577092511013214,0.5242290748898678
freq,151,0,965,168,138,102,66,0.6071428571428571,0.39285714285714285
freq,2,0,1466,241,239,162,79,0.6721991701244814,0.3278008298755187
freq,101,0,920,160,82,73,87,0.45625,0.54375
freq,78,0,912,159,184,103,56,0.6477987421383647,0.3522012578616352
freq,27,0,1367,230,144,111,119,0.4826086956521739,0.5173913043478261
freq,151,1,1358,225,260,157,68,0.6977777777777778,0.3022222222222222
freq,50,3,2856,451,445,174,277,0.3858093126385809,0.614190687361419
freq,178,1,969,168,243,78,90,0.4642857142857143,0.5357142857142857
freq,78,1,1817,295,188,92,203,0.31186440677966104,0.688135593220339
freq,101,1,1614,275,257,133,142,0.48363636363636364,0.5163636363636364
freq,3,0,1184,203,124,104,99,0.5123152709359606,0.4876847290640394
freq,51,0,1099,191,106,97,94,0.5078534031413613,0.49214659685863876
freq,179,0,1094,187,100,83,104,0.44385026737967914,0.5561497326203209
freq,3,1,1384,233,240,135,98,0.5793991416309013,0.4206008583690987
freq,152,0,1729,288,183,153,135,0.53125,0.46875
freq,102,0,1287,216,154,116,100,0.5370370370370371,0.46296296296296297
freq,79,0,1295,221,173,134,87,0.6063348416289592,0.3936651583710407
freq,51,1,1568,264,259,161,103,0.6098484848484849,0.39015151515151514
freq,152,1,1754,288,322,176,112,0.6111111111111112,0.3888888888888889
freq,27,1,1471,243,263,118,125,0.48559670781893005,0.51440329218107
freq,102,1,1711,277,339,149,128,0.5379061371841155,0.4620938628158845
freq,4,0,1214,212,154,118,94,0.5566037735849056,0.44339622641509435
freq,179,1,1173,201,256,93,108,0.4626865671641791,0.5373134328358209
freq,52,0,1099,191,177,125,66,0.6544502617801047,0.34554973821989526
freq,32,0,1470,246,151,115,131,0.46747967479674796,0.532520325203252
freq,79,1,1607,273,146,77,196,0.28205128205128205,0.717948717948718
freq,153,0,1366,229,221,160,69,0.6986899563318777,0.30131004366812225
freq,4,1,2103,339,322,132,207,0.3893805309734513,0.6106194690265486
freq,180,0,1575,257,140,126,131,0.490272373540856,0.5097276264591439
freq,103,0,1411,243,87,78,165,0.32098765432098764,0.6790123456790124
freq,32,1,1755,291,309,150,141,0.5154639175257731,0.4845360824742268
freq,52,1,1373,235,144,116,119,0.49361702127659574,0.5063829787234042
freq,103,1,1154,197,310,103,94,0.5228426395939086,0.47715736040609136
freq,33,0,803,144,127,75,69,0.5208333333333334,0.4791666666666667
freq,52,2,1765,296,317,112,184,0.3783783783783784,0.6216216216216216
freq,126,1,1548,257,302,88,169,0.3424124513618677,0.6575875486381323
freq,154,0,1514,250,245,160,90,0.64,0.36
freq,79,2,1415,244,287,98,146,0.4016393442622951,0.5983606557377049
freq,6,0,1515,248,231,150,98,0.6048387096774194,0.3951612903225806
freq,53,0,1446,243,224,119,124,0.4897119341563786,0.5102880658436214
freq,35,0,1203,205,126,109,96,0.5317073170731708,0.4682926829268293
freq,104,0,2210,366,324,185,181,0.505464480874317,0.49453551912568305
freq,127,0,1054,179,171,116,63,0.6480446927374302,0.35195530726256985
freq,7,0,1618,269,172,151,118,0.5613382899628253,0.43866171003717475
freq,180,1,1370,234,302,93,141,0.3974358974358974,0.6025641025641025
freq,35,1,1241,208,267,94,114,0.4519230769230769,0.5480769230769231
freq,80,0,1357,226,218,125,101,0.5530973451327433,0.4469026548672566
freq,54,0,1011,180,140,95,85,0.5277777777777778,0.4722222222222222
freq,183,0,1621,266,154,130,136,0.48872180451127817,0.5112781954887218
freq,7,1,1498,251,296,148,103,0.5896414342629482,0.4103585657370518
freq,155,0,1298,224,145,123,101,0.5491071428571429,0.45089285714285715
freq,36,0,1490,246,174,143,103,0.5813008130081301,0.4186991869918699
freq,183,1,1626,267,310,115,152,0.4307116104868914,0.5692883895131086
freq,155,1,1561,256,302,140,116,0.546875,0.453125
freq,54,1,1830,305,283,180,125,0.5901639344262295,0.4098360655737705
freq,105,0,2445,396,262,211,185,0.5328282828282829,0.4671717171717172
freq,36,1,1849,302,294,157,145,0.5198675496688742,0.48013245033112584
freq,81,0,1365,233,164,138,95,0.592274678111588,0.40772532188841204
freq,55,0,1531,261,252,159,102,0.6091954022988506,0.39080459770114945
freq,9,0,2027,328,221,176,152,0.5365853658536586,0.4634146341463415
freq,37,0,1104,192,89,75,117,0.390625,0.609375
freq,156,0,1071,182,164,113,69,0.6208791208791209,0.3791208791208791
freq,128,0,1699,280,267,146,134,0.5214285714285715,0.4785714285714286
freq,105,1,3118,500,484,236,264,0.472,0.528
freq,9,1,2759,445,489,218,227,0.4898876404494382,0.5101123595505618
freq,186,0,1183,200,152,121,79,0.605,0.395
freq,56,0,1317,219,219,161,58,0.7351598173515982,0.2648401826484018
freq,129,0,2002,322,319,205,117,0.6366459627329193,0.36335403726708076
freq,81,1,1662,275,289,115,160,0.41818181818181815,0.5818181818181818
freq,37,1,1345,247,206,67,180,0.27125506072874495,0.728744939271255
freq,156,1,1539,253,283,151,102,0.5968379446640316,0.4031620553359684
freq,109,0,1918,318,286,131,187,0.4119496855345912,0.5880503144654088
freq,82,0,1348,229,120,103,126,0.4497816593886463,0.5502183406113537
freq,130,0,978,170,106,99,71,0.5823529411764706,0.4176470588235294
freq,112,0,852,153,114,87,66,0.5686274509803921,0.43137254901960786
freq,38,0,837,149,87,81,68,0.5436241610738255,0.4563758389261745
freq,158,0,1429,239,130,108,131,0.45188284518828453,0.5481171548117155
freq,82,1,1679,283,225,67,216,0.23674911660777384,0.7632508833922261
freq,10,0,1534,254,161,156,98,0.6141732283464567,0.3858267716535433
freq,57,0,1193,201,179,119,82,0.5920398009950248,0.4079601990049751
freq,130,1,1507,250,273,128,122,0.512,0.488
freq,112,1,1187,201,219,98,103,0.48756218905472637,0.5124378109452736
freq,10,1,1766,288,306,155,133,0.5381944444444444,0.4618055555555556
freq,158,1,1151,196,271,94,102,0.47959183673469385,0.5204081632653061
freq,38,1,1022,178,213,79,99,0.4438202247191011,0.5561797752808989
freq,58,0,1168,196,159,114,82,0.5816326530612245,0.41836734693877553
freq,113,0,1483,245,158,139,106,0.5673469387755102,0.4326530612244898
freq,11,0,1261,215,144,119,96,0.5534883720930233,0.44651162790697674
freq,39,0,1003,182,125,110,72,0.6043956043956044,0.3956043956043956
freq,131,0,1003,174,128,101,73,0.5804597701149425,0.41954022988505746
freq,113,1,1357,225,293,126,99,0.56,0.44
freq,160,0,1118,190,149,103,87,0.5421052631578948,0.45789473684210524
freq,11,1,1235,210,270,132,78,0.6285714285714286,0.37142857142857144
freq,58,1,1211,206,249,103,103,0.5,0.5
freq,84,0,1307,223,127,110,113,0.49327354260089684,0.5067264573991032
freq,131,1,1256,212,250,149,63,0.7028301886792453,0.2971698113207547
freq,39,1,1389,237,269,75,162,0.31645569620253167,0.6835443037974683
freq,114,0,1753,286,139,114,172,0.3986013986013986,0.6013986013986014
freq,160,1,2010,330,316,175,155,0.5303030303030303,0.4696969696969697
freq,12,0,2047,337,167,164,173,0.486646884272997,0.5133531157270029
freq,59,0,1313,219,136,121,98,0.5525114155251142,0.4474885844748858
freq,84,1,1283,215,276,118,97,0.5488372093023256,0.4511627906976744
freq,133,0,1233,209,161,125,84,0.5980861244019139,0.4019138755980861
freq,12,1,2135,349,432,108,241,0.30945558739255014,0.6905444126074498
freq,114,1,1371,229,335,143,86,0.6244541484716157,0.37554585152838427
freq,133,1,1342,227,253,146,81,0.6431718061674009,0.3568281938325991
freq,161,0,1183,200,186,127,73,0.635,0.365
freq,186,1,1723,284,287,177,107,0.6232394366197183,0.3767605633802817
freq,85,0,2087,343,298,194,149,0.565597667638484,0.43440233236151604
freq,13,0,1167,196,142,127,69,0.6479591836734694,0.3520408163265306
freq,59,1,1104,205,260,113,92,0.551219512195122,0.44878048780487806
freq,86,0,878,157,145,103,54,0.6560509554140127,0.34394904458598724
freq,117,0,1371,229,129,116,113,0.5065502183406113,0.49344978165938863
freq,40,0,1115,189,146,105,84,0.5555555555555556,0.4444444444444444
freq,135,0,1253,210,143,136,74,0.6476190476190476,0.3523809523809524
freq,117,1,1052,181,285,88,93,0.4861878453038674,0.5138121546961326
freq,40,1,1546,258,295,133,125,0.5155038759689923,0.4844961240310077
freq,86,1,1425,242,272,117,125,0.4834710743801653,0.5165289256198347
freq,60,0,1264,216,180,135,81,0.625,0.375
freq,135,1,1274,218,307,110,108,0.5045871559633027,0.4954128440366973
freq,118,0,1441,237,219,118,119,0.4978902953586498,0.5021097046413502
freq,88,0,1427,238,142,123,115,0.5168067226890757,0.4831932773109244
freq,188,0,891,157,87,77,80,0.49044585987261147,0.5095541401273885
freq,60,1,1996,327,288,160,167,0.4892966360856269,0.5107033639143731
freq,43,0,863,150,90,90,60,0.6,0.4
freq,136,0,821,147,108,99,48,0.673469387755102,0.32653061224489793
freq,188,1,1219,210,220,98,112,0.4666666666666667,0.5333333333333333
freq,88,1,982,183,100,81,102,0.4426229508196721,0.5573770491803278
freq,43,1,1021,178,258,111,67,0.6235955056179775,0.37640449438202245
freq,88,2,1119,194,292,89,105,0.4587628865979381,0.5412371134020618
freq,191,0,1102,188,103,97,91,0.5159574468085106,0.48404255319148937
freq,13,1,2112,341,335,140,201,0.41055718475073316,0.5894428152492669
freq,136,1,1415,241,249,114,127,0.4730290456431535,0.5269709543568465
freq,191,1,1561,257,297,134,123,0.5214007782101168,0.4785992217898833
freq,89,0,1329,224,173,138,86,0.6160714285714286,0.38392857142857145
