chunk,prefix_tokens,value_rel_l2,key_rel_l2,coefficient_l2,coefficient_max_abs
1,0,0.352619,0.374795,0.455078,0.286624
2,60,0.322344,0.269184,0.759766,0.720006
3,702,0.242961,0.218676,0.593750,0.351533
4,1203,0.255853,0.236305,0.761719,0.660090
5,2134,0.271167,0.222317,0.644531,0.553572
6,2681,0.239417,0.224209,0.490234,0.378506
7,3629,0.427286,0.343222,0.804688,0.793306
8,3677,0.157745,0.150322,0.707031,0.525439
9,4637,0.207733,0.146372,0.644531,0.491954
10,5615,0.243081,0.179195,0.699219,0.557560
11,6572,0.179359,0.126221,0.656250,0.516936
12,7560,0.170049,0.119542,0.707031,0.599671
13,8543,0.183528,0.112909,0.601562,0.444672
14,9563,0.196713,0.120959,0.601562,0.472716
15,10602,0.188687,0.115043,0.609375,0.517269
16,11610,0.187672,0.112525,0.601562,0.436201
17,12618,0.139798,0.096728,0.609375,0.420030
18,13627,0.142560,0.099822,0.625000,0.489038
19,14605,0.178094,0.107772,0.621094,0.473981
20,15457,0.438026,0.388826,0.455078,0.307790
21,16417,0.834556,0.740027,0.353516,0.219701
22,17105,0.302156,0.268199,0.515625,0.365574
