Question,Real Answer,Pred Answer
In what year was Twilight Princess from the game series on which The Legend of Neil was based originally planned for release?,2005,<|im_end|>
What is the mascot of the school that owns Goss Stadium at Coleman Field?,Benny Beaver,<|im_end|>
Who is the spouse of the actor that plays vision in avengers age of ultron?,Jennifer Connelly,<|im_end|>
Who was the spouse of the leading lady in Gone With the wind?,Laurence Olivier,<|im_end|>
Who was the mother of the person who found the sacred writings that became the Book of Mormon?,Lucy Mack Smith,<|im_end|>
Who is the mayor presiding now where Merrill Elam was born?,Lance Bottoms,<|im_end|>
What county shares a border with the county where She Did It's performer was born?,Cabarrus County,<|im_end|>
What is the experimental satellite which was the forerunner to the communication satellite of the operator of GSAT-7 called?,ATS - 6 (Applications Technology Satellite - 6),<|im_end|>
What watercourse is the river on which the Lostock Dam is located the mouth of?,Hunter River,<|im_end|>
There is a state A where Storm of the Century was filmed based on the book by the author who wrote a short story featuring the author of This Is My God. What is the population of state A?,"1,335,907",<|im_end|>
What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?,Green Bay,<|im_end|>
Kiwil's birth country participated in a Commission of Truth and Friendship. Who is the president of the other country that participated?,Francisco Guterres,<|im_end|>
Who is the child of the male star of the 1921 film Money?,Anthony Ainley,<|im_end|>
What is the symbol of the Saints from the headquarters location of Ten High's manufacturer called?,fleur - de-lis,<|im_end|>
Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,<|im_end|>
"Along with the subject of The One That Got Away, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,<|im_end|>
Who is the federal leader of the political party Ken Epp belongs to?,Andrew Scheer,<|im_end|>
Where is the country with ISO code ISO 3166-2:CV located?,central Atlantic Ocean,<|im_end|>
Who did the person portraying Batman in the Justice League movie play in Dazed and Confused?,Fred O'Bannion,<|im_end|>
"In Batman Under the Red Hood, who does the actor of Barney Stinson from How I Met Your Mother play?",Nightwing / Dick Grayson,<|im_end|>
"What did the singer of ""Moon River"" in the movie Breakfast at Tiffany win a Tony for?",for Best Performance by a Leading Actress in a Play in Ondine,<|im_end|>
Where is the headquarter of the Radio Television of the country whose co-official language is the same as the one Politika is written in?,Pristina,<|im_end|>
What is the source of the river of which Kraai River is a tributary?,Thaba Putsoa,<|im_end|>
Who played the girlfriend of Chance's voice actor in Homeward Bound in Back to the Future?,Claudia Wells,<|im_end|>
Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,Mr. Lawrence,<|im_end|>
Between which years did war with the person for whom Pyrrhic victory is named occur?,323–272 BC,<|im_end|>
MV Miralda's owner announced it was in the process of doing what in April 2010?,trying to find a potential buyer for all of its operations in Finland,<|im_end|>
When did the Battle at Choo Hoey's birthplace end?,15 February 1942,<|im_end|>
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sumardi was born?,Francisco Guterres,<|im_end|>
Who wrote the song The Story sung by the performer of Give Up the Ghost?,Phil Hanseroth,<|im_end|>
Where did they film The Beach in the country where Siddhi Savetsila was born?,Ko Phi Phi Leh,<|im_end|>
Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou,<|im_end|>
In which county did Snappy Tomato Pizza form?,Kenton County,<|im_end|>
What other recognition did the Oscar winner for Best Actor in 2006 receive?,nominated for an Academy Award for Best Supporting Actor,<|im_end|>
What is the Smile performer's birthday?,1 January 1986,<|im_end|>
What record label does the performer of Emotional Rain belong to?,Attic Records,<|im_end|>
When did the majority party in the House of Representatives gain control of the body which approves members of the Cabinet?,January 2015,<|im_end|>
What is the manufacturer of the Kentucky Tavern headquarters location saints symbol called?,fleur - de-lis,<|im_end|>
In which county was Zhu Qinan born?,Yongjia County,<|im_end|>
Who sings Home Alone Tonight with the Rain is a Good Thing singer?,Karen Fairchild,<|im_end|>
What is the name of the castle in the city where the performer of Never Too Loud was formed?,Casa Loma,<|im_end|>
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Lana Wood,<|im_end|>
What city is the star of 'Three Strangers in Rome' from?,La Goulette,<|im_end|>
What else happened in the northern part of Erich Zakowski's birthplace in the now Russian area?,names were replaced by new Russian names,<|im_end|>
In which county is Southern Maryland Electric Cooperative headquartered?,Charles County,<|im_end|>
When did the party that controls the House of Representatives take control of the branch who determines the rules of the US house and Senate?,January 2015,<|im_end|>
What series of wins did the sports team that the all time highest goal scorer in spain national team was a member or achieve in 2009?,continental treble,<|im_end|>
"In Grown Ups, who plays the wife of the actor who produced The Chosen One?",Joyce Van Patten,<|im_end|>
Who does the performer of Don't Be Cruel play in the wire?,a Western District uniformed officer,<|im_end|>
When did Burroughs Corporation merge to form a new corporation?,1986,<|im_end|>
