Question,Real Answer,Pred Answer
Where was the wife of Francis I Rákóczi born?,Ozalj,<|im_end|>
Who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,<|im_end|>
Where does the director of film Man At Bath work at?,Cahiers du cinéma,<|im_end|>
Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,<|im_end|>
"What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,<|im_end|>
"Who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,<|im_end|>
"What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,<|im_end|>
Who is Helmichis's father-in-law?,Cunimund,<|im_end|>
Where did Helena Carroll's father study?,St Patrick's College,<|im_end|>
Where does the director of film Wine Of Morning work at?,Bob Jones University,<|im_end|>
"Which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",The House Of The Seven Hawks,<|im_end|>
"Who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Marie of Hohenstaufen,<|im_end|>
"Who is Renaud Ii, Count Of Soissons's uncle?","Guy II, Count of Soissons",<|im_end|>
When did William Le Poer Trench's father die?,26 April 1872,<|im_end|>
Which country the director of film Renegade Force is from?,America,<|im_end|>
Who is the spouse of the director of film Emergency Wedding?,Ona Munson,<|im_end|>
"Which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,<|im_end|>
Do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,no,<|im_end|>
"Are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,<|im_end|>
Where was the director of film Kanneshwara Rama born?,Mysore,<|im_end|>
Where was the place of death of Randi Monsen's father?,Kristiania,<|im_end|>
Where did the performer of song I'Ll Say It graduate from?,Lee Strasberg Theatre and Film Institute,<|im_end|>
"Which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",Hell Up In Harlem,<|im_end|>
"Who was born first, Cipriano Castro or Damir Nikšić?",Cipriano Castro,<|im_end|>
"Which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,<|im_end|>
"Who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?",Altuğ Çelikbilek,<|im_end|>
"Which song came out first, Joel The Lump Of Coal or Jugband Blues?",Jugband Blues,<|im_end|>
Are both Open Mobile and Primestar located in the same country?,yes,<|im_end|>
Who is the paternal grandfather of Baldwin I Rátót?,Leustach Rátót,<|im_end|>
What is the place of birth of Ratna Malla's father?,Nepal,<|im_end|>
"Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford",<|im_end|>
Who is the paternal grandfather of Mark Getty?,Jean Paul Getty,<|im_end|>
Where did the performer of song Fantasy (George Michael Song) die?,"Goring-on-Thames, Oxfordshire",<|im_end|>
