Question,Real Answer,Pred Answer
Who is the spouse of the director of film Rodney Steps In?,Ivy Duke,Elizabeth Allan
"When did Frances Vane, Marchioness Of Londonderry's father die?",1 August 1813,1813
"Which film has the director who is older than the other, Season Of Strangers or The Yellow Teddy Bears? ",Season Of Strangers,The Yellow Teddy Bears
Were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,yes
"Who was born first, Antoine Casavant or Abdul Ali Lalu?",Antoine Casavant,Antoine Casavant
Where did Rameshwari Nehru's husband graduate from?,Oxford,Oxford
"Who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?","Sir Hew Dalrymple, 2nd Baronet","Sir Hew Dalrymple, 3rd Baronet"
"Which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?",Murderer In The Fog,Khud-Daar
Who is the spouse of the director of film Soldier (1998 American Film)?,Milla,Heather D. Gibson
"Where did Catherine Of Taranto, Countess Of Copertino's mother die?",Lecce,1311
Which award the director of film Lady Magdalene'S got?,Prometheus Award,Special Jury Prize for Libertarian Ideals
What nationality is Princess Charlotte Of Saxe-Meiningen's husband?,Duchy of Saxe-Gotha-Altenburg,German
"Which film has the director who was born first, The Longshots or Station For Two?",Station For Two,The Longshots
What is the place of birth of Aleksey Greig's father?,Inverkeithing,"Inverkeithing, Fife, Scotland"
When did Thomas Of Galloway (Bastard)'s father die?,1234,1234
"When did Robert Bertie, 3Rd Earl Of Lindsey's father die?",25 July 1666,1666
"Which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",The Wind'S Fierce,The Wind's Fierce
Why did the director of film Port Of Seven Seas die?,drowning,"The director of the film Port of Seven Seas, James Whale, died by suicide. He drowned himself in his Pacific Palisades swimming pool on 29 May 1957 at the age of 67"
What is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,Abu Dhabi,Abu Dhabi
What is the place of birth of Frank Wartenberg's wife?,Prenzlau,Prenzlau
