Question,Real Answer,Pred Answer
In what year was Twilight Princess from the game series on which The Legend of Neil was based originally planned for release?,2005,2005
What is the mascot of the school that owns Goss Stadium at Coleman Field?,Benny Beaver,Benny Beaver
Who is the spouse of the actor that plays vision in avengers age of ultron?,Jennifer Connelly,Jennifer Connelly
Who was the spouse of the leading lady in Gone With the wind?,Laurence Olivier,Clark Gable
Who was the mother of the person who found the sacred writings that became the Book of Mormon?,Lucy Mack Smith,Lucy Mack Smith
Who is the mayor presiding now where Merrill Elam was born?,Lance Bottoms,Jacek Majchrowski
What county shares a border with the county where She Did It's performer was born?,Cabarrus County,Rowan County
What is the experimental satellite which was the forerunner to the communication satellite of the operator of GSAT-7 called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
What watercourse is the river on which the Lostock Dam is located the mouth of?,Hunter River,Paterson River
There is a state A where Storm of the Century was filmed based on the book by the author who wrote a short story featuring the author of This Is My God. What is the population of state A?,"1,335,907","1,362,359"
What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?,Green Bay,Toledo
Kiwil's birth country participated in a Commission of Truth and Friendship. Who is the president of the other country that participated?,Francisco Guterres,Xanana Gusmão
Who is the child of the male star of the 1921 film Money?,Anthony Ainley,Aiden Lucas
What is the symbol of the Saints from the headquarters location of Ten High's manufacturer called?,fleur - de-lis,fleur-de-lis
Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Tanzania
"Along with the subject of The One That Got Away, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,Josh Groban
Who is the federal leader of the political party Ken Epp belongs to?,Andrew Scheer,Andrew Scheer
Where is the country with ISO code ISO 3166-2:CV located?,central Atlantic Ocean,"Cape Verde is located in the Atlantic Ocean, approximately 570 kilometres (350 mi) off the western coast of the African continent, near Senegal, The Gambia, and Mauritania."
Who did the person portraying Batman in the Justice League movie play in Dazed and Confused?,Fred O'Bannion,Ben Affleck did not portray Batman in Dazed and Confused. Matthew McConaughey portrayed David Wooderson in Dazed and Confused.
"In Batman Under the Red Hood, who does the actor of Barney Stinson from How I Met Your Mother play?",Nightwing / Dick Grayson,The Mother
"What did the singer of ""Moon River"" in the movie Breakfast at Tiffany win a Tony for?",for Best Performance by a Leading Actress in a Play in Ondine,Best Actor
Where is the headquarter of the Radio Television of the country whose co-official language is the same as the one Politika is written in?,Pristina,Belgrade
What is the source of the river of which Kraai River is a tributary?,Thaba Putsoa,Orange River
Who played the girlfriend of Chance's voice actor in Homeward Bound in Back to the Future?,Claudia Wells,Lea Thompson
Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,Mr. Lawrence,Mary Jo Catlett
Between which years did war with the person for whom Pyrrhic victory is named occur?,323–272 BC,280 BC to 272 BC
MV Miralda's owner announced it was in the process of doing what in April 2010?,trying to find a potential buyer for all of its operations in Finland,selling its operations in Finland and conducting market research for its operations in Sweden
When did the Battle at Choo Hoey's birthplace end?,15 February 1942,1942
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sumardi was born?,Francisco Guterres,Xanana Gusmão
Who wrote the song The Story sung by the performer of Give Up the Ghost?,Phil Hanseroth,Brandi Carlile
Where did they film The Beach in the country where Siddhi Savetsila was born?,Ko Phi Phi Leh,Thailand
Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou,Ilyasah Shabazz
In which county did Snappy Tomato Pizza form?,Kenton County,Kentucky
What other recognition did the Oscar winner for Best Actor in 2006 receive?,nominated for an Academy Award for Best Supporting Actor,the Silver Bear for Best Actor
What is the Smile performer's birthday?,1 January 1986,1 January 1986
What record label does the performer of Emotional Rain belong to?,Attic Records,A&M Records (Canada) and Koch Entertainment (Europe)
When did the majority party in the House of Representatives gain control of the body which approves members of the Cabinet?,January 2015,2014
What is the manufacturer of the Kentucky Tavern headquarters location saints symbol called?,fleur - de-lis,"Kentucky Tavern is produced by the Sazerac Company at the Barton Distillery located in Bardstown, Kentucky."
In which county was Zhu Qinan born?,Yongjia County,Zhejiang
Who sings Home Alone Tonight with the Rain is a Good Thing singer?,Karen Fairchild,Karen Fairchild
What is the name of the castle in the city where the performer of Never Too Loud was formed?,Casa Loma,"Danko Jones was formed in Toronto, and the castle mentioned in the city is Casa Loma."
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Lana Wood,Lucy Kellaway
What city is the star of 'Three Strangers in Rome' from?,La Goulette,Tunis
What else happened in the northern part of Erich Zakowski's birthplace in the now Russian area?,names were replaced by new Russian names,"The northern part of Erich Zakowski's birthplace, which is in the now Russian area, was annexed by the Soviet Union after World War II. The city of Königsberg, located in this region, was"
In which county is Southern Maryland Electric Cooperative headquartered?,Charles County,Charles County
When did the party that controls the House of Representatives take control of the branch who determines the rules of the US house and Senate?,January 2015,2014
What series of wins did the sports team that the all time highest goal scorer in spain national team was a member or achieve in 2009?,continental treble,longest unbeaten run: 36 matches (2007–09)
"In Grown Ups, who plays the wife of the actor who produced The Chosen One?",Joyce Van Patten,Holland Taylor
Who does the performer of Don't Be Cruel play in the wire?,a Western District uniformed officer,Bobby Brown plays a Western District uniformed officer in *The Wire*.
When did Burroughs Corporation merge to form a new corporation?,1986,1986
