/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:04<00:04,  4.11s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:06<00:00,  3.15s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:06<00:00,  3.29s/it]
teacher pair=516 top=31 score_mean=0.216108
teacher pair=517 top=28 score_mean=0.230975
teacher pair=518 top=28 score_mean=0.230975
teacher pair=519 top=28 score_mean=0.230975
teacher pair=520 top=28 score_mean=0.230975
teacher pair=521 top=28 score_mean=0.230975
teacher pair=522 top=32 score_mean=0.212888
teacher pair=523 top=32 score_mean=0.212888
teacher pair=524 top=32 score_mean=0.212888
teacher pair=525 top=57 score_mean=0.144366
teacher pair=526 top=57 score_mean=0.144366
teacher pair=527 top=57 score_mean=0.144366
teacher pair=528 top=57 score_mean=0.144366
teacher pair=529 top=57 score_mean=0.144366
teacher pair=530 top=57 score_mean=0.144366
teacher pair=531 top=57 score_mean=0.144366
teacher pair=532 top=57 score_mean=0.144366
teacher pair=533 top=55 score_mean=0.148106
teacher pair=534 top=55 score_mean=0.148106
teacher pair=535 top=55 score_mean=0.148106
teacher pair=536 top=37 score_mean=0.191104
teacher pair=537 top=37 score_mean=0.191104
teacher pair=538 top=41 score_mean=0.179195
teacher pair=539 top=41 score_mean=0.179195
teacher pair=540 top=41 score_mean=0.179195
teacher pair=541 top=57 score_mean=0.144366
teacher pair=542 top=57 score_mean=0.144366
teacher pair=543 top=57 score_mean=0.144366
teacher pair=544 top=24 score_mean=0.249371
teacher pair=545 top=24 score_mean=0.249371
teacher pair=546 top=32 score_mean=0.21039
teacher pair=547 top=32 score_mean=0.21039
teacher pair=548 top=32 score_mean=0.21039
teacher pair=549 top=18 score_mean=0.301947
teacher pair=550 top=18 score_mean=0.301947
teacher pair=551 top=18 score_mean=0.301947
teacher pair=552 top=57 score_mean=0.144366
teacher pair=553 top=57 score_mean=0.144366
teacher pair=554 top=57 score_mean=0.144366
teacher pair=555 top=57 score_mean=0.144366
teacher pair=556 top=57 score_mean=0.144366
teacher pair=557 top=24 score_mean=0.25029
teacher pair=558 top=24 score_mean=0.25029
teacher pair=559 top=24 score_mean=0.25029
teacher pair=560 top=10 score_mean=0.402458
teacher pair=561 top=10 score_mean=0.402458
teacher pair=562 top=10 score_mean=0.402458
teacher pair=563 top=10 score_mean=0.402458
teacher pair=564 top=10 score_mean=0.399638
teacher pair=565 top=10 score_mean=0.399638
teacher pair=566 top=10 score_mean=0.399638
teacher pair=567 top=10 score_mean=0.399638
teacher pair=568 top=10 score_mean=0.399638
teacher pair=569 top=30 score_mean=0.219444
teacher pair=570 top=30 score_mean=0.219444
teacher pair=571 top=30 score_mean=0.219444
teacher pair=572 top=30 score_mean=0.219444
teacher pair=573 top=30 score_mean=0.219444
teacher pair=574 top=27 score_mean=0.235674
teacher pair=575 top=27 score_mean=0.235674
teacher pair=576 top=27 score_mean=0.235674
teacher pair=577 top=28 score_mean=0.229457
teacher pair=578 top=28 score_mean=0.229457
teacher pair=579 top=28 score_mean=0.229457
teacher pair=580 top=51 score_mean=0.155676
teacher pair=581 top=51 score_mean=0.155676
teacher pair=582 top=51 score_mean=0.155676
teacher pair=583 top=51 score_mean=0.155676
teacher pair=584 top=51 score_mean=0.155676
teacher pair=585 top=23 score_mean=0.257933
teacher pair=586 top=23 score_mean=0.257933
teacher pair=587 top=12 score_mean=0.373838
teacher pair=588 top=12 score_mean=0.373838
teacher pair=589 top=12 score_mean=0.373838
teacher pair=590 top=12 score_mean=0.373838
teacher pair=591 top=12 score_mean=0.373838
teacher pair=592 top=13 score_mean=0.347639
teacher pair=593 top=13 score_mean=0.347639
teacher pair=594 top=13 score_mean=0.347639
teacher pair=595 top=32 score_mean=0.212257
teacher pair=596 top=32 score_mean=0.212257
teacher pair=597 top=32 score_mean=0.212257
teacher pair=598 top=56 score_mean=0.145677
teacher pair=599 top=56 score_mean=0.145677
teacher pair=600 top=56 score_mean=0.145677
teacher pair=601 top=20 score_mean=0.282108
wrote 86 teacher files to MOTIVATION_EXPERIMENTS/native_initialized_layer4_distill/teacher_cache_musique_val
