Question,Real Answer,Pred Answer
Where was the wife of Francis I Rákóczi born?,Ozalj,Herstmonceux Castle in Sussex
Who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,John the Baptist
Where does the director of film Man At Bath work at?,Cahiers du cinéma,"The director of the film Man at Bath, Christophe Honoré, is not mentioned as working at a specific institution in the provided passage."
Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,no
"What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,1510
"Who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,"Edward Watson, Viscount Sondes's paternal grandfather is Lewis Watson, 1st Earl of Rockingham."
"What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,1220
Who is Helmichis's father-in-law?,Cunimund,Rosamund
Where did Helena Carroll's father study?,St Patrick's College,"St Patrick's College, Dublin"
Where does the director of film Wine Of Morning work at?,Bob Jones University,Toledo Museum of Art
"Which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",The House Of The Seven Hawks,The Secret Invasion
"Who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Marie of Hohenstaufen,Margaret of Brabant
"Who is Renaud Ii, Count Of Soissons's uncle?","Guy II, Count of Soissons","Renaud I, Count of Soissons's uncle is Guy II, Count of Soissons."
When did William Le Poer Trench's father die?,26 April 1872,1837
Which country the director of film Renegade Force is from?,America,United States
Who is the spouse of the director of film Emergency Wedding?,Ona Munson,"The spouse of the director of the film Emergency Wedding, Edward Buzzell, is Lorraine Miller."
"Which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,The Death of Black King
Do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,no,no
"Are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,no
Where was the director of film Kanneshwara Rama born?,Mysore,Answer: Madrid
Where was the place of death of Randi Monsen's father?,Kristiania,The passage does not provide information about the place of death of Randi Monsen's father.
