Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason,_source_csv,_seg,_row,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,"<think>

</think>

Answer: The United Kingdom's National Cycle Network.",True,0,0.0,预测答案准确指出了National Cycle Route 57所属的网络为“The United Kingdom's National Cycle Network”，这与标准答案的核心信息完全一致，语义上等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,0,True,预测答案准确地指出了National Cycle Route 57所属的网络是英国的国家自行车网络，这与标准答案的核心信息完全一致，语义上完全等价，正确地回答了问题。,"判断: 正确
原因: 预测答案准确地指出了National Cycle Route 57所属的网络是英国的国家自行车网络，这与标准答案的核心信息完全一致，语义上完全等价，正确地回答了问题。"
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","The headquarters of Julia's House is located in Corfe Mullen, Dorset, England.",True,0.6086956521739131,0.0,"预测答案明确指出了Julia's House的总部位于“Corfe Mullen, Dorset, England”，完全包含了标准答案中的所有关键地理位置信息。两者在语义上完全等价，只是预测答案将其补充为完整的句子表述，意思保持一致，因此判断为正确。",N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,1,True,"预测答案完整地包含了标准答案中的所有关键地理位置信息，即“Corfe Mullen, Dorset, England”。虽然预测答案增加了完整的句子结构，但其表达的核心语义与标准答案完全一致，准确无误地回答了问题。","判断: 正确
原因: 预测答案完整地包含了标准答案中的所有关键地理位置信息，即“Corfe Mullen, Dorset, England”。虽然预测答案增加了完整的句子结构，但其表达的核心语义与标准答案完全一致，准确无误地回答了问题。"
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","</think>

Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin, United States.",True,0,0.0,预测答案完整地包含了标准答案中的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。它仅仅在末尾补充了“United States”这一国家名称，不仅没有改变原意，反而使地理位置的表述更加精确，两者在语义上完全等价。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,2,True,预测答案完整包含了标准答案中的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。它仅仅在末尾补充了“United States”这一国家信息，不仅没有改变原意，反而使地理位置的表述更加精确，两者在语义上完全等价。,"判断: 正确
原因: 预测答案完整包含了标准答案中的所有关键信息，即位于华盛顿岛北部、威斯康星州多尔县。它仅仅在末尾补充了“United States”这一国家信息，不仅没有改变原意，反而使地理位置的表述更加精确，两者在语义上完全等价。"
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,"<think>

</think>

Johan Ludvig Heiberg",True,0,0.0,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的实体，与标准答案中的核心人物信息完全一致，准确回答了Peter Andreas Heiberg的孩子是谁，符合语义等价的判断标准。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,3,True,预测答案“Johan Ludvig Heiberg”直接给出了问题所询问的人名，与标准答案中的核心实体信息完全一致，准确地回答了关于Peter Andreas Heiberg孩子的问题。,"判断: 正确
原因: 预测答案“Johan Ludvig Heiberg”直接给出了问题所询问的人名，与标准答案中的核心实体信息完全一致，准确地回答了关于Peter Andreas Heiberg孩子的问题。"
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,"<think>

</think>

Johanne Luise Heiberg",True,0,0.0,预测答案“Johanne Luise Heiberg”与标准答案完全一致，准确地给出了Johan Ludvig Heiberg配偶的名字，完整且正确地回答了所提出的问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,4,True,预测答案“Johanne Luise Heiberg”与标准答案完全一致，准确地给出了Johan Ludvig Heiberg配偶的名字，完整且正确地回答了问题。,"判断: 正确
原因: 预测答案“Johanne Luise Heiberg”与标准答案完全一致，准确地给出了Johan Ludvig Heiberg配偶的名字，完整且正确地回答了问题。"
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","Answer: Alice de Lusignan, Countess of Surrey, had a brother named Raoul de Lusignan, Count of Eu, and a sister named Isabella de Lusignan, who was married to Hugh de Lusignan.",False,0.21875,0.0,预测答案未能包含标准答案中的关键信息，即Alice de Lusignan的同母异父兄弟（uterine half-brother）英格兰国王亨利三世（King Henry III of England）。预测答案中提到的Raoul de Lusignan和Isabella de Lusignan与标准答案完全不符，因此语义上并不等价。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,5,False,预测答案没有包含标准答案中的关键信息，即Alice de Lusignan的同母异父兄弟是英格兰国王亨利三世。相反，预测答案提到了Raoul de Lusignan和Isabella de Lusignan，这与标准答案在语义上并不等价，因此未能正确回答问题。,"判断: 错误
原因: 预测答案没有包含标准答案中的关键信息，即Alice de Lusignan的同母异父兄弟是英格兰国王亨利三世。相反，预测答案提到了Raoul de Lusignan和Isabella de Lusignan，这与标准答案在语义上并不等价，因此未能正确回答问题。"
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,"1216 and 1220




</think>

Answer: 1216 and 1220",True,0.4,0.0,预测答案“1216 and 1220”准确提取了标准答案中关于英格兰国王亨利三世加冕时间的两个关键年份，即1216年的首次加冕和1220年的第二次加冕。尽管它省略了具体的地点和日期等细节，但核心问题“何时加冕”已得到正确且完整的回答，语义上与标准答案完全一致。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,6,True,预测答案“1216 and 1220”准确提取了标准答案中关于亨利三世加冕时间的两个关键年份，即1216年的首次加冕和1220年的第二次加冕。尽管缺少了具体的日期和地点等细节，但已经正确且完整地回答了“何时加冕”这一核心问题，符合评估标准。,"判断: 正确
原因: 预测答案“1216 and 1220”准确提取了标准答案中关于亨利三世加冕时间的两个关键年份，即1216年的首次加冕和1220年的第二次加冕。尽管缺少了具体的日期和地点等细节，但已经正确且完整地回答了“何时加冕”这一核心问题，符合评估标准。"
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,"<think>

</think>

Answer: Charles University in Prague",True,0,0.0,预测答案“Charles University in Prague”直接且准确地提供了问题所询问的大学名称，与标准答案的核心信息完全一致，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,7,True,预测答案“Charles University in Prague”直接且准确地给出了问题所问的大学名称，与标准答案的核心信息完全一致，正确地回答了问题。,"判断: 正确
原因: 预测答案“Charles University in Prague”直接且准确地给出了问题所问的大学名称，与标准答案的核心信息完全一致，正确地回答了问题。"
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,"<think>

</think>

The physicist that the Mach number is named after is Ernst Mach.",True,0,0.0,预测答案明确指出了马赫数是以物理学家恩斯特·马赫（Ernst Mach）的名字命名的，这与标准答案的核心信息完全一致。虽然预测答案省略了标准答案中关于他是“奥地利人”以及“哲学家”的额外修饰信息，但已经准确回答了问题所问的核心人物，语义上完全等价。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,8,True,预测答案明确指出了马赫数是以物理学家恩斯特·马赫的名字命名的，这与标准答案的核心信息完全一致。虽然预测答案省略了关于其“奥地利哲学家”身份的描述，但准确回答了问题所问的“物理学家是谁”这一关键点，语义上完全等价。,"判断: 正确
原因: 预测答案明确指出了马赫数是以物理学家恩斯特·马赫的名字命名的，这与标准答案的核心信息完全一致。虽然预测答案省略了关于其“奥地利哲学家”身份的描述，但准确回答了问题所问的“物理学家是谁”这一关键点，语义上完全等价。"
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,Answer: University of Vienna,False,0.13333333333333333,0.0,预测答案给出的机构是“University of Vienna”（维也纳大学），而标准答案明确指出恩斯特·马赫是“Charles University in Prague”（布拉格查理大学）的教授。两者指向的学术机构完全不同，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此未能正确回答问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_qk_rate015/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv,seg_0_25,9,False,预测答案给出的机构是“University of Vienna”（维也纳大学），而标准答案明确指出恩斯特·马赫是“Charles University in Prague”（布拉格查理大学）的教授。两者在关键信息上不一致，语义上也不等价，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的机构是“University of Vienna”（维也纳大学），而标准答案明确指出恩斯特·马赫是“Charles University in Prague”（布拉格查理大学）的教授。两者在关键信息上不一致，语义上也不等价，因此预测答案未能正确回答问题。"
