chunk,method,chunk_len,selected_count,jaccard_vs_draft_freq,jaccard_vs_qk_freq,example_id
chunk00,hybrid_draft70_qk30_score_per_chunk,50,7,1.0,0.75,0
chunk00,hybrid_draft50_qk50_score_per_chunk,50,7,1.0,0.75,0
chunk00,hybrid_draft70_then_qk30_per_chunk,50,7,0.75,1.0,0
chunk00,hybrid_qk_draft_intersection_fill_draft_per_chunk,50,7,1.0,0.75,0
chunk00,hybrid_qk_draft_rrf_per_chunk,50,7,1.0,0.75,0
chunk01,hybrid_draft70_qk30_score_per_chunk,92,13,0.8571428571428571,0.5294117647058824,0
chunk01,hybrid_draft50_qk50_score_per_chunk,92,13,0.7333333333333333,0.7333333333333333,0
chunk01,hybrid_draft70_then_qk30_per_chunk,92,13,0.625,0.7333333333333333,0
chunk01,hybrid_qk_draft_intersection_fill_draft_per_chunk,92,13,0.8571428571428571,0.625,0
chunk01,hybrid_qk_draft_rrf_per_chunk,92,13,0.7333333333333333,0.7333333333333333,0
chunk02,hybrid_draft70_qk30_score_per_chunk,76,11,1.0,0.6923076923076923,0
chunk02,hybrid_draft50_qk50_score_per_chunk,76,11,0.8333333333333334,0.8333333333333334,0
chunk02,hybrid_draft70_then_qk30_per_chunk,76,11,0.6923076923076923,1.0,0
chunk02,hybrid_qk_draft_intersection_fill_draft_per_chunk,76,11,1.0,0.6923076923076923,0
chunk02,hybrid_qk_draft_rrf_per_chunk,76,11,0.6923076923076923,0.8333333333333334,0
chunk03,hybrid_draft70_qk30_score_per_chunk,98,14,0.8666666666666667,0.75,0
chunk03,hybrid_draft50_qk50_score_per_chunk,98,14,0.8666666666666667,0.75,0
chunk03,hybrid_draft70_then_qk30_per_chunk,98,14,0.6470588235294118,1.0,0
chunk03,hybrid_qk_draft_intersection_fill_draft_per_chunk,98,14,0.8666666666666667,0.75,0
chunk03,hybrid_qk_draft_rrf_per_chunk,98,14,0.75,0.75,0
chunk04,hybrid_draft70_qk30_score_per_chunk,52,7,1.0,0.5555555555555556,0
chunk04,hybrid_draft50_qk50_score_per_chunk,52,7,0.75,0.75,0
chunk04,hybrid_draft70_then_qk30_per_chunk,52,7,0.75,0.75,0
chunk04,hybrid_qk_draft_intersection_fill_draft_per_chunk,52,7,1.0,0.5555555555555556,0
