target,source,kind,test_context,method,delta_norm2,error_norm2,base_norm2,dot,pred_norm2,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
1,raw,k,0,no_update,992.1414888501167,992.1414888501167,17014065.484375,0.0,0.0,0.007636296022446907,1.0,0.007636296022446907,0.0,0.0
1,raw,k,0,mean_anchor,992.1414888501167,966269.6390314102,17014065.484375,1080.7390405696642,967438.9774493575,0.007636296022446907,31.207743038524793,0.23831156403463202,-972.9232255585927,0.03488367600891785
1,raw,k,0,random_anchor,992.1414888501167,1133193.801232338,17014065.484375,596.455630079261,1133394.5624814034,0.007636296022446907,33.79599907389647,0.25807625330261497,-1141.169553402811,0.017786920928001212
1,raw,k,0,oracle_anchor,992.1414888501167,0.0,17014065.484375,992.1414888501167,992.1414888501167,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,position_top1,992.1414888501167,0.0,17014065.484375,992.1414888501167,992.1414888501167,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,position_top2,992.1414888501167,0.0,17014065.484375,992.1414888501167,992.1414888501167,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,position_top4,992.1414888501167,190846.82753384113,17014065.484375,1291.242222723551,192437.16975921392,0.007636296022446907,13.86933591720025,0.1059103546984963,-191.35847878414089,0.09344938179745255
1,raw,k,0,position_top8,992.1414888501167,331866.70265716314,17014065.484375,1338.1526178771164,333550.8677034378,0.007636296022446907,18.28921370645615,0.13966184988029254,-333.49533800042343,0.07355933681059962
1,raw,k,0,cached_v_top1,992.1414888501167,0.0,17014065.484375,992.1414888501167,992.1414888501167,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,cached_v_top2,992.1414888501167,0.0,17014065.484375,992.1414888501167,992.1414888501167,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,cached_v_top4,992.1414888501167,320464.87637248635,17014065.484375,1152.2768845995888,321777.2858211398,0.007636296022446907,17.97228979918959,0.1372417251078146,-322.0032006260542,0.06448999631822565
1,raw,k,0,cached_v_top8,992.1414888501167,616287.9556108415,17014065.484375,1131.2572675659321,617558.3369991481,0.007636296022446907,24.923270701155516,0.19032147292160143,-620.169422443077,0.04570203959053275
1,raw,k,0,hybrid_top1,992.1414888501167,0.0,17014065.484375,992.1414888501167,992.1414888501167,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,hybrid_top2,992.1414888501167,0.0,17014065.484375,992.1414888501167,992.1414888501167,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,hybrid_top4,992.1414888501167,193776.84166646004,17014065.484375,1293.391675064806,195371.47836375237,0.007636296022446907,13.975396267915094,0.10672026293279939,-194.31170084525513,0.0928993497861412
