dataset,method,rate,segment,source_csv,source_row,Question,Real Answer,Pred Answer,Predicted_Clean,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,0,Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,Glenn Hughes,Glenn Hughes,True,预测答案“Glenn Hughes”与标准答案完全一致，准确地包含了标准答案的关键信息，在语义上完全等价，因此正确地回答了关于谁年龄更大的问题。,"判断: 正确
原因: 预测答案“Glenn Hughes”与标准答案完全一致，准确地包含了标准答案的关键信息，在语义上完全等价，因此正确地回答了关于谁年龄更大的问题。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,1,What is found in Prochlorococcus and essential for photosynthesis?,Chlorophyll,Chlorophyll a and b are found in Prochlorococcus and are essential for photosynthesis.,Chlorophyll a and b are found in Prochlorococcus and are essential for photosynthesis.,True,预测答案明确指出了在原绿球藻中存在且对光合作用至关重要的物质是叶绿素a和b。这包含了标准答案“Chlorophyll”的核心信息，在语义上与标准答案完全等价，准确回答了问题。,"判断: 正确
原因: 预测答案明确指出了在原绿球藻中存在且对光合作用至关重要的物质是叶绿素a和b。这包含了标准答案“Chlorophyll”的核心信息，在语义上与标准答案完全等价，准确回答了问题。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,2,Alan Furst and Lee Child are what?,is a British author,authors,authors,True,预测答案“authors”准确概括了标准答案“is a British author”的核心信息，即两人的职业身份是作家。虽然预测答案省略了“British”这一国籍修饰词，但在语义上与标准答案保持一致，正确回答了问题。,"判断: 正确
原因: 预测答案“authors”准确概括了标准答案“is a British author”的核心信息，即两人的职业身份是作家。虽然预测答案省略了“British”这一国籍修饰词，但在语义上与标准答案保持一致，正确回答了问题。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,3,Wayne's World featured the actor who was a member of what Chicago comedy troupe?,Second City Theatre,Second City Theatre,Second City Theatre,True,预测答案“Second City Theatre”与标准答案完全一致，包含了问题所要求的关键信息，语义上完全等价，准确地回答了关于Wayne's World演员所属芝加哥喜剧剧团的问题。,"判断: 正确
原因: 预测答案“Second City Theatre”与标准答案完全一致，包含了问题所要求的关键信息，语义上完全等价，准确地回答了关于Wayne's World演员所属芝加哥喜剧剧团的问题。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,4,What telenovela inspired the TV show that the band Eme 15 was formed on in 2012?,Quinceañera,Quinceañera,Quinceañera,True,预测答案“Quinceañera”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了所提出的问题。,"判断: 正确
原因: 预测答案“Quinceañera”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了所提出的问题。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,5," Blake Alexander Carrington is a fictional character on the ABC television series ""Dynasty"", created by Richard and Esther Shapiro whose role was portrayed by John Forsythe, and also appeared as a guest on several talk and variety shows and as a panelist on what type of television show?",game shows,game shows,game shows,True,预测答案“game shows”与标准答案完全一致，准确包含了问题所要求的关键信息，语义上完全等价，正确回答了Blake Alexander Carrington作为panelist参与的电视节目类型。,"判断: 正确
原因: 预测答案“game shows”与标准答案完全一致，准确包含了问题所要求的关键信息，语义上完全等价，正确回答了Blake Alexander Carrington作为panelist参与的电视节目类型。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,6,In what country are the cities Guilin and Ankang located?,China,China,China,True,预测答案“China”与标准答案“China”完全一致，准确地包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于桂林和安康所在国家的问题。,"判断: 正确
原因: 预测答案“China”与标准答案“China”完全一致，准确地包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于桂林和安康所在国家的问题。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,7,"Who owns a licensed brand that seeks to engage the private sector in raising awareness and funds to help eliminate HIV/AIDS in eight African countries, who's partner is a Dutch sports and clothing company, which sells alpine sking and tennis equipment?",RED,Bono,Bono,False,预测答案“Bono”是一个人名，而标准答案“RED”是一个品牌名称。两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案“Bono”是一个人名，而标准答案“RED”是一个品牌名称。两者在语义上并不等价，且预测答案未包含标准答案的关键信息，因此判断为错误。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,8,"In which school was the fictional character in ""The Simpsons"" which was voice by Marcia Wallace a teacher?",Springfield Elementary School,Springfield Elementary School,Springfield Elementary School,True,预测答案“Springfield Elementary School”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，准确地回答了问题中关于Marcia Wallace配音的虚构角色任教的学校名称。,"判断: 正确
原因: 预测答案“Springfield Elementary School”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，准确地回答了问题中关于Marcia Wallace配音的虚构角色任教的学校名称。"
hotpotqa-v2,offline32b_top2,0.15,seg_0_65,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/offline32b_top2/hotpotqa-v2/rate_0p15/seg_0_65/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,9,"The actor that uses the stage name ""Li Ming"" starred with Donnie Yen in a 2005 Hong Kong film directed by who?",Tsui Hark,Tsui Hark,Tsui Hark,True,预测答案“Tsui Hark”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题所询问的电影导演是谁。,"判断: 正确
原因: 预测答案“Tsui Hark”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题所询问的电影导演是谁。"
