Question,Real Answer,Pred Answer
Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,<|im_end|>
What is found in Prochlorococcus and essential for photosynthesis?,Chlorophyll,<|im_end|>
Alan Furst and Lee Child are what?,is a British author,<|im_end|>
Wayne's World featured the actor who was a member of what Chicago comedy troupe?,Second City Theatre,<|im_end|>
What telenovela inspired the TV show that the band Eme 15 was formed on in 2012?,Quinceañera,<|im_end|>
" Blake Alexander Carrington is a fictional character on the ABC television series ""Dynasty"", created by Richard and Esther Shapiro whose role was portrayed by John Forsythe, and also appeared as a guest on several talk and variety shows and as a panelist on what type of television show?",game shows,<|im_end|>
In what country are the cities Guilin and Ankang located?,China,<|im_end|>
"Who owns a licensed brand that seeks to engage the private sector in raising awareness and funds to help eliminate HIV/AIDS in eight African countries, who's partner is a Dutch sports and clothing company, which sells alpine sking and tennis equipment?",RED,<|im_end|>
"In which school was the fictional character in ""The Simpsons"" which was voice by Marcia Wallace a teacher?",Springfield Elementary School,<|im_end|>
"The actor that uses the stage name ""Li Ming"" starred with Donnie Yen in a 2005 Hong Kong film directed by who?",Tsui Hark,<|im_end|>
"Which original attraction at Universal Studios Florida, featuring Yogi Bear and Boo Boo, was replaced by Jimmy Nuetron's Nicktoon Blast?",The Funtastic World of Hanna-Barbera,<|im_end|>
Waht kind of music do the bands Nada Surf and Madina Lake play?,alternative rock,<|im_end|>
Whar did Sarfraz Ahmed do after Azhar Ali stepped down?,He took up the Test captaincy,<|im_end|>
"What is a rare breed of dog that was derived as a variant of Rat Terrier, Shiloh Shepherd dog or American Hairless Terrier ?",American Hairless Terrier,<|im_end|>
Buck Barrow is married to what fringe member of Bonnie and Clyde's gang born in 1911,Blanche Barrow,<|im_end|>
"What actress was in both the films ""Happy Mother's Day, Love George"" and ""The Day the Earth Stood Still""?",Patricia Neal,<|im_end|>
"What is the book series, written by Cecily von Ziegesar, that the character Eric van der Woodsen appears in?",Gossip Girl,<|im_end|>
In what year was the author of the book series which had the character Opal Koboi born?,1965,<|im_end|>
Are Shiba Inu and Leonberger both large dog breeds?,no,<|im_end|>
"Edwin Forrest's feud with William Charles Macready was the cause of what event that occurred on May 10, 1849, in Manhattan?",The Astor Place Riot,<|im_end|>
Who is the voice of the protagonist feral child in the sequel to the movie adaptation of some of Rudyard Kipling's stories?,Haley Joel Osment,<|im_end|>
"Which genus is aquatic, Phylica or Nelumbo?",Nelumbo,<|im_end|>
What Christian publication first published in 1971 has Brandan Robertson written for?,Sojourners,<|im_end|>
Johannes Megapolensis served for several years at the first permanent Dutch settlement in what town?,New Netherland,<|im_end|>
Non-Stop starred the English actress best known for what role in Downton Abbey?,Lady Mary Crawley,<|im_end|>
