chunk,method,chunk_len,selected_count,example_id,rate
chunk00,draft_frequency_per_chunk,50,15,0,0.3
chunk00,qk_frequency_per_chunk,50,15,0,0.3
chunk00,hybrid_draft70_qk30_score_per_chunk,50,15,0,0.3
chunk00,hybrid_draft50_qk50_score_per_chunk,50,15,0,0.3
chunk01,draft_frequency_per_chunk,92,27,0,0.3
chunk01,qk_frequency_per_chunk,92,27,0,0.3
chunk01,hybrid_draft70_qk30_score_per_chunk,92,27,0,0.3
chunk01,hybrid_draft50_qk50_score_per_chunk,92,27,0,0.3
chunk02,draft_frequency_per_chunk,76,22,0,0.3
chunk02,qk_frequency_per_chunk,76,22,0,0.3
chunk02,hybrid_draft70_qk30_score_per_chunk,76,22,0,0.3
chunk02,hybrid_draft50_qk50_score_per_chunk,76,22,0,0.3
chunk03,draft_frequency_per_chunk,98,29,0,0.3
chunk03,qk_frequency_per_chunk,98,29,0,0.3
chunk03,hybrid_draft70_qk30_score_per_chunk,98,29,0,0.3
chunk03,hybrid_draft50_qk50_score_per_chunk,98,29,0,0.3
chunk04,draft_frequency_per_chunk,52,15,0,0.3
chunk04,qk_frequency_per_chunk,52,15,0,0.3
chunk04,hybrid_draft70_qk30_score_per_chunk,52,15,0,0.3
chunk04,hybrid_draft50_qk50_score_per_chunk,52,15,0,0.3
chunk05,draft_frequency_per_chunk,214,64,0,0.3
chunk05,qk_frequency_per_chunk,214,64,0,0.3
chunk05,hybrid_draft70_qk30_score_per_chunk,214,64,0,0.3
chunk05,hybrid_draft50_qk50_score_per_chunk,214,64,0,0.3
chunk06,draft_frequency_per_chunk,121,36,0,0.3
chunk06,qk_frequency_per_chunk,121,36,0,0.3
chunk06,hybrid_draft70_qk30_score_per_chunk,121,36,0,0.3
chunk06,hybrid_draft50_qk50_score_per_chunk,121,36,0,0.3
chunk07,draft_frequency_per_chunk,301,90,0,0.3
chunk07,qk_frequency_per_chunk,301,90,0,0.3
chunk07,hybrid_draft70_qk30_score_per_chunk,301,90,0,0.3
chunk07,hybrid_draft50_qk50_score_per_chunk,301,90,0,0.3
chunk08,draft_frequency_per_chunk,84,25,0,0.3
chunk08,qk_frequency_per_chunk,84,25,0,0.3
chunk08,hybrid_draft70_qk30_score_per_chunk,84,25,0,0.3
chunk08,hybrid_draft50_qk50_score_per_chunk,84,25,0,0.3
chunk09,draft_frequency_per_chunk,83,24,0,0.3
chunk09,qk_frequency_per_chunk,83,24,0,0.3
chunk09,hybrid_draft70_qk30_score_per_chunk,83,24,0,0.3
chunk09,hybrid_draft50_qk50_score_per_chunk,83,24,0,0.3
chunk00,draft_frequency_per_chunk,90,27,1,0.3
chunk00,qk_frequency_per_chunk,90,27,1,0.3
chunk00,hybrid_draft70_qk30_score_per_chunk,90,27,1,0.3
chunk00,hybrid_draft50_qk50_score_per_chunk,90,27,1,0.3
chunk01,draft_frequency_per_chunk,85,25,1,0.3
chunk01,qk_frequency_per_chunk,85,25,1,0.3
chunk01,hybrid_draft70_qk30_score_per_chunk,85,25,1,0.3
chunk01,hybrid_draft50_qk50_score_per_chunk,85,25,1,0.3
chunk02,draft_frequency_per_chunk,130,39,1,0.3
chunk02,qk_frequency_per_chunk,130,39,1,0.3
chunk02,hybrid_draft70_qk30_score_per_chunk,130,39,1,0.3
chunk02,hybrid_draft50_qk50_score_per_chunk,130,39,1,0.3
chunk03,draft_frequency_per_chunk,86,25,1,0.3
chunk03,qk_frequency_per_chunk,86,25,1,0.3
chunk03,hybrid_draft70_qk30_score_per_chunk,86,25,1,0.3
chunk03,hybrid_draft50_qk50_score_per_chunk,86,25,1,0.3
chunk04,draft_frequency_per_chunk,135,40,1,0.3
chunk04,qk_frequency_per_chunk,135,40,1,0.3
chunk04,hybrid_draft70_qk30_score_per_chunk,135,40,1,0.3
chunk04,hybrid_draft50_qk50_score_per_chunk,135,40,1,0.3
chunk05,draft_frequency_per_chunk,217,65,1,0.3
chunk05,qk_frequency_per_chunk,217,65,1,0.3
chunk05,hybrid_draft70_qk30_score_per_chunk,217,65,1,0.3
chunk05,hybrid_draft50_qk50_score_per_chunk,217,65,1,0.3
chunk06,draft_frequency_per_chunk,56,16,1,0.3
chunk06,qk_frequency_per_chunk,56,16,1,0.3
chunk06,hybrid_draft70_qk30_score_per_chunk,56,16,1,0.3
chunk06,hybrid_draft50_qk50_score_per_chunk,56,16,1,0.3
chunk07,draft_frequency_per_chunk,216,64,1,0.3
chunk07,qk_frequency_per_chunk,216,64,1,0.3
chunk07,hybrid_draft70_qk30_score_per_chunk,216,64,1,0.3
chunk07,hybrid_draft50_qk50_score_per_chunk,216,64,1,0.3
chunk08,draft_frequency_per_chunk,113,33,1,0.3
chunk08,qk_frequency_per_chunk,113,33,1,0.3
chunk08,hybrid_draft70_qk30_score_per_chunk,113,33,1,0.3
chunk08,hybrid_draft50_qk50_score_per_chunk,113,33,1,0.3
chunk09,draft_frequency_per_chunk,77,23,1,0.3
chunk09,qk_frequency_per_chunk,77,23,1,0.3
chunk09,hybrid_draft70_qk30_score_per_chunk,77,23,1,0.3
chunk09,hybrid_draft50_qk50_score_per_chunk,77,23,1,0.3
chunk00,draft_frequency_per_chunk,64,19,2,0.3
chunk00,qk_frequency_per_chunk,64,19,2,0.3
chunk00,hybrid_draft70_qk30_score_per_chunk,64,19,2,0.3
chunk00,hybrid_draft50_qk50_score_per_chunk,64,19,2,0.3
chunk01,draft_frequency_per_chunk,122,36,2,0.3
chunk01,qk_frequency_per_chunk,122,36,2,0.3
chunk01,hybrid_draft70_qk30_score_per_chunk,122,36,2,0.3
chunk01,hybrid_draft50_qk50_score_per_chunk,122,36,2,0.3
chunk02,draft_frequency_per_chunk,88,26,2,0.3
chunk02,qk_frequency_per_chunk,88,26,2,0.3
chunk02,hybrid_draft70_qk30_score_per_chunk,88,26,2,0.3
chunk02,hybrid_draft50_qk50_score_per_chunk,88,26,2,0.3
chunk03,draft_frequency_per_chunk,48,14,2,0.3
chunk03,qk_frequency_per_chunk,48,14,2,0.3
chunk03,hybrid_draft70_qk30_score_per_chunk,48,14,2,0.3
chunk03,hybrid_draft50_qk50_score_per_chunk,48,14,2,0.3
chunk04,draft_frequency_per_chunk,185,55,2,0.3
chunk04,qk_frequency_per_chunk,185,55,2,0.3
chunk04,hybrid_draft70_qk30_score_per_chunk,185,55,2,0.3
chunk04,hybrid_draft50_qk50_score_per_chunk,185,55,2,0.3
chunk05,draft_frequency_per_chunk,63,18,2,0.3
chunk05,qk_frequency_per_chunk,63,18,2,0.3
chunk05,hybrid_draft70_qk30_score_per_chunk,63,18,2,0.3
chunk05,hybrid_draft50_qk50_score_per_chunk,63,18,2,0.3
chunk06,draft_frequency_per_chunk,99,29,2,0.3
chunk06,qk_frequency_per_chunk,99,29,2,0.3
chunk06,hybrid_draft70_qk30_score_per_chunk,99,29,2,0.3
chunk06,hybrid_draft50_qk50_score_per_chunk,99,29,2,0.3
chunk07,draft_frequency_per_chunk,106,31,2,0.3
