example_id,query_idx,label,query
0,0,native,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?
0,1,native_template,What information in the passages helps answer: Who plays the wife of the producer of Here Comes the Boom in Grown Ups?
0,2,native_template,Which entity or event is most relevant to this question: Who plays the wife of the producer of Here Comes the Boom in Grown Ups?
0,3,native_template,Answer this using the same documents: Who plays the wife of the producer of Here Comes the Boom in Grown Ups?
0,4,native_template,What evidence in the documents supports the answer to: Who plays the wife of the producer of Here Comes the Boom in Grown Ups?
0,5,native_template,Identify the passages that are useful for answering: Who plays the wife of the producer of Here Comes the Boom in Grown Ups?
0,6,native_template,Which facts should be retrieved from this document set for: Who plays the wife of the producer of Here Comes the Boom in Grown Ups?
0,7,native_template,Find the supporting context needed to solve: Who plays the wife of the producer of Here Comes the Boom in Grown Ups?
0,8,control_other_example,What was the person who provided evidence to suggest the existence of the neutron a participant of?
0,9,control_other_example,In which borough was Callum McManaman born?
0,10,control_other_example,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?
0,11,control_other_example,Who is the spouse of the actor who played hannibal smith in the a team?
0,12,control_other_example,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?
0,13,control_other_example,Who is the child of the cast member of Green Ice?
0,14,control_other_example,How many times did plague occur in the birthplace of La Silvia's composer?
0,15,control_other_example,When did military instruction start at the place where Larry Alcala was educated?
