row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_exact_cache_ttft_s,full_ttft_compute_s,full_ttft_wall_s,fusion_ttft_compute_s,fusion_ttft_wall_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion_compute,ttft_reduction_pct_compute,speedup_full_exact_over_fusion_compute,ttft_reduction_pct_full_exact_vs_fusion_compute,speedup_full_over_fusion_wall,ttft_reduction_pct_wall
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,1313,1340,0.41629087273031473,0.2803304195404053,0.2817227249033749,0.7744767130352557,0.8467956446111202,0.02415760513395071,0.13648425415158272,0.12202550005167723,0.6138348537497222,0.3619610697418659,-176.2728048939501,0.537512446434738,-86.04220360531039,0.3326926947442584,-200.5776849920622
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,1295,1320,0.2755413297563791,0.10779380798339844,0.2757429447956383,0.3444469328969717,0.4125137943774462,0.022778502199798822,0.10612328769639134,0.10533637413755059,0.21554514300078154,0.31294750421145684,-219.54241096113861,0.7999529200011687,-25.007356682758154,0.6684453915335887,-49.60085186700714
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,1441,1462,0.29324062215164304,0.1150674819946289,0.2944030240178108,0.36074055172502995,0.4199978830292821,0.02350901486352086,0.10466361092403531,0.10387645522132516,0.23256792593747377,0.31897573323649425,-213.50347245963763,0.8128851074529655,-23.01861491020871,0.7009631141338042,-42.66085901477459
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,1154,1180,0.25829581497237086,0.09483957290649414,0.25918117398396134,0.3269487237557769,0.3821901702322066,0.021050824783742428,0.10251502599567175,0.10179485194385052,0.2033828729763627,0.290074761011568,-244.7387137414967,0.7900193400519644,-26.579179686186414,0.6781471481239068,-47.46062160203708
4,True,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,1353,1380,0.27865232108160853,0.10932683944702148,0.27971990732476115,0.3434459832496941,0.39513665484264493,0.02444143919274211,0.10303556779399514,0.10228362726047635,0.21596897626295686,0.31832324376767585,-214.1460825053157,0.8113424953903773,-23.252511199829385,0.7079067555404442,-41.26154216971134
5,True,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,1178,1210,0.25901226233690977,0.0951693058013916,0.2607225081883371,0.33052181731909513,0.38416847214102745,0.02137753088027239,0.10388592723757029,0.10307984799146652,0.20525835920125246,0.2879365319158719,-247.29875828752986,0.7836464909874679,-27.60855966315967,0.6786671137672807,-47.34764359643133
6,True,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,2075,2099,0.3885857309214771,0.15248370170593262,0.39032735815271735,0.4417048869654536,0.5220052730292082,0.029304855037480593,0.10354274092242122,0.10251337569206953,0.3088572910055518,0.3452162432557795,-189.67350741346044,0.879740619559568,-13.669867886814014,0.7477460062570614,-33.73525122596486
7,True,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,1490,1511,0.2928610588423908,0.10541939735412598,0.29416494397446513,0.3589946017600596,0.41825239174067974,0.023845466785132885,0.10227658785879612,0.10145861795172095,0.2328725471161306,0.29365176199664667,-240.5394175742829,0.8157812329393456,-22.5818834293227,0.7033192153431845,-42.18294882104849
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,1587,1614,0.32165915705263615,0.11815309524536133,0.3226154809817672,0.38428426533937454,0.4533513868227601,0.023524849209934473,0.10309953102841973,0.10228124912828207,0.25765988510102034,0.30746274542627006,-225.24265618378837,0.8370344197376075,-19.469400113017898,0.7116234566806239,-40.52375460816202
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,1466,1494,0.29386707581579685,0.11521744728088379,0.2950495998375118,0.36119515215978026,0.4237173730507493,0.024798245169222355,0.103724320884794,0.10273283673450351,0.2326725861057639,0.3189894620454805,-213.48997975908782,0.8135964008891243,-22.911064860558362,0.6963358564062777,-43.60886213168796
