layer,key_mean,key_p90,value_mean,value_p90,value_over_key_mean
0,0.055356478318572044,0.05540367774665356,0.0013551879674196243,0.0015598815865814687,0.024481108780008483
1,0.3525266647338867,0.3531109094619751,0.554469645023346,0.5649024605751037,1.5728445547241878
2,0.508341372013092,0.5087701916694641,0.7485311031341553,0.7733002185821534,1.472496917117745
3,0.3157234191894531,0.317181921005249,0.5764447450637817,0.5828712224960327,1.8257902645988207
4,1.0061076283454895,1.007818377017975,0.7937943637371063,0.7965635240077973,0.788975594034294
5,0.8855289816856384,0.8868545889854431,0.8713697195053101,0.8719611883163452,0.9840103909932347
6,0.933443695306778,0.9365558445453643,0.8267141580581665,0.8356706857681274,0.8856604444530313
7,0.9921579360961914,0.9935298442840577,0.853998064994812,0.855857539176941,0.8607481066513938
8,1.0106768608093262,1.0108395576477052,0.8682916164398193,0.8698581218719482,0.859118923276479
9,1.0586383938789368,1.0653571724891662,1.0244116187095642,1.0334742426872254,0.9676690592668469
10,1.0034812986850739,1.0078637897968292,0.9194057881832123,0.9222948253154755,0.916216166048189
11,1.0825268626213074,1.0842509627342225,0.942068874835968,0.947974693775177,0.8702498823483283
12,0.9269966185092926,0.9292512714862824,1.095133364200592,1.1053271412849426,1.1813779493181966
13,0.5390309989452362,0.5412872731685638,0.981630951166153,0.9847091495990753,1.8211029664066916
14,0.9589860737323761,0.9602413713932038,1.1318755745887756,1.136206066608429,1.1802836408065165
15,0.8367538452148438,0.8367989540100098,1.1224418878555298,1.1345088243484498,1.341424236378611
16,0.9812811315059662,0.9871163547039032,1.1877605319023132,1.2009635329246522,1.2104181908381892
17,1.071895718574524,1.0728592157363892,1.216194748878479,1.2233678102493286,1.1346203999160651
18,1.0976004004478455,1.1042293429374694,1.3341529369354248,1.3420912265777587,1.2155179028632324
19,0.6082498729228973,0.6087853372097015,1.0936505794525146,1.0996718883514405,1.7980284553045018
20,1.1879414916038513,1.1903097987174989,1.032043218612671,1.0340563297271728,0.8687660342753333
21,1.0544018745422363,1.0567163467407226,0.9577602744102478,0.9593250632286072,0.908344624126495
22,1.0804380774497986,1.0858928561210632,0.7720966339111328,0.7835700511932373,0.7146144235612547
23,1.0242773294448853,1.0245929956436157,0.671421080827713,0.6967315256595612,0.6555071185563963
24,0.9944131672382355,0.9954510748386383,0.7730763256549835,0.7979006826877594,0.7774196391639263
25,0.9742178618907928,0.9747248589992523,0.7496092915534973,0.781177532672882,0.7694472877943979
26,1.0471477508544922,1.051468276977539,0.7271549999713898,0.7620924532413482,0.694414899308453
27,0.03382316045463085,0.033869197592139244,0.7930914759635925,0.8238744139671326,23.448177677067413
